,what,has,presented,problems,to,the,us,economy,more,than,other,nations,?
sociologist,0.18964916467666626,0.10146039724349976,0.19441291689872742,0.17663605511188507,0.08403817564249039,0.14262931048870087,0.04395551234483719,0.28807803988456726,0.09716440737247467,0.06860712915658951,0.10711450129747391,0.17728197574615479,0.19079925119876862
jake,0.10013604164123535,0.16017261147499084,0.06061144918203354,0.08579046279191971,0.1595696210861206,0.12908777594566345,0.2179107964038849,0.09196139872074127,0.09731724858283997,0.12153240293264389,0.1423036903142929,0.15703144669532776,0.11309002339839935
rosenfield,0.17624549567699432,0.15829835832118988,0.26356732845306396,0.14232099056243896,0.2085433453321457,0.23885850608348846,0.22514210641384125,0.14005336165428162,0.18960784375667572,0.16929492354393005,0.16896583139896393,0.2333398312330246,0.16987739503383636
of,0.33290785551071167,0.3909035325050354,0.30231305956840515,0.2450421154499054,0.41548454761505127,0.733189046382904,0.23568789660930634,0.2583308815956116,0.30478984117507935,0.33036211133003235,0.38583824038505554,0.27521562576293945,0.1826142966747284
the,0.42745697498321533,0.4177538752555847,0.3251480758190155,0.2659202516078949,0.535392165184021,1.0,0.25727739930152893,0.24644890427589417,0.39758381247520447,0.3227543234825134,0.44152235984802246,0.3506215214729309,0.22068053483963013
university,0.20256435871124268,0.21257302165031433,0.17405590415000916,0.16078488528728485,0.20192374289035797,0.263973206281662,0.16072718799114227,0.24378550052642822,0.16529905796051025,0.1508307009935379,0.1804676055908203,0.21176829934120178,0.11887256056070328
of,0.33290785551071167,0.3909035325050354,0.30231305956840515,0.2450421154499054,0.41548454761505127,0.733189046382904,0.23568789660930634,0.2583308815956116,0.30478984117507935,0.33036211133003235,0.38583824038505554,0.27521562576293945,0.1826142966747284
washington,0.1399664729833603,0.15656651556491852,0.1828746497631073,0.08994122594594955,0.24971476197242737,0.24987076222896576,0.2568507790565491,0.1726488322019577,0.20311900973320007,0.16675283014774323,0.17550288140773773,0.2290286272764206,0.157786026597023
asserts,0.2919406294822693,0.25206369161605835,0.2985512316226959,0.16669289767742157,0.2540214955806732,0.26400792598724365,0.18984265625476837,0.15105025470256805,0.21132874488830566,0.2328602373600006,0.2319953441619873,0.3055238425731659,0.2607457637786865
that,0.6297725439071655,0.41272613406181335,0.30667775869369507,0.3758413791656494,0.5436353087425232,0.5473989248275757,0.282404363155365,0.24719975888729095,0.4813884496688843,0.4891277849674225,0.5570666193962097,0.23122698068618774,0.32716336846351624
