,what,was,the,name,of,the,50th,anniversary,episode,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.11835864186286926,0.25491592288017273,0.19184806942939758,0.20430970191955566
2007,-0.15549811720848083,-0.29168957471847534,-0.23657195270061493,-0.12505227327346802,-0.21244128048419952,-0.23657195270061493,0.011353828944265842,-0.17294669151306152,-0.05869944766163826,-0.1664225310087204
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.1069522351026535,0.20396199822425842,0.18198037147521973,0.31091248989105225
peter,0.15377900004386902,0.24126720428466797,0.24086274206638336,0.1126367449760437,0.14779731631278992,0.24086274206638336,0.10030195116996765,0.18884313106536865,0.1403251439332962,0.11650477349758148
davison,0.18381671607494354,0.34746405482292175,0.2947586476802826,0.16316266357898712,0.2523695230484009,0.2947586476802826,0.14230921864509583,0.18509429693222046,0.20702140033245087,0.16515596210956573
returned,0.15085899829864502,0.4257400631904602,0.32857778668403625,0.192525714635849,0.28002414107322693,0.32857778668403625,0.08727438747882843,0.22298502922058105,0.20050649344921112,0.07695316523313522
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.11835864186286926,0.25491592288017273,0.19184806942939758,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.19595111906528473,0.29318708181381226,0.25342556834220886,0.22068053483963013
children,0.22469459474086761,0.16522078216075897,0.15654058754444122,0.13440826535224915,0.1978350728750229,0.15654058754444122,0.048284418880939484,0.17320141196250916,0.1691942811012268,0.21788206696510315
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.11835864186286926,0.25491592288017273,0.19184806942939758,0.20430970191955566
need,0.39420950412750244,0.1745726615190506,0.2594960331916809,0.07495304942131042,0.24285943806171417,0.2594960331916809,0.055435776710510254,0.08300317823886871,0.24052205681800842,0.40413710474967957
short,0.19211500883102417,0.20147566497325897,0.29603123664855957,0.11481038480997086,0.2761780321598053,0.29603123664855957,0.10837364196777344,0.12191075831651688,0.20491164922714233,0.16194626688957214
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.1001104861497879,0.06780257821083069,0.029072100296616554,-0.0076248059049248695,-0.07950975000858307,-0.035673100501298904,0.0685480609536171
time,0.36319252848625183,0.3641340136528015,0.43061500787734985,0.24374312162399292,0.35127586126327515,0.43061500787734985,0.14446276426315308,0.2806112766265869,0.28294599056243896,0.27391523122787476
crash,0.20558272302150726,0.24972794950008392,0.22774840891361237,0.10046892613172531,0.19993825256824493,0.22774840891361237,0.1379459798336029,0.18715131282806396,0.22720018029212952,0.10927160084247589
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.003883055876940489,0.13035868108272552,0.041273195296525955,-0.03024963289499283,-0.05068732053041458,-0.014759616926312447,0.018684765323996544
alongside,0.154389888048172,0.186976358294487,0.2475084811449051,0.13192354142665863,0.23186348378658295,0.2475084811449051,0.15376228094100952,0.21858996152877808,0.27795761823654175,0.20579710602760315
david,0.1299152821302414,0.2655363976955414,0.2237231284379959,0.09105115383863449,0.191870778799057,0.2237231284379959,0.1771138310432434,0.2217598855495453,0.16534438729286194,0.04158485680818558
tennant,0.17013365030288696,0.310945063829422,0.28644976019859314,0.1856079250574112,0.1754743754863739,0.28644976019859314,0.2139059156179428,0.2617515027523041,0.25016388297080994,0.09592169523239136
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.1069522351026535,0.20396199822425842,0.18198037147521973,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.1709929257631302,0.13314463198184967,0.2091434895992279,0.20544172823429108
most,0.3219912350177765,0.29933857917785645,0.47635307908058167,0.19063733518123627,0.4178851246833801,0.47635307908058167,0.09370077401399612,0.15935641527175903,0.08253224939107895,0.2107497900724411
recently,0.2653191089630127,0.4035745859146118,0.2774651348590851,0.23431533575057983,0.21953822672367096,0.2774651348590851,0.06328828632831573,0.13215599954128265,0.10637088865041733,0.18352322280406952
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.11835864186286926,0.25491592288017273,0.19184806942939758,0.20430970191955566
2013,-0.3886653184890747,-0.16685336828231812,-0.38509321212768555,-0.16684579849243164,-0.2904720902442932,-0.38509321212768555,-0.10239046066999435,-0.11650413274765015,-0.24324563145637512,-0.2969330847263336
