,what,is,the,name,of,the,village,that,once,existed,in,what,is,now,downtown,jacksonville,?
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.27018114924430847,0.4999135136604309,0.5514441132545471,0.09466172009706497,0.5133185982704163,0.4221976697444916,0.31257715821266174,0.4129433035850525,0.376489520072937,0.4544198513031006,0.3720342814922333,0.13268491625785828,0.22315260767936707,0.2673267424106598
early,0.2454567849636078,0.18880519270896912,0.34442198276519775,0.1594075858592987,0.30937549471855164,0.34442198276519775,0.17451831698417664,0.29580917954444885,0.269964337348938,0.40284377336502075,0.34672921895980835,0.2454567849636078,0.18880519270896912,0.27572429180145264,0.15497760474681854,0.19879253208637238,0.15272949635982513
map,0.23936687409877777,0.2186950147151947,0.2702621817588806,0.2536504566669464,0.22708505392074585,0.2702621817588806,0.20197853446006775,0.20858244597911835,0.09333968162536621,0.16191281378269196,0.2386031597852707,0.23936687409877777,0.2186950147151947,0.1694246530532837,0.1725734919309616,0.1583668440580368,0.1548176109790802
shows,0.30282244086265564,0.31176671385765076,0.36348509788513184,0.1723814606666565,0.3410852253437042,0.36348509788513184,0.09027428179979324,0.37082093954086304,0.20901016891002655,0.17921285331249237,0.3289647698402405,0.30282244086265564,0.31176671385765076,0.2719600796699524,0.22199617326259613,0.17318817973136902,0.2040930688381195
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.27831363677978516,0.47537946701049805,0.4225178360939026,0.23807081580162048,0.539380669593811,0.3320399522781372,0.658733606338501,0.3046339154243469,0.20975551009178162,0.28008249402046204,0.23916715383529663
village,0.20210839807987213,0.2555927336215973,0.2579529881477356,0.18061859905719757,0.1866021603345871,0.2579529881477356,1.0,0.15823085606098175,0.20438088476657867,0.1771770715713501,0.3014387786388397,0.20210839807987213,0.2555927336215973,0.27538901567459106,0.29862701892852783,0.2338554412126541,0.040922991931438446
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.30947911739349365,0.4222904443740845,0.489897221326828,0.22727252542972565,0.41604554653167725,0.29238617420196533,0.26065805554389954,0.40847352147102356,0.3235960602760315,0.430266410112381,0.3215823769569397,0.1458456963300705,0.16660399734973907,0.18963319063186646
ossachite,0.24126461148262024,0.2385168820619583,0.33434969186782837,0.19271457195281982,0.3366588354110718,0.33434969186782837,0.3299543261528015,0.21818815171718597,0.19316668808460236,0.19680269062519073,0.31504538655281067,0.24126461148262024,0.2385168820619583,0.2368096262216568,0.2824825048446655,0.3090364933013916,0.17257346212863922
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.11450952291488647,0.42558613419532776,0.457212895154953,0.23956505954265594,0.3183255195617676,0.27672383189201355,0.1730823963880539,0.4374977946281433,0.2838611304759979,0.25906258821487427,0.33692896366119385,0.222591832280159,0.2604049742221832,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2579529881477356,0.5473989248275757,0.4227895736694336,0.32677435874938965,0.6662389636039734,0.42745697498321533,0.5823672413825989,0.38266420364379883,0.2602716088294983,0.2176690250635147,0.22068053483963013
site,0.21561308205127716,0.2314486801624298,0.288954496383667,0.16784511506557465,0.24291633069515228,0.288954496383667,0.22192631661891937,0.19933675229549408,0.17670641839504242,0.22065533697605133,0.20704983174800873,0.21561308205127716,0.2314486801624298,0.3170115351676941,0.28196993470191956,0.1855785995721817,0.2014765441417694
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.1866021603345871,0.41498205065727234,0.2879956364631653,0.2990404963493347,0.5696388483047485,0.33290785551071167,0.4854315221309662,0.29182544350624084,0.21455974876880646,0.23084138333797455,0.1826142966747284
what,0.9999998807907104,0.28837618231773376,0.42745697498321533,0.18623162806034088,0.33290785551071167,0.42745697498321533,0.20210839807987213,0.6297725439071655,0.38428619503974915,0.27969107031822205,0.30808621644973755,0.9999998807907104,0.28837618231773376,0.4903225302696228,0.1348404437303543,0.14578714966773987,0.5051238536834717
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.2555927336215973,0.3995479643344879,0.3481405973434448,0.2330806404352188,0.5394441485404968,0.28837618231773376,1.0,0.39589470624923706,0.21999821066856384,0.1726600080728531,0.22961433231830597
