,what,logo,is,used,for,all,merchandise,that,features,past,doctors,?
as,0.31749409437179565,0.19516409933567047,0.43216490745544434,0.35160550475120544,0.44774648547172546,0.33195313811302185,0.2152644544839859,0.4735107421875,0.3214626908302307,0.20821920037269592,0.17983488738536835,0.27043893933296204
of,0.33290785551071167,0.1528109908103943,0.4854315221309662,0.3075267970561981,0.4185989499092102,0.42798417806625366,0.20751552283763885,0.41498205065727234,0.2464914619922638,0.27417802810668945,0.18925178050994873,0.1826142966747284
2014,0.041483160108327866,0.03333091735839844,0.16745887696743011,-0.007408102974295616,-0.029771532863378525,-0.09364420920610428,-0.0009436936816200614,0.018680522218346596,-0.0015171662671491504,-0.036495357751846313,0.06639692932367325,0.058127544820308685
",",0.3087472915649414,0.20034073293209076,0.4691906273365021,0.3120402991771698,0.4464869201183319,0.425624817609787,0.2204728126525879,0.4137537479400635,0.2743610739707947,0.25483980774879456,0.18616431951522827,0.31091248989105225
the,0.42745697498321533,0.2806010842323303,0.5823672413825989,0.3718377649784088,0.4739971458911896,0.4860881567001343,0.22879964113235474,0.5473989248275757,0.29863014817237854,0.2747827172279358,0.24499839544296265,0.22068053483963013
logo,0.21781428158283234,1.0000001192092896,0.1738443821668625,0.20441769063472748,0.2166183590888977,0.22866058349609375,0.2836546301841736,0.25242704153060913,0.2637929320335388,0.08809851109981537,0.11222700029611588,0.23347119987010956
used,0.27546408772468567,0.20441769063472748,0.3288823366165161,0.9999998807907104,0.4236139953136444,0.2536942958831787,0.17439398169517517,0.37621384859085083,0.26540276408195496,0.19339048862457275,0.24798515439033508,0.22430120408535004
for,0.3017193675041199,0.2166183590888977,0.43268078565597534,0.4236139953136444,0.9999999403953552,0.41144001483917236,0.2998834252357483,0.4137635827064514,0.28744247555732727,0.3203027844429016,0.18746568262577057,0.264628142118454
the,0.42745697498321533,0.2806010842323303,0.5823672413825989,0.3718377649784088,0.4739971458911896,0.4860881567001343,0.22879964113235474,0.5473989248275757,0.29863014817237854,0.2747827172279358,0.24499839544296265,0.22068053483963013
third,0.2033906877040863,0.11864504963159561,0.31551501154899597,0.12432441860437393,0.2187870591878891,0.2581176459789276,0.14347223937511444,0.23549747467041016,0.20658257603645325,0.1423618197441101,0.1172020211815834,0.15394791960716248
and,0.31309178471565247,0.146534726023674,0.3859752118587494,0.3150506615638733,0.5064792633056641,0.4542157053947449,0.25904181599617004,0.4731321930885315,0.3483351171016693,0.2684100568294525,0.22853690385818481,0.20544172823429108
eighth,0.1353415697813034,0.10433226823806763,0.29349127411842346,0.14485949277877808,0.20475642383098602,0.2370729297399521,0.1156458929181099,0.20415185391902924,0.2047032117843628,0.10843513906002045,0.13397738337516785,0.06661298125982285
doctors,0.28694474697113037,0.11222700029611588,0.14594002068042755,0.24798515439033508,0.18746568262577057,0.2132229208946228,0.13257582485675812,0.30322057008743286,0.16591261327266693,0.2235022783279419,1.0,0.19305896759033203
is,0.28837618231773376,0.1738443821668625,1.0,0.3288823366165161,0.43268078565597534,0.2553904056549072,0.19425319135189056,0.3995479643344879,0.28435954451560974,0.2206672728061676,0.14594002068042755,0.22961433231830597
the,0.42745697498321533,0.2806010842323303,0.5823672413825989,0.3718377649784088,0.4739971458911896,0.4860881567001343,0.22879964113235474,0.5473989248275757,0.29863014817237854,0.2747827172279358,0.24499839544296265,0.22068053483963013
primary,0.2113915979862213,0.19119973480701447,0.23824772238731384,0.2554009258747101,0.2533470094203949,0.20207180082798004,0.19825996458530426,0.2296912968158722,0.2100333273410797,0.13985390961170197,0.18816564977169037,0.16286636888980865
logo,0.21781428158283234,1.0000001192092896,0.1738443821668625,0.20441769063472748,0.2166183590888977,0.22866058349609375,0.2836546301841736,0.25242704153060913,0.2637929320335388,0.08809851109981537,0.11222700029611588,0.23347119987010956
used,0.27546408772468567,0.20441769063472748,0.3288823366165161,0.9999998807907104,0.4236139953136444,0.2536942958831787,0.17439398169517517,0.37621384859085083,0.26540276408195496,0.19339048862457275,0.24798515439033508,0.22430120408535004
on,0.34226128458976746,0.23861058056354523,0.3635730445384979,0.24785758554935455,0.36199691891670227,0.3832052946090698,0.22233568131923676,0.42569106817245483,0.3391563892364502,0.19519099593162537,0.1926962286233902,0.2714994251728058
all,0.41981086134910583,0.22866058349609375,0.2553904056549072,0.2536942958831787,0.41144001483917236,1.0000001192092896,0.2812235951423645,0.53305584192276,0.2738704979419708,0.32908496260643005,0.2132229208946228,0.29575422406196594
media,0.18292108178138733,0.23854878544807434,0.1800607591867447,0.19323240220546722,0.2442343533039093,0.2000456601381302,0.2991217076778412,0.2675379812717438,0.2405945211648941,0.15473733842372894,0.09749093651771545,0.1571006178855896
and,0.31309178471565247,0.146534726023674,0.3859752118587494,0.3150506615638733,0.5064792633056641,0.4542157053947449,0.25904181599617004,0.4731321930885315,0.3483351171016693,0.2684100568294525,0.22853690385818481,0.20544172823429108
merchandise,0.17133714258670807,0.2836546301841736,0.19425319135189056,0.17439398169517517,0.2998834252357483,0.2812235951423645,1.0,0.23830175399780273,0.32196876406669617,0.20366035401821136,0.13257582485675812,0.13847048580646515
relating,0.30636364221572876,0.12392275035381317,0.1891622692346573,0.3365650177001953,0.3823549449443817,0.32068634033203125,0.2759573459625244,0.37342390418052673,0.25411471724510193,0.3412986695766449,0.16108757257461548,0.2191188931465149
