,what,was,the,name,of,the,play,performed,in,the,1970,'s,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.24321173131465912,0.27994897961616516,1.0,0.6662389636039734,0.052265819162130356,-0.037580832839012146,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.24793598055839539,0.239950031042099,0.6662389636039734,1.0,0.013761552982032299,-0.01540423184633255,0.22068053483963013
early,0.2454567849636078,0.4148794412612915,0.34442198276519775,0.1594075858592987,0.30937549471855164,0.34442198276519775,0.13394795358181,0.2337227612733841,0.34672921895980835,0.34442198276519775,0.07963394373655319,0.03384959325194359,0.15272949635982513
1970s,-0.020239217206835747,0.012108612805604935,0.004102230537682772,-0.08271966129541397,0.060115184634923935,0.004102230537682772,0.0011287174420431256,0.06983794271945953,0.057396724820137024,0.004102230537682772,0.43352454900741577,0.019194331020116806,0.03861190751194954
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2231253683567047,0.2933148443698883,0.5201468467712402,0.4933079481124878,0.10338303446769714,-0.0016132977325469255,0.31091248989105225
trevor,0.13634838163852692,0.22279341518878937,0.20508259534835815,0.16419635713100433,0.14837004244327545,0.20508259534835815,0.2239425629377365,0.14841759204864502,0.1905660629272461,0.20508259534835815,0.05970229580998421,0.025855829939246178,0.11623252928256989
martin,0.14814218878746033,0.2089129239320755,0.22029393911361694,0.13075245916843414,0.13722093403339386,0.22029393911361694,0.2055901437997818,0.18887080252170563,0.22752496600151062,0.22029393911361694,0.03301788121461868,0.07599356025457382,0.060103293508291245
played,0.14831039309501648,0.3139837682247162,0.2603478729724884,0.15816985070705414,0.21120788156986237,0.2603478729724884,0.6030629277229309,0.3761763274669647,0.27605336904525757,0.2603478729724884,0.08620608597993851,0.03920676186680794,0.14096300303936005
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.24793598055839539,0.239950031042099,0.6662389636039734,1.0,0.013761552982032299,-0.01540423184633255,0.22068053483963013
role,0.22614215314388275,0.2561398148536682,0.26607486605644226,0.12834559381008148,0.1797693818807602,0.26607486605644226,0.2634873688220978,0.2653573751449585,0.243671715259552,0.26607486605644226,0.021488914266228676,0.00619043642655015,0.18676944077014923
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.24321173131465912,0.27994897961616516,1.0,0.6662389636039734,0.052265819162130356,-0.037580832839012146,0.20430970191955566
doctor,0.20870667695999146,0.19672659039497375,0.2820442318916321,0.19494794309139252,0.16895952820777893,0.2820442318916321,0.1542135328054428,0.17301315069198608,0.25567495822906494,0.2820442318916321,0.10485178977251053,0.031664930284023285,0.1462511420249939
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.2027527540922165,0.2827862501144409,0.3733934462070465,0.2742305099964142,0.2702884376049042,0.2792111933231354,0.3733934462070465,-0.0008222789620049298,0.05599616840481758,0.26220351457595825
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.25634777545928955,0.27259883284568787,0.4954058527946472,0.5171257257461548,0.04113146290183067,0.06895173341035843,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.24793598055839539,0.239950031042099,0.6662389636039734,1.0,0.013761552982032299,-0.01540423184633255,0.22068053483963013
daleks,0.2009461522102356,0.24493366479873657,0.3154934346675873,0.1359623670578003,0.2067384421825409,0.3154934346675873,0.11058714985847473,0.11007604748010635,0.2037806212902069,0.3154934346675873,-0.016005106270313263,0.03969835117459297,0.13693755865097046
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.24321173131465912,0.27994897961616516,1.0,0.6662389636039734,0.052265819162130356,-0.037580832839012146,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.24793598055839539,0.239950031042099,0.6662389636039734,1.0,0.013761552982032299,-0.01540423184633255,0.22068053483963013
seven,0.15978287160396576,0.28194957971572876,0.28151169419288635,0.10553528368473053,0.273354172706604,0.28151169419288635,0.20631389319896698,0.13501401245594025,0.24717609584331512,0.28151169419288635,0.0025217842776328325,0.05859247222542763,0.1732930988073349
keys,0.1723695993423462,0.14607679843902588,0.17534799873828888,0.14983916282653809,0.15042153000831604,0.17534799873828888,0.24447600543498993,0.15718550980091095,0.1485445648431778,0.17534799873828888,-0.01854899898171425,0.11580286175012589,0.19399107992649078
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.272149920463562,0.18510960042476654,0.45010748505592346,0.535392165184021,-0.011698837392032146,0.03782717138528824,0.29463258385658264
doomsday,0.2605608403682709,0.19781069457530975,0.2693905830383301,0.14029431343078613,0.16917039453983307,0.2693905830383301,0.20061564445495605,0.1998004913330078,0.19563664495944977,0.2693905830383301,-0.050057072192430496,0.07604185491800308,0.23745383322238922
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.25552695989608765,0.2417089343070984,0.5591574311256409,0.5934505462646484,0.06315258145332336,-0.003708066651597619,0.4130953550338745
