,when,did,torchwood,premier,?
the,0.5091903209686279,0.34736719727516174,0.3267632722854614,0.22658593952655792,0.22068053483963013
series,0.2194245308637619,0.15581852197647095,0.49095726013183594,0.1603700965642929,0.1709602326154709
debuted,0.16806688904762268,0.19454216957092285,0.21017764508724213,0.21421051025390625,0.12089905142784119
on,0.37706470489501953,0.2670976221561432,0.31377652287483215,0.17320027947425842,0.2714994251728058
bbc,0.19045519828796387,0.1677953153848648,0.4268866181373596,0.21698762476444244,0.20556949079036713
three,0.2820437252521515,0.2043166607618332,0.21413996815681458,0.13800834119319916,0.20928427577018738
on,0.37706470489501953,0.2670976221561432,0.31377652287483215,0.17320027947425842,0.2714994251728058
22,-0.002228987403213978,-0.003912506625056267,-0.0590842142701149,0.016291003674268723,0.06663474440574646
october,0.273419588804245,0.2746104896068573,0.16989578306674957,0.226514533162117,0.29706719517707825
2006,0.023816242814064026,-0.07636451721191406,-0.03568851575255394,-0.14232434332370758,-0.1194092258810997
.,0.475719153881073,0.35288307070732117,0.2708266079425812,0.24304081499576569,0.4130953550338745
