,how,many,species,of,trees,can,be,found,in,the,amazon,rainforest,?
the,0.33890387415885925,0.4335206151008606,0.2522439956665039,0.733189046382904,0.27618899941444397,0.312528520822525,0.4248143136501312,0.3452354073524475,0.6662389636039734,1.0,0.260541707277298,0.2571161389350891,0.22068053483963013
amazon,0.16216763854026794,0.22591036558151245,0.2994495630264282,0.20143137872219086,0.2303711175918579,0.20863984525203705,0.17553792893886566,0.20789004862308502,0.12227833271026611,0.260541707277298,1.0000001192092896,0.48046615719795227,0.18144656717777252
represents,0.19648417830467224,0.1281890720129013,0.18509241938591003,0.3967677056789398,0.1919296532869339,0.22953443229198456,0.2604670822620392,0.14597508311271667,0.28071391582489014,0.3328246772289276,0.13313208520412445,0.10111837834119797,0.1586666852235794
over,0.31446483731269836,0.47131630778312683,0.26368066668510437,0.36136594414711,0.30575618147850037,0.3160167336463928,0.27136483788490295,0.21425367891788483,0.3605569899082184,0.39856547117233276,0.18121705949306488,0.216535285115242,0.25742942094802856
half,0.19052551686763763,0.2529585361480713,0.1821940839290619,0.2784358561038971,0.18713529407978058,0.14452819526195526,0.18918320536613464,0.11779562383890152,0.25644969940185547,0.3189295828342438,0.15001718699932098,0.10634289681911469,0.07471233606338501
of,0.2480744868516922,0.37253960967063904,0.23307405412197113,1.0,0.241034597158432,0.2603091299533844,0.33904364705085754,0.2982911467552185,0.5696388483047485,0.733189046382904,0.20143137872219086,0.22522282600402832,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2522439956665039,0.733189046382904,0.27618899941444397,0.312528520822525,0.4248143136501312,0.3452354073524475,0.6662389636039734,1.0,0.260541707277298,0.2571161389350891,0.22068053483963013
planet,0.2526519000530243,0.15807892382144928,0.27218860387802124,0.19911958277225494,0.18509553372859955,0.2181985229253769,0.1942632794380188,0.19244484603405,0.18041402101516724,0.2470240592956543,0.2702961564064026,0.3269796669483185,0.16979767382144928
's,-0.026164190843701363,0.01698932610452175,0.050785817205905914,-0.03817026689648628,0.019250985234975815,-0.02075597457587719,0.025217169895768166,0.005866709165275097,-0.037580832839012146,-0.01540423184633255,0.062328040599823,0.06952503323554993,-0.023395681753754616
remaining,0.1792374700307846,0.27315303683280945,0.20874924957752228,0.3693024218082428,0.26638802886009216,0.21903906762599945,0.28566622734069824,0.22025972604751587,0.3161192238330841,0.45105910301208496,0.15604780614376068,0.25641271471977234,0.16961920261383057
rainforests,0.1860724538564682,0.34754952788352966,0.5327847003936768,0.25672608613967896,0.6031209826469421,0.26124289631843567,0.1948009580373764,0.30887287855148315,0.24447718262672424,0.2820507287979126,0.48722654581069946,0.9502372741699219,0.17730745673179626
",",0.22659391164779663,0.40610817074775696,0.2223871648311615,0.4946078956127167,0.2549719512462616,0.3139454126358032,0.39254459738731384,0.27385151386260986,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.23547904193401337,0.5116966962814331,0.2909749448299408,0.3675691485404968,0.41766801476478577,0.27978911995887756,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.26834338903427124,0.20544172823429108
comprises,0.09174761921167374,0.19863204658031464,0.3119848966598511,0.3857746422290802,0.2826053500175476,0.14747005701065063,0.19053523242473602,0.20449712872505188,0.2665193974971771,0.30223149061203003,0.1909283995628357,0.24794869124889374,0.037654489278793335
the,0.33890387415885925,0.4335206151008606,0.2522439956665039,0.733189046382904,0.27618899941444397,0.312528520822525,0.4248143136501312,0.3452354073524475,0.6662389636039734,1.0,0.260541707277298,0.2571161389350891,0.22068053483963013
largest,0.08743762224912643,0.23644231259822845,0.24821019172668457,0.36650770902633667,0.1667083501815796,0.18045809864997864,0.14467397332191467,0.26142075657844543,0.3017216920852661,0.3757036626338959,0.1760348230600357,0.2660103440284729,0.12401245534420013
and,0.33647966384887695,0.5296266674995422,0.23547904193401337,0.5116966962814331,0.2909749448299408,0.3675691485404968,0.41766801476478577,0.27978911995887756,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.26834338903427124,0.20544172823429108
most,0.311336874961853,0.6236066222190857,0.23037302494049072,0.4178851246833801,0.2466493546962738,0.3452373743057251,0.3381733000278473,0.2697452902793884,0.41416558623313904,0.47635307908058167,0.19138962030410767,0.27283456921577454,0.2107497900724411
biodiverse,0.2565862834453583,0.3167768716812134,0.4842352867126465,0.21850557625293732,0.35546717047691345,0.2992505431175232,0.26148083806037903,0.1923859417438507,0.14268560707569122,0.23152296245098114,0.3636356592178345,0.4773416817188263,0.14353463053703308
tract,0.23491032421588898,0.17963187396526337,0.23574717342853546,0.20875340700149536,0.21541844308376312,0.2548646032810211,0.2188546508550644,0.16167651116847992,0.1937946081161499,0.2717020511627197,0.15840016305446625,0.25388485193252563,0.1459975689649582
of,0.2480744868516922,0.37253960967063904,0.23307405412197113,1.0,0.241034597158432,0.2603091299533844,0.33904364705085754,0.2982911467552185,0.5696388483047485,0.733189046382904,0.20143137872219086,0.22522282600402832,0.1826142966747284
tropical,0.17769747972488403,0.17405730485916138,0.3879031240940094,0.18125450611114502,0.34822332859039307,0.18060855567455292,0.18414463102817535,0.24270671606063843,0.18481527268886566,0.18640398979187012,0.3167080283164978,0.46654731035232544,0.16629411280155182
rainforest,0.15943723917007446,0.30444011092185974,0.477342426776886,0.22522282600402832,0.5446608066558838,0.2311638742685318,0.16418099403381348,0.28745049238204956,0.2207682877779007,0.2571161389350891,0.48046615719795227,1.0,0.1917492002248764
in,0.2601168751716614,0.41474202275276184,0.2179255336523056,0.5696388483047485,0.21536459028720856,0.26527702808380127,0.3481820821762085,0.39141854643821716,1.0,0.6662389636039734,0.12227833271026611,0.2207682877779007,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.2522439956665039,0.733189046382904,0.27618899941444397,0.312528520822525,0.4248143136501312,0.3452354073524475,0.6662389636039734,1.0,0.260541707277298,0.2571161389350891,0.22068053483963013
world,0.25969967246055603,0.3418862819671631,0.22318719327449799,0.2828933000564575,0.16077883541584015,0.2264544814825058,0.2187124341726303,0.1707981675863266,0.3038199245929718,0.33604270219802856,0.22393567860126495,0.2830129563808441,0.17579582333564758
",",0.22659391164779663,0.40610817074775696,0.2223871648311615,0.4946078956127167,0.2549719512462616,0.3139454126358032,0.39254459738731384,0.27385151386260986,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.1754012405872345,0.41827285289764404,0.1776541769504547,0.3572797477245331,0.36101722717285156,0.2364431470632553,0.4080928862094879,0.4223487675189972,0.21287250518798828,0.19804547727108002,0.2433311939239502
an,0.2520636022090912,0.2465583086013794,0.15628215670585632,0.32280945777893066,0.144803985953331,0.23671309649944305,0.33041056990623474,0.11655625700950623,0.2605783939361572,0.4207492768764496,0.16257908940315247,0.15750433504581451,0.19793890416622162
estimated,0.21406520903110504,0.25811848044395447,0.2682102918624878,0.30473583936691284,0.25766700506210327,0.15765570104122162,0.21316911280155182,0.24008788168430328,0.2508986294269562,0.29184040427207947,0.23130109906196594,0.28021517395973206,0.18149758875370026
390,-0.0557670034468174,-0.06503859162330627,0.0330047644674778,-0.03995900973677635,0.010311637073755264,-0.21674388647079468,-0.1286519467830658,0.17041392624378204,0.03871656581759453,-0.04787406697869301,0.0032490515150129795,0.014381338842213154,-0.01989002525806427
billion,0.2582297921180725,0.27396708726882935,0.19073855876922607,0.19335569441318512,0.16867923736572266,0.20933373272418976,0.2263132482767105,0.16557899117469788,0.18475750088691711,0.2162325382232666,0.17508448660373688,0.2022421509027481,0.25791820883750916
individual,0.38188791275024414,0.3489879369735718,0.23648928105831146,0.3372420072555542,0.20995546877384186,0.38304170966148376,0.4096139669418335,0.15500541031360626,0.27755051851272583,0.3706541955471039,0.2123917043209076,0.14879731833934784,0.2058374285697937
trees,0.20184741914272308,0.33998632431030273,0.46833252906799316,0.241034597158432,0.9999998807907104,0.30684277415275574,0.27923688292503357,0.22910387814044952,0.21536459028720856,0.27618899941444397,0.2303711175918579,0.5446608066558838,0.11582431197166443
divided,0.1862497329711914,0.21604293584823608,0.1852651834487915,0.37450557947158813,0.17195765674114227,0.18851013481616974,0.2212335467338562,0.20536984503269196,0.29514673352241516,0.34601110219955444,0.12280678749084473,0.17512468993663788,0.10190024226903915
into,0.2303972691297531,0.2618265151977539,0.16512593626976013,0.32255905866622925,0.20676901936531067,0.301788330078125,0.3462390601634979,0.1823275089263916,0.38021373748779297,0.39493247866630554,0.13842037320137024,0.1185043603181839,0.15662476420402527
"16,000",0.006419086828827858,-0.08435725420713425,-0.0863688588142395,0.031820375472307205,-0.14828163385391235,0.11012523621320724,0.1206773892045021,-0.06328662484884262,0.058663260191679,0.052542198449373245,-0.0610855370759964,-0.15198281407356262,0.22946134209632874
species,0.20142129063606262,0.25436872243881226,0.9999999403953552,0.23307405412197113,0.46833252906799316,0.29763275384902954,0.25450053811073303,0.31353896856307983,0.2179255336523056,0.2522439956665039,0.2994495630264282,0.477342426776886,0.1957087516784668
.,0.3287222981452942,0.3974229395389557,0.25772613286972046,0.5352458953857422,0.23487022519111633,0.35783761739730835,0.4383580684661865,0.3618174195289612,0.5591574311256409,0.5934505462646484,0.262887567281723,0.25713270902633667,0.4130953550338745
