,who,began,publishing,doctor,who,novels,in,2005,?
since,0.27765995264053345,0.30789849162101746,0.15655404329299927,0.10913390666246414,0.27765995264053345,0.15033107995986938,0.4325680434703827,0.027849651873111725,0.2876587212085724
the,0.3733934462070465,0.3059147596359253,0.19456727802753448,0.2820442318916321,0.3733934462070465,0.21072056889533997,0.6662389636039734,0.037273142486810684,0.22068053483963013
relaunch,0.15366442501544952,0.24399937689304352,0.24601894617080688,0.12970273196697235,0.15366442501544952,0.11539234220981598,0.20123592019081116,0.07993420958518982,0.260050892829895
of,0.2827862501144409,0.2330763041973114,0.22269268333911896,0.16895952820777893,0.2827862501144409,0.20743294060230255,0.5696388483047485,0.017815761268138885,0.1826142966747284
the,0.3733934462070465,0.3059147596359253,0.19456727802753448,0.2820442318916321,0.3733934462070465,0.21072056889533997,0.6662389636039734,0.037273142486810684,0.22068053483963013
programme,0.2317163497209549,0.1936608850955963,0.1811354011297226,0.2561369240283966,0.2317163497209549,0.27873820066452026,0.249719500541687,-0.0241193026304245,0.139840766787529
in,0.2792111933231354,0.34154343605041504,0.2093200981616974,0.25567495822906494,0.2792111933231354,0.253526896238327,1.0,0.009931974112987518,0.20430970191955566
2005,0.18423187732696533,0.09388858079910278,0.0824548527598381,0.07635467499494553,0.18423187732696533,0.06238959729671478,0.009931974112987518,1.0,0.10709824413061142
",",0.3365725874900818,0.2705576717853546,0.32399630546569824,0.20407600700855255,0.3365725874900818,0.20772035419940948,0.5201468467712402,0.11050146818161011,0.31091248989105225
a,0.36608949303627014,0.21651826798915863,0.19027459621429443,0.22883038222789764,0.36608949303627014,0.1956167072057724,0.539380669593811,-0.044396962970495224,0.23916715383529663
new,0.2378052920103073,0.22779060900211334,0.3078438341617584,0.12563565373420715,0.2378052920103073,0.10814507305622101,0.3758552670478821,0.06185975298285484,0.14782847464084625
range,0.1519712656736374,0.10938513278961182,0.07621630281209946,0.04843427613377571,0.1519712656736374,0.11433861404657364,0.2084861844778061,-0.02481808327138424,0.1204894632101059
of,0.2827862501144409,0.2330763041973114,0.22269268333911896,0.16895952820777893,0.2827862501144409,0.20743294060230255,0.5696388483047485,0.017815761268138885,0.1826142966747284
novels,0.20128938555717468,0.17981433868408203,0.3383818566799164,0.23027703166007996,0.20128938555717468,0.9999999403953552,0.253526896238327,0.06238959729671478,0.13125161826610565
have,0.39246654510498047,0.1338469535112381,0.13328780233860016,0.17649078369140625,0.39246654510498047,0.1674632728099823,0.36843645572662354,-0.03018493391573429,0.32991164922714233
been,0.3295723795890808,0.25745609402656555,0.1756628304719925,0.12184444069862366,0.3295723795890808,0.18124176561832428,0.3515113592147827,0.01425363402813673,0.24354910850524902
published,0.16961833834648132,0.19776616990566254,0.6524239778518677,0.1912035495042801,0.16961833834648132,0.4329342842102051,0.26697060465812683,0.10597369819879532,0.16280238330364227
by,0.39727845788002014,0.2443893402814865,0.22008046507835388,0.13681447505950928,0.39727845788002014,0.1816350668668747,0.370934396982193,0.07835020869970322,0.17966607213020325
bbc,0.2086644321680069,0.20694512128829956,0.23582100868225098,0.32370132207870483,0.2086644321680069,0.2937076985836029,0.22430340945720673,0.008901940658688545,0.20556949079036713
books,0.25903794169425964,0.1890273243188858,0.4761435091495514,0.22348254919052124,0.25903794169425964,0.6259106397628784,0.250139981508255,0.08602356910705566,0.1897611767053604
.,0.3541337847709656,0.19236212968826294,0.21847887337207794,0.22361043095588684,0.3541337847709656,0.17948408424854279,0.5591574311256409,0.0678042471408844,0.4130953550338745
