,where,is,the,first,man-made,self-sustaining,nuclear,reaction,located,?
chicago,0.18485027551651,0.12146236002445221,0.27360326051712036,0.24072907865047455,0.28002381324768066,0.2542857229709625,0.15351411700248718,0.16766643524169922,0.21737560629844666,0.16446958482265472
's,0.0007701900321990252,0.02396530658006668,-0.01540423184633255,-0.014458609744906425,0.028159497305750847,-0.04955071583390236,-0.08068724721670151,-0.08974478393793106,-0.031078986823558807,-0.023395681753754616
physics,0.2248479723930359,0.16058161854743958,0.17952929437160492,0.14415135979652405,0.22360742092132568,0.2818853557109833,0.36964842677116394,0.2615779936313629,0.13461776077747345,0.1470423936843872
department,0.1931867003440857,0.22835731506347656,0.32582083344459534,0.1776544749736786,0.2831912934780121,0.22036579251289368,0.17611141502857208,0.1181243434548378,0.2387969046831131,0.1343645304441452
helped,0.1728915572166443,0.1382724791765213,0.3108886480331421,0.31449973583221436,0.2638368606567383,0.22619441151618958,0.16005650162696838,0.19839173555374146,0.12855419516563416,0.16572049260139465
develop,0.23082375526428223,0.1934473067522049,0.26276466250419617,0.1773870289325714,0.26782748103141785,0.3613509237766266,0.22499854862689972,0.18589119613170624,0.14109724760055542,0.15784582495689392
the,0.5003893971443176,0.5823672413825989,1.0,0.49448907375335693,0.39670827984809875,0.30016136169433594,0.23911187052726746,0.2163003534078598,0.407527357339859,0.22068053483963013
world,0.29259413480758667,0.24458536505699158,0.33604270219802856,0.31190985441207886,0.2683735191822052,0.24244432151317596,0.22625431418418884,0.19443778693675995,0.1607932448387146,0.17579582333564758
's,0.0007701900321990252,0.02396530658006668,-0.01540423184633255,-0.014458609744906425,0.028159497305750847,-0.04955071583390236,-0.08068724721670151,-0.08974478393793106,-0.031078986823558807,-0.023395681753754616
first,0.3238157331943512,0.30889374017715454,0.49448907375335693,1.0,0.32052144408226013,0.23130114376544952,0.22378550469875336,0.23161469399929047,0.17927506566047668,0.18701928853988647
man-made,0.2333386391401291,0.38022056221961975,0.39670827984809875,0.32052144408226013,1.0,0.365624338388443,0.26884719729423523,0.29557469487190247,0.2836858928203583,0.3001144826412201
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.34503069519996643,0.42599979043006897,0.33959269523620605,0.23752127587795258,0.14887474477291107,0.2678719460964203,0.31091248989105225
self-sustaining,0.25801005959510803,0.24318672716617584,0.30016136169433594,0.23130114376544952,0.365624338388443,1.0000001192092896,0.3486045002937317,0.3580770492553711,0.1302739530801773,0.2591235339641571
nuclear,0.18137170374393463,0.20016400516033173,0.23911187052726746,0.22378550469875336,0.26884719729423523,0.3486045002937317,1.0000001192092896,0.34122735261917114,0.1522853970527649,0.1865687519311905
reaction,0.2452974170446396,0.19925570487976074,0.2163003534078598,0.23161469399929047,0.29557469487190247,0.3580770492553711,0.34122735261917114,0.9999999403953552,0.08714693039655685,0.2138621062040329
beneath,0.32860270142555237,0.2821284532546997,0.33674344420433044,0.12191306054592133,0.2064371109008789,0.21358034014701843,0.11189209669828415,0.16930174827575684,0.2565334141254425,0.16626206040382385
the,0.5003893971443176,0.5823672413825989,1.0,0.49448907375335693,0.39670827984809875,0.30016136169433594,0.23911187052726746,0.2163003534078598,0.407527357339859,0.22068053483963013
university,0.26550742983818054,0.20346471667289734,0.263973206281662,0.2596641778945923,0.23573817312717438,0.23248973488807678,0.21154196560382843,0.12184078246355057,0.2719898521900177,0.11887256056070328
's,0.0007701900321990252,0.02396530658006668,-0.01540423184633255,-0.014458609744906425,0.028159497305750847,-0.04955071583390236,-0.08068724721670151,-0.08974478393793106,-0.031078986823558807,-0.023395681753754616
stagg,0.1643107682466507,0.16897086799144745,0.2438848316669464,0.2057163566350937,0.2729507386684418,0.16709832847118378,0.12006215006113052,0.18893979489803314,0.10010140389204025,0.20493288338184357
field,0.1689169704914093,0.17269009351730347,0.2105809599161148,0.15457358956336975,0.1822236031293869,0.22457410395145416,0.21899184584617615,0.12543796002864838,0.11026396602392197,0.11279727518558502
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.4345304071903229,0.42360249161720276,0.3179531991481781,0.2137570083141327,0.2695828676223755,0.28226932883262634,0.4130953550338745
