,how,many,awards,has,doctor,who,been,nominated,for,",",over,the,years,?
doctor,0.2004029005765915,0.18319568037986755,0.16846410930156708,0.1778179407119751,0.9999999403953552,0.3504868149757385,0.12184444069862366,0.1173943355679512,0.1556548923254013,0.20407600700855255,0.12253336608409882,0.2820442318916321,0.1280619502067566,0.1462511420249939
who,0.4070430099964142,0.4149286150932312,0.22637341916561127,0.2558172643184662,0.3504868149757385,0.9999998807907104,0.3295723795890808,0.21708045899868011,0.37110671401023865,0.3365725874900818,0.316001296043396,0.3733934462070465,0.29867154359817505,0.26220351457595825
has,0.26820555329322815,0.4266262650489807,0.2708130478858948,1.0,0.1778179407119751,0.2558172643184662,0.6162750124931335,0.3766944408416748,0.450642853975296,0.3734780251979828,0.370955228805542,0.4177538752555847,0.25622743368148804,0.15994466841220856
been,0.26456597447395325,0.4963826537132263,0.23366226255893707,0.6162750124931335,0.12184444069862366,0.3295723795890808,0.9999998807907104,0.31920871138572693,0.39068686962127686,0.34873589873313904,0.36951375007629395,0.3563927710056305,0.36026424169540405,0.24354910850524902
nominated,0.15141324698925018,0.17937320470809937,0.5504184365272522,0.3766944408416748,0.1173943355679512,0.21708045899868011,0.31920871138572693,1.0,0.4048205018043518,0.2839058041572571,0.21789215505123138,0.22135822474956512,0.17024299502372742,0.23086711764335632
for,0.3308170735836029,0.40972793102264404,0.3199397027492523,0.450642853975296,0.1556548923254013,0.37110671401023865,0.39068686962127686,0.4048205018043518,0.9999999403953552,0.4464869201183319,0.3419422209262848,0.4739971458911896,0.2878222167491913,0.264628142118454
over,0.31446483731269836,0.47131630778312683,0.1877746731042862,0.370955228805542,0.12253336608409882,0.316001296043396,0.36951375007629395,0.21789215505123138,0.3419422209262848,0.3301127254962921,1.0,0.39856547117233276,0.3751278817653656,0.25742942094802856
200,-0.2139798104763031,-0.20917564630508423,-0.03954114019870758,-0.24588389694690704,-0.08469312638044357,-0.22405165433883667,-0.23145271837711334,-0.03632623329758644,-0.2096150517463684,-0.3042065501213074,-0.21613465249538422,-0.23840995132923126,-0.208002507686615,-0.22913911938667297
awards,0.20047736167907715,0.22891567647457123,1.0000001192092896,0.2708130478858948,0.16846410930156708,0.22637341916561127,0.23366226255893707,0.5504184365272522,0.3199397027492523,0.27591487765312195,0.1877746731042862,0.22946466505527496,0.22259706258773804,0.2122269868850708
and,0.33647966384887695,0.5296266674995422,0.24970239400863647,0.43716782331466675,0.21673844754695892,0.41279885172843933,0.3424558639526367,0.2143762856721878,0.5064792633056641,0.6633074283599854,0.4021143913269043,0.5171257257461548,0.300204873085022,0.20544172823429108
has,0.26820555329322815,0.4266262650489807,0.2708130478858948,1.0,0.1778179407119751,0.2558172643184662,0.6162750124931335,0.3766944408416748,0.450642853975296,0.3734780251979828,0.370955228805542,0.4177538752555847,0.25622743368148804,0.15994466841220856
won,0.13434793055057526,0.2252970188856125,0.5537689328193665,0.24499812722206116,0.20737384259700775,0.24654650688171387,0.25461843609809875,0.44799670577049255,0.3782569169998169,0.35968565940856934,0.2579330503940582,0.29432493448257446,0.23718126118183136,0.17925700545310974
over,0.31446483731269836,0.47131630778312683,0.1877746731042862,0.370955228805542,0.12253336608409882,0.316001296043396,0.36951375007629395,0.21789215505123138,0.3419422209262848,0.3301127254962921,1.0,0.39856547117233276,0.3751278817653656,0.25742942094802856
a,0.29312583804130554,0.2872205972671509,0.18129821121692657,0.4670248031616211,0.22883038222789764,0.36608949303627014,0.3315402865409851,0.21855126321315765,0.44038116931915283,0.427140474319458,0.32199642062187195,0.5829201340675354,0.23773819208145142,0.23916715383529663
hundred,0.21416880190372467,0.4232117235660553,0.18338777124881744,0.2664828896522522,0.08356548845767975,0.2917463183403015,0.32198116183280945,0.20581991970539093,0.2813427150249481,0.2916340231895447,0.43441301584243774,0.3325488865375519,0.5152035355567932,0.17378053069114685
of,0.2480744868516922,0.37253960967063904,0.20138365030288696,0.3909035325050354,0.16895952820777893,0.2827862501144409,0.31685134768486023,0.15318123996257782,0.4185989499092102,0.4946078956127167,0.36136594414711,0.733189046382904,0.2904134690761566,0.1826142966747284
them,0.5142028331756592,0.5119333863258362,0.17283552885055542,0.22823691368103027,0.22931043803691864,0.5243523120880127,0.36031466722488403,0.12930093705654144,0.41447147727012634,0.3985835015773773,0.37881892919540405,0.4788833558559418,0.2643817663192749,0.35435691475868225
.,0.3287222981452942,0.3974229395389557,0.24817058444023132,0.4105546176433563,0.22361043095588684,0.3541337847709656,0.33645182847976685,0.253734290599823,0.4726039469242096,0.6812511086463928,0.37877383828163147,0.5934505462646484,0.31919315457344055,0.4130953550338745
