,what,doctor,who,episode,won,a,hugo,award,in,2010,?
the,0.42745697498321533,0.2820442318916321,0.3733934462070465,0.25342556834220886,0.29432493448257446,0.5829201340675354,0.2635921835899353,0.24073810875415802,0.6662389636039734,0.31722962856292725,0.22068053483963013
winning,0.10492657124996185,0.15085053443908691,0.24573363363742828,0.2208886295557022,0.6938172578811646,0.22859083116054535,0.29985055327415466,0.5711818337440491,0.2760545015335083,0.1467750370502472,0.1251823455095291
episodes,0.15438014268875122,0.2920081615447998,0.20461446046829224,0.8163357973098755,0.18326663970947266,0.18881215155124664,0.16316454112529755,0.199703648686409,0.17357411980628967,0.05649189651012421,0.21740183234214783
were,0.22298263013362885,0.11412792652845383,0.3188014328479767,0.13574717938899994,0.26106932759284973,0.17203083634376526,0.13956841826438904,0.159928560256958,0.3815755248069763,0.3102222681045532,0.17890112102031708
``,0.008517155423760414,0.03718610852956772,0.02397952415049076,-0.035673100501298904,0.03902672603726387,0.07272057235240936,-0.013774187304079533,-0.08538899570703506,0.04765888676047325,0.007129318080842495,0.0685480609536171
the,0.42745697498321533,0.2820442318916321,0.3733934462070465,0.25342556834220886,0.29432493448257446,0.5829201340675354,0.2635921835899353,0.24073810875415802,0.6662389636039734,0.31722962856292725,0.22068053483963013
empty,0.17476437985897064,0.105336993932724,0.10688566416501999,0.16685019433498383,0.07806172966957092,0.17477411031723022,0.0703081488609314,0.08820633590221405,0.1864481121301651,0.04608744755387306,0.17362195253372192
child,0.21805857121944427,0.2421807199716568,0.29989326000213623,0.18244516849517822,0.11578977108001709,0.18734344840049744,0.1531122922897339,0.18377630412578583,0.19259177148342133,0.11831984668970108,0.1979578584432602
'',0.08143015950918198,0.06782495975494385,0.024401003494858742,-0.014759616926312447,0.01372323464602232,0.04890415817499161,-0.023280616849660873,-0.03323763236403465,0.07432962208986282,0.06542752683162689,0.018684765323996544
/,0.14327247440814972,0.17690815031528473,0.11989451199769974,0.19722336530685425,0.19657103717327118,0.21268421411514282,0.06980302929878235,0.17850831151008606,0.15140768885612488,0.11255349963903427,0.2429123967885971
'',0.08143015950918198,0.06782495975494385,0.024401003494858742,-0.014759616926312447,0.01372323464602232,0.04890415817499161,-0.023280616849660873,-0.03323763236403465,0.07432962208986282,0.06542752683162689,0.018684765323996544
the,0.42745697498321533,0.2820442318916321,0.3733934462070465,0.25342556834220886,0.29432493448257446,0.5829201340675354,0.2635921835899353,0.24073810875415802,0.6662389636039734,0.31722962856292725,0.22068053483963013
doctor,0.20870667695999146,0.9999999403953552,0.3504868149757385,0.2940889000892639,0.20737384259700775,0.22883038222789764,0.1866939216852188,0.14153583347797394,0.25567495822906494,0.06750862300395966,0.1462511420249939
dances,0.22141776978969574,0.08937207609415054,0.26090431213378906,0.09278485178947449,0.15933312475681305,0.2297239750623703,0.17739056050777435,0.22103853523731232,0.21640795469284058,0.10579703003168106,0.1551220864057541
'',0.08143015950918198,0.06782495975494385,0.024401003494858742,-0.014759616926312447,0.01372323464602232,0.04890415817499161,-0.023280616849660873,-0.03323763236403465,0.07432962208986282,0.06542752683162689,0.018684765323996544
(,0.2411840260028839,0.1570640504360199,0.2443375140428543,0.19250941276550293,0.25702881813049316,0.3206180930137634,0.1698152720928192,0.2435217648744583,0.3087427020072937,0.08905135095119476,0.40561532974243164
