,what,society,founded,the,university,of,chicago,?
founded,0.1163782924413681,0.2651806175708771,1.0000001192092896,0.2840350568294525,0.3603554666042328,0.24571022391319275,0.17652809619903564,0.09119737893342972
by,0.2455483376979828,0.14365209639072418,0.264241099357605,0.4408751428127289,0.1929011344909668,0.3646814823150635,0.18057090044021606,0.17966607213020325
the,0.42745697498321533,0.2789285480976105,0.2840350568294525,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
american,0.1909721940755844,0.1891384869813919,0.22614604234695435,0.24562937021255493,0.22128956019878387,0.22180068492889404,0.3793830871582031,0.18877598643302917
baptist,0.18676947057247162,0.14909596741199493,0.3030053675174713,0.19322502613067627,0.2729613482952118,0.2294047474861145,0.193944051861763,0.13512451946735382
education,0.19940856099128723,0.3612743616104126,0.2709895968437195,0.23982903361320496,0.503289520740509,0.3015166223049164,0.17451082170009613,0.18067774176597595
society,0.23231269419193268,0.9999998807907104,0.2651806175708771,0.2789285480976105,0.27261555194854736,0.23646748065948486,0.1606089323759079,0.1373005360364914
with,0.2464839518070221,0.1061180979013443,0.1719828099012375,0.4223487675189972,0.13264121115207672,0.41827285289764404,0.23699991405010223,0.2433311939239502
a,0.3320399522781372,0.22652459144592285,0.1686933934688568,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.17899899184703827,0.23916715383529663
donation,0.2708088159561157,0.22337806224822998,0.2164711356163025,0.2916262447834015,0.27285951375961304,0.2724698781967163,0.13393603265285492,0.2340010702610016
from,0.2737620174884796,0.18421071767807007,0.1587110161781311,0.40150508284568787,0.2771088182926178,0.4249346852302551,0.21376916766166687,0.19969791173934937
oil,0.14842186868190765,0.0741850957274437,0.08815662562847137,0.21849922835826874,0.14503049850463867,0.22900764644145966,0.08672285079956055,0.14867261052131653
magnate,0.12983864545822144,0.20908714830875397,0.317926824092865,0.1785733550786972,0.2510603964328766,0.2203247845172882,0.22691069543361664,0.10767308622598648
and,0.31309178471565247,0.24110737442970276,0.22426098585128784,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.23260825872421265,0.20544172823429108
wealthiest,0.22377167642116547,0.31220743060112,0.37432923913002014,0.3305174708366394,0.2887149155139923,0.3388553857803345,0.22848013043403625,0.15221920609474182
man,0.21916821599006653,0.21918348968029022,0.09692967683076859,0.23171134293079376,0.09502419084310532,0.16490690410137177,0.22013410925865173,0.2528940737247467
in,0.30808621644973755,0.21229879558086395,0.24877111613750458,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.20430970191955566
history,0.28630873560905457,0.27931901812553406,0.20679587125778198,0.33215048909187317,0.27712079882621765,0.31014925241470337,0.18275943398475647,0.2501974403858185
john,0.18237407505512238,0.21235418319702148,0.1427614688873291,0.2230520099401474,0.17917944490909576,0.2407056987285614,0.22266864776611328,0.13162356615066528
d.,0.05416262149810791,0.06223634257912636,0.052269987761974335,0.03410084545612335,-0.04384462907910347,0.025261009112000465,0.02317272499203682,-0.049560099840164185
rockefeller,0.1775365173816681,0.19296704232692719,0.22809909284114838,0.2275867909193039,0.32498377561569214,0.25062477588653564,0.3307574689388275,0.1453901082277298
",",0.3087472915649414,0.20629194378852844,0.24976085126399994,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.31091248989105225
the,0.42745697498321533,0.2789285480976105,0.2840350568294525,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
university,0.20256435871124268,0.27261555194854736,0.3603554666042328,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.11887256056070328
of,0.33290785551071167,0.23646748065948486,0.24571022391319275,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.1826142966747284
chicago,0.1521448791027069,0.1606089323759079,0.17652809619903564,0.27360326051712036,0.29005804657936096,0.18391016125679016,1.0,0.16446958482265472
was,0.22111038863658905,0.21627455949783325,0.36917948722839355,0.48711544275283813,0.290752112865448,0.4069072902202606,0.2574843168258667,0.18412111699581146
incorporated,0.16587792336940765,0.2187342643737793,0.33946841955184937,0.28890469670295715,0.20820875465869904,0.2825961709022522,0.20135851204395294,0.13423967361450195
in,0.30808621644973755,0.21229879558086395,0.24877111613750458,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.20430970191955566
1890,-0.032123319804668427,-0.00930747576057911,0.09400613605976105,-0.08158351480960846,0.0057269916869699955,-0.06748127192258835,-0.06956356763839722,-0.0038504337426275015
;,0.10986888408660889,0.0793188139796257,0.013201791793107986,0.09152708947658539,-0.012021088972687721,0.054534342139959335,0.06549166142940521,0.10349778085947037
william,0.24990826845169067,0.1482287496328354,0.18915040791034698,0.21537061035633087,0.21283619105815887,0.20272590219974518,0.14257648587226868,0.14462219178676605
rainey,0.15687088668346405,0.12139040976762772,0.19974473118782043,0.1976844072341919,0.304889440536499,0.2160302996635437,0.2627515494823456,0.27845558524131775
harper,0.20680077373981476,0.12851709127426147,0.11298156529664993,0.18981124460697174,0.18601959943771362,0.16742698848247528,0.24960723519325256,0.1652441769838333
became,0.1434093862771988,0.2186022847890854,0.3459945321083069,0.36325156688690186,0.25457096099853516,0.3638904094696045,0.15412721037864685,0.11374033987522125
the,0.42745697498321533,0.2789285480976105,0.2840350568294525,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
university,0.20256435871124268,0.27261555194854736,0.3603554666042328,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.11887256056070328
's,0.02692362666130066,-0.027537118643522263,0.011454867199063301,-0.01540423184633255,-0.007441582623869181,-0.03817026689648628,-0.0033615175634622574,-0.023395681753754616
first,0.28086137771606445,0.158951997756958,0.29694172739982605,0.49448907375335693,0.2596641778945923,0.3536086082458496,0.24072907865047455,0.18701928853988647
president,0.1870913952589035,0.1715964525938034,0.28054043650627136,0.24330610036849976,0.2515452206134796,0.21610750257968903,0.22458115220069885,0.14148259162902832
in,0.30808621644973755,0.21229879558086395,0.24877111613750458,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.20430970191955566
1891,0.16301026940345764,0.13427719473838806,0.169926255941391,0.20667614042758942,0.22507667541503906,0.18140734732151031,0.20165561139583588,0.17882704734802246
",",0.3087472915649414,0.20629194378852844,0.24976085126399994,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.31091248989105225
and,0.31309178471565247,0.24110737442970276,0.22426098585128784,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.23260825872421265,0.20544172823429108
the,0.42745697498321533,0.2789285480976105,0.2840350568294525,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
first,0.28086137771606445,0.158951997756958,0.29694172739982605,0.49448907375335693,0.2596641778945923,0.3536086082458496,0.24072907865047455,0.18701928853988647
classes,0.20746955275535583,0.29942578077316284,0.10796897858381271,0.21469499170780182,0.25311097502708435,0.19099700450897217,0.13722901046276093,0.14397528767585754
were,0.22298263013362885,0.19307035207748413,0.2034044712781906,0.3906462490558624,0.153096005320549,0.34038281440734863,0.12576541304588318,0.17890112102031708
held,0.0974166989326477,0.15058256685733795,0.31443139910697937,0.32185450196266174,0.18579119443893433,0.28960686922073364,0.1780158281326294,0.14103956520557404
in,0.30808621644973755,0.21229879558086395,0.24877111613750458,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.20430970191955566
1892,-0.018924584612250328,-0.040584586560726166,0.08769416809082031,0.1010928824543953,0.043279893696308136,0.06631195545196533,0.13613258302211761,-0.03980826586484909
.,0.3567904531955719,0.18022798001766205,0.23141497373580933,0.5934505462646484,0.290679007768631,0.5352458953857422,0.2771213948726654,0.4130953550338745
