,the,university,established,a,center,in,beijing,in,what,year,?
in,0.6662389636039734,0.3201795518398285,0.3118882477283478,0.539380669593811,0.27253323793411255,1.0,0.2894909381866455,1.0,0.30808621644973755,0.3359307050704956,0.20430970191955566
fall,0.3639753758907318,0.14549283683300018,0.15947885811328888,0.21384748816490173,0.1014457494020462,0.22958555817604065,0.18411904573440552,0.22958555817604065,0.26931828260421753,0.26067012548446655,0.1656162142753601
2010,0.31722962856292725,0.14908835291862488,0.2834063470363617,0.18140065670013428,0.12237498164176941,0.2692960798740387,0.24650084972381592,0.2692960798740387,0.2741409242153168,0.14087317883968353,0.21232788264751434
",",0.4933079481124878,0.3017033040523529,0.22739723324775696,0.427140474319458,0.1905742734670639,0.5201468467712402,0.26375576853752136,0.5201468467712402,0.3087472915649414,0.28560417890548706,0.31091248989105225
the,1.0,0.263973206281662,0.33092597126960754,0.5829201340675354,0.29064592719078064,0.6662389636039734,0.2713945806026459,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.22068053483963013
university,0.263973206281662,1.0,0.1973452866077423,0.20256656408309937,0.2763576805591583,0.3201795518398285,0.2903507947921753,0.3201795518398285,0.20256435871124268,0.15213046967983246,0.11887256056070328
of,0.733189046382904,0.30646374821662903,0.2735237777233124,0.5052502155303955,0.24526838958263397,0.5696388483047485,0.2152440845966339,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.1826142966747284
chicago,0.27360326051712036,0.29005804657936096,0.14742928743362427,0.17899899184703827,0.25957155227661133,0.23921214044094086,0.27448248863220215,0.23921214044094086,0.1521448791027069,0.1798611879348755,0.16446958482265472
also,0.6021018624305725,0.2568899393081665,0.20417658984661102,0.5149940252304077,0.2188228815793991,0.5073733329772949,0.19447709619998932,0.5073733329772949,0.42747777700424194,0.24424028396606445,0.21848613023757935
opened,0.28544309735298157,0.24912703037261963,0.44847723841667175,0.20146222412586212,0.2500689625740051,0.2972770035266876,0.24863062798976898,0.2972770035266876,0.14500318467617035,0.17148488759994507,0.1934700310230255
a,0.5829201340675354,0.20256656408309937,0.23500119149684906,1.0,0.2640431225299835,0.539380669593811,0.18541832268238068,0.539380669593811,0.3320399522781372,0.29350247979164124,0.23916715383529663
center,0.29064592719078064,0.2763576805591583,0.277944415807724,0.2640431225299835,0.9999999403953552,0.27253323793411255,0.21351145207881927,0.27253323793411255,0.1908310204744339,0.1111270859837532,0.12538520991802216
in,0.6662389636039734,0.3201795518398285,0.3118882477283478,0.539380669593811,0.27253323793411255,1.0,0.2894909381866455,1.0,0.30808621644973755,0.3359307050704956,0.20430970191955566
beijing,0.2713945806026459,0.2903507947921753,0.17605262994766235,0.18541832268238068,0.21351145207881927,0.2894909381866455,1.0000001192092896,0.2894909381866455,0.09482144564390182,0.2030424177646637,0.16358482837677002
",",0.4933079481124878,0.3017033040523529,0.22739723324775696,0.427140474319458,0.1905742734670639,0.5201468467712402,0.26375576853752136,0.5201468467712402,0.3087472915649414,0.28560417890548706,0.31091248989105225
near,0.2879819869995117,0.18687130510807037,0.15483351051807404,0.25033900141716003,0.26069921255111694,0.40211278200149536,0.14795640110969543,0.40211278200149536,0.19414293766021729,0.17220816016197205,0.10734958201646805
renmin,0.3220559060573578,0.3416437804698944,0.27283111214637756,0.29216665029525757,0.2175275683403015,0.3275481164455414,0.484870046377182,0.3275481164455414,0.1719060242176056,0.27745985984802246,0.2270408272743225
university,0.263973206281662,1.0,0.1973452866077423,0.20256656408309937,0.2763576805591583,0.3201795518398285,0.2903507947921753,0.3201795518398285,0.20256435871124268,0.15213046967983246,0.11887256056070328
's,-0.01540423184633255,-0.007441582623869181,-0.05163693428039551,0.04866964742541313,-0.006294060964137316,-0.037580832839012146,0.05236640200018883,-0.037580832839012146,0.02692362666130066,-0.04087831452488899,-0.023395681753754616
campus,0.20087170600891113,0.557883620262146,0.27523109316825867,0.17332303524017334,0.2788240909576416,0.2525809109210968,0.19210360944271088,0.2525809109210968,0.13670016825199127,0.16623269021511078,0.06952692568302155
in,0.6662389636039734,0.3201795518398285,0.3118882477283478,0.539380669593811,0.27253323793411255,1.0,0.2894909381866455,1.0,0.30808621644973755,0.3359307050704956,0.20430970191955566
haidian,0.3045678734779358,0.17972546815872192,0.21050433814525604,0.23694512248039246,0.20695814490318298,0.18655599653720856,0.2760057747364044,0.18655599653720856,0.2293727695941925,0.1832893192768097,0.1332760900259018
district,0.2690705955028534,0.22784672677516937,0.2593587040901184,0.20739410817623138,0.19152459502220154,0.30883273482322693,0.2131795585155487,0.30883273482322693,0.13126243650913239,0.20726290345191956,0.06725285202264786
.,0.5934505462646484,0.290679007768631,0.23771190643310547,0.50484299659729,0.29649654030799866,0.5591574311256409,0.25429755449295044,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.4130953550338745
