,what,club,won,118,tournaments,and,15,national,championships,?
notable,0.31026893854141235,0.09404909610748291,0.19980120658874512,-0.016538023948669434,0.15251219272613525,0.18581628799438477,-0.0056848954409360886,0.19956113398075104,0.14241139590740204,0.31928157806396484
extracurricular,0.2601011097431183,0.23548640310764313,0.16589470207691193,-0.09888478368520737,0.3079393208026886,0.32154303789138794,-0.04611250013113022,0.31935957074165344,0.28922390937805176,0.23387525975704193
groups,0.23137421905994415,0.15424448251724243,0.13488049805164337,0.060234058648347855,0.20193856954574585,0.29783302545547485,-0.028278959915041924,0.12355790287256241,0.2244681566953659,0.14349548518657684
include,0.1535889357328415,0.1295250952243805,0.16130875051021576,0.008253296837210655,0.18312104046344757,0.3915219306945801,0.006194563582539558,0.15173164010047913,0.17157196998596191,0.14925788342952728
the,0.42745697498321533,0.23249365389347076,0.29432493448257446,-0.022222766652703285,0.24384206533432007,0.5171257257461548,-0.011810222640633583,0.32739606499671936,0.2617073357105255,0.22068053483963013
university,0.20256435871124268,0.21300561726093292,0.2108178734779358,-0.04759233444929123,0.18287181854248047,0.2665814459323883,-0.0015450796345248818,0.35592976212501526,0.23157356679439545,0.11887256056070328
of,0.33290785551071167,0.19264739751815796,0.20832067728042603,-0.022072508931159973,0.16777454316616058,0.5116966962814331,-0.02319195494055748,0.3314673602581024,0.2130236178636551,0.1826142966747284
chicago,0.1521448791027069,0.14231647551059723,0.2178531438112259,-0.045974407345056534,0.1161709725856781,0.23260825872421265,-0.04697427526116371,0.26140397787094116,0.23777489364147186,0.16446958482265472
college,0.20568516850471497,0.19577690958976746,0.24720241129398346,-0.05387089401483536,0.254402220249176,0.24619808793067932,0.05467964708805084,0.2778998613357544,0.23154760897159576,0.11076676845550537
bowl,0.15942467749118805,0.19740748405456543,0.2380966693162918,-0.06864292919635773,0.26028481125831604,0.1698254644870758,0.08152211457490921,0.2769610285758972,0.37443116307258606,0.21118052303791046
team,0.17632107436656952,0.39473021030426025,0.3517186939716339,-0.0892457515001297,0.382878839969635,0.22394508123397827,0.11882986128330231,0.379366934299469,0.5003917217254639,0.11243411153554916
",",0.3087472915649414,0.2388690710067749,0.35968565940856934,0.048639312386512756,0.2573385536670685,0.6633074283599854,-0.03563398867845535,0.23933029174804688,0.28172388672828674,0.31091248989105225
which,0.5261979103088379,0.257539838552475,0.15727952122688293,0.06547988206148148,0.26793718338012695,0.506277859210968,-0.08059433102607727,0.28337109088897705,0.18657568097114563,0.25814583897590637
has,0.20338068902492523,0.1866743117570877,0.24499812722206116,-0.009670921601355076,0.19659577310085297,0.43716782331466675,-0.030479373410344124,0.2672328054904938,0.1912701576948166,0.15994466841220856
won,0.14840687811374664,0.22157804667949677,1.0000001192092896,-0.01608024537563324,0.43518319725990295,0.2795773446559906,0.08368123322725296,0.24765413999557495,0.532523512840271,0.17925700545310974
118,0.002697170712053776,-0.0011871554888784885,-0.01608024537563324,0.9999999403953552,0.03085135482251644,0.05198301374912262,0.10128066688776016,-0.09289762377738953,-0.07279404252767563,-0.043735772371292114
tournaments,0.1823897361755371,0.28453001379966736,0.43518319725990295,0.03085135482251644,0.9999999403953552,0.26795557141304016,0.09783825278282166,0.20768466591835022,0.6059411764144897,0.14917542040348053
and,0.31309178471565247,0.2211807519197464,0.2795773446559906,0.05198301374912262,0.26795557141304016,1.0,0.031420208513736725,0.2608908712863922,0.27021536231040955,0.20544172823429108
15,-0.01077192835509777,0.10603759437799454,0.08368123322725296,0.10128066688776016,0.09783825278282166,0.031420208513736725,0.9999999403953552,-0.026871979236602783,0.11809840798377991,-0.010706285014748573
national,0.16882304847240448,0.2510594427585602,0.24765413999557495,-0.09289762377738953,0.20768466591835022,0.2608908712863922,-0.026871979236602783,1.0000001192092896,0.2693560719490051,0.15643028914928436
championships,0.1320040374994278,0.33066561818122864,0.532523512840271,-0.07279404252767563,0.6059411764144897,0.27021536231040955,0.11809840798377991,0.2693560719490051,1.0000001192092896,0.12499503791332245
",",0.3087472915649414,0.2388690710067749,0.35968565940856934,0.048639312386512756,0.2573385536670685,0.6633074283599854,-0.03563398867845535,0.23933029174804688,0.28172388672828674,0.31091248989105225
leading,0.197072371840477,0.08473172783851624,0.33259567618370056,-0.015865687280893326,0.2636479437351227,0.34015700221061707,0.06684993952512741,0.2685571014881134,0.23081858456134796,0.1360926628112793
both,0.3361809551715851,0.16615977883338928,0.2647591531276703,-0.007823401130735874,0.291090726852417,0.5503310561180115,0.03623330220580101,0.17430591583251953,0.2561607360839844,0.19455738365650177
categories,0.27071893215179443,0.0821128636598587,0.2048478126525879,-0.13117872178554535,0.196514293551445,0.2893967628479004,-0.06109783053398132,0.1384691447019577,0.22569841146469116,0.3382010757923126
internationally,0.14883552491664886,0.3211563229560852,0.2509077191352844,0.02734389156103134,0.3394445776939392,0.2927923798561096,0.03559760004281998,0.4106484353542328,0.2651993930339813,0.13284996151924133
.,0.3567904531955719,0.2326166033744812,0.3011801838874817,0.020522603765130043,0.2232990264892578,0.588965117931366,-0.05741225555539131,0.29436907172203064,0.22637838125228882,0.4130953550338745
