,what,is,the,name,of,the,co-ed,community,service,fraternity,?
there,0.35085538029670715,0.3904260993003845,0.47025805711746216,0.1687372922897339,0.44397735595703125,0.47025805711746216,0.27250707149505615,0.2993071973323822,0.1705930233001709,0.1086234450340271,0.29405656456947327
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.17349179089069366,0.39081433415412903,0.40399202704429626,0.24150916934013367,0.2440178245306015,0.14771409332752228,0.17665863037109375,0.24591213464736938
fifteen,0.1279425173997879,0.165239155292511,0.32743558287620544,0.07030105590820312,0.3483448326587677,0.32743558287620544,0.22852222621440887,0.09772444516420364,0.0983552485704422,0.19328682124614716,0.14574173092842102
fraternities,0.16385313868522644,0.21258661150932312,0.251118928194046,0.18068639934062958,0.276870995759964,0.251118928194046,0.11404109746217728,0.3435715138912201,0.2402573972940445,0.8679866194725037,0.21174144744873047
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.28629690408706665,0.2756517827510834,0.24532052874565125,0.2456001490354538,0.20544172823429108
seven,0.15978287160396576,0.18867620825767517,0.28151169419288635,0.10553528368473053,0.273354172706604,0.28151169419288635,0.11559335887432098,0.10681518912315369,0.13372662663459778,0.17289546132087708,0.1732930988073349
sororities,0.2515660524368286,0.23405414819717407,0.2839075028896332,0.19560080766677856,0.23068663477897644,0.2839075028896332,0.1506584733724594,0.3347669839859009,0.2155545949935913,0.4867075979709625,0.19557832181453705
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.11450952291488647,0.42558613419532776,0.457212895154953,0.1899821013212204,0.19107957184314728,0.2093784511089325,0.12039998173713684,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2535933554172516,0.2601400911808014,0.22661015391349792,0.2493952065706253,0.22068053483963013
university,0.20256435871124268,0.20346471667289734,0.263973206281662,0.1568726748228073,0.30646374821662903,0.263973206281662,0.0877656638622284,0.20049108564853668,0.18547870218753815,0.31465649604797363,0.11887256056070328
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.22296744585037231,0.2367410808801651,0.18425606191158295,0.26163163781166077,0.1826142966747284
chicago,0.1521448791027069,0.12146236002445221,0.27360326051712036,0.1020326316356659,0.18391016125679016,0.27360326051712036,0.10733877122402191,0.17196603119373322,0.16424579918384552,0.2010524570941925,0.16446958482265472
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.24209316074848175,0.2761111557483673,0.2389259785413742,0.1849011778831482,0.31091248989105225
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.26778531074523926,0.22733435034751892,0.21829554438591003,0.21144936978816986,0.27043893933296204
well,0.4154493808746338,0.33406564593315125,0.42630070447921753,0.17632928490638733,0.3343164324760437,0.42630070447921753,0.33822736144065857,0.3050997853279114,0.13545310497283936,0.13765254616737366,0.24815571308135986
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.26778531074523926,0.22733435034751892,0.21829554438591003,0.21144936978816986,0.27043893933296204
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.27018114924430847,0.4999135136604309,0.5514441132545471,0.28755220770835876,0.22219981253147125,0.13805261254310608,0.20851761102676392,0.2673267424106598
co-ed,0.206447571516037,0.14602325856685638,0.2535933554172516,0.151654452085495,0.22296744585037231,0.2535933554172516,1.0000001192092896,0.10444601625204086,0.11984594911336899,0.11756743490695953,0.13348940014839172
community,0.29032719135284424,0.26023760437965393,0.2601400911808014,0.146366685628891,0.2367410808801651,0.2601400911808014,0.10444601625204086,0.9999998807907104,0.2099054753780365,0.27299830317497253,0.2380419820547104
service,0.16857224702835083,0.15705204010009766,0.22661015391349792,0.16454491019248962,0.18425606191158295,0.22661015391349792,0.11984594911336899,0.2099054753780365,0.9999998807907104,0.1892012655735016,0.1676298975944519
fraternity,0.1347600668668747,0.20013339817523956,0.2493952065706253,0.20637023448944092,0.26163163781166077,0.2493952065706253,0.11756743490695953,0.27299830317497253,0.1892012655735016,1.0,0.1895565241575241
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.24209316074848175,0.2761111557483673,0.2389259785413742,0.1849011778831482,0.31091248989105225
alpha,0.1339365392923355,0.18816643953323364,0.24030061066150665,0.18153317272663116,0.16593877971172333,0.24030061066150665,0.1595757156610489,0.1385613977909088,0.12241233885288239,0.3895263075828552,0.15648643672466278
phi,0.1593429446220398,0.16259990632534027,0.22117750346660614,0.14783929288387299,0.1989932507276535,0.22117750346660614,0.07433894276618958,0.09997148811817169,0.1609317660331726,0.47404712438583374,0.193189337849617
omega,0.13093198835849762,0.23680001497268677,0.2733702063560486,0.1884130835533142,0.22885087132453918,0.2733702063560486,0.11725842952728271,0.05060762166976929,0.12116468697786331,0.3211399018764496,0.08969245105981827
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.21347324550151825,0.2594514787197113,0.2115515172481537,0.1576157808303833,0.4130953550338745
