,what,alumni,was,also,an,attorney,general,and,a,federal,judge,?
notable,0.31026893854141235,0.3171335458755493,0.175777867436409,0.2548656165599823,0.23083588480949402,0.17065198719501495,0.15355175733566284,0.18581628799438477,0.21731382608413696,0.09536004811525345,0.23147881031036377,0.31928157806396484
alumni,0.11965817958116531,1.0,0.1874379962682724,0.22353194653987885,0.06920046359300613,0.1672843098640442,0.1670725792646408,0.19591780006885529,0.15357637405395508,0.18023887276649475,0.09713593125343323,0.130934476852417
in,0.30808621644973755,0.2126772403717041,0.45514053106307983,0.5073733329772949,0.2605783939361572,0.24757009744644165,0.259066641330719,0.4954058527946472,0.539380669593811,0.22709031403064728,0.2260766327381134,0.20430970191955566
the,0.42745697498321533,0.22524002194404602,0.48711544275283813,0.6021018624305725,0.4207492768764496,0.21909913420677185,0.28634732961654663,0.5171257257461548,0.5829201340675354,0.27537089586257935,0.21985375881195068,0.22068053483963013
field,0.1825202852487564,0.1163143739104271,0.15975919365882874,0.20099256932735443,0.1812812238931656,0.17313793301582336,0.23673586547374725,0.26487240195274353,0.2030690312385559,0.10673057287931442,0.13396817445755005,0.11279727518558502
of,0.33290785551071167,0.27771928906440735,0.4069072902202606,0.4924938678741455,0.32280945777893066,0.2063351422548294,0.28352999687194824,0.5116966962814331,0.5052502155303955,0.264590859413147,0.18874549865722656,0.1826142966747284
government,0.28074538707733154,0.17043203115463257,0.2995857298374176,0.262620747089386,0.15164874494075775,0.27750837802886963,0.3210046589374542,0.2859337627887726,0.25158295035362244,0.5686597228050232,0.20511503517627716,0.18851417303085327
and,0.31309178471565247,0.19591780006885529,0.3740963041782379,0.5755972862243652,0.2838519215583801,0.20959897339344025,0.25860127806663513,1.0,0.3739250600337982,0.23157308995723724,0.21714644134044647,0.20544172823429108
politics,0.2674756944179535,0.25428542494773865,0.2428772896528244,0.22910742461681366,0.18132266402244568,0.32200267910957336,0.278253972530365,0.3226323425769806,0.2112010270357132,0.26140639185905457,0.266297847032547,0.16389669477939606
include,0.1535889357328415,0.17035536468029022,0.10680413991212845,0.4212084710597992,0.14737801253795624,0.11579817533493042,0.11024434864521027,0.3915219306945801,0.18765322864055634,0.09727997332811356,0.10825373977422714,0.14925788342952728
the,0.42745697498321533,0.22524002194404602,0.48711544275283813,0.6021018624305725,0.4207492768764496,0.21909913420677185,0.28634732961654663,0.5171257257461548,0.5829201340675354,0.27537089586257935,0.21985375881195068,0.22068053483963013
founder,0.14688730239868164,0.2159617841243744,0.3223331570625305,0.23570314049720764,0.14463269710540771,0.2788907587528229,0.22027017176151276,0.22729523479938507,0.15995511412620544,0.09731888025999069,0.13637962937355042,0.13665783405303955
of,0.33290785551071167,0.27771928906440735,0.4069072902202606,0.4924938678741455,0.32280945777893066,0.2063351422548294,0.28352999687194824,0.5116966962814331,0.5052502155303955,0.264590859413147,0.18874549865722656,0.1826142966747284
modern,0.2655639946460724,0.11265353113412857,0.23571695387363434,0.29002171754837036,0.16874317824840546,0.12409640103578568,0.10259630531072617,0.3277876079082489,0.24361324310302734,0.10730741173028946,0.07753639668226242,0.12475407868623734
community,0.29032719135284424,0.16208600997924805,0.2025771290063858,0.24745750427246094,0.24982967972755432,0.1997768133878708,0.1851346790790558,0.2756517827510834,0.2694961726665497,0.20873653888702393,0.238131582736969,0.2380419820547104
organizing,0.25591719150543213,0.22985877096652985,0.21937614679336548,0.25268712639808655,0.1704370230436325,0.18575535714626312,0.2525888681411743,0.2579902708530426,0.2575606405735016,0.25794902443885803,0.0974162369966507,0.14538010954856873
saul,0.2770378589630127,0.18812140822410583,0.25737234950065613,0.23571406304836273,0.08197977393865585,0.09514713287353516,0.09081993997097015,0.2295764535665512,0.1769462525844574,0.09974122792482376,0.12277007848024368,0.19444164633750916
alinsky,0.14602021872997284,0.11553630977869034,0.23127354681491852,0.15200525522232056,0.15939347445964813,0.22859624028205872,0.11730214953422546,0.18671312928199768,0.20348578691482544,0.19014288485050201,0.20707501471042633,0.13827551901340485
",",0.3087472915649414,0.2394251972436905,0.45456063747406006,0.4717654287815094,0.3581022024154663,0.22761017084121704,0.3022127151489258,0.6633074283599854,0.427140474319458,0.2547801733016968,0.2974090576171875,0.31091248989105225
obama,0.1679007112979889,0.17556826770305634,0.2369607388973236,0.243915855884552,0.14871224761009216,0.2945019006729126,0.17911618947982788,0.22087924182415009,0.20816554129123688,0.232757568359375,0.166330024600029,0.2326410561800003
campaign,0.22158007323741913,0.18223287165164948,0.2556212544441223,0.23032592236995697,0.14041902124881744,0.25970178842544556,0.2775784134864807,0.20802859961986542,0.20502153038978577,0.18703974783420563,0.1450929343700409,0.162482351064682
advisor,0.1469605714082718,0.19027747213840485,0.3046267628669739,0.19909381866455078,0.14075537025928497,0.34052708745002747,0.23590406775474548,0.21706335246562958,0.15934504568576813,0.13438843190670013,0.25167304277420044,0.0939842164516449
and,0.31309178471565247,0.19591780006885529,0.3740963041782379,0.5755972862243652,0.2838519215583801,0.20959897339344025,0.25860127806663513,1.0,0.3739250600337982,0.23157308995723724,0.21714644134044647,0.20544172823429108
top,0.21232028305530548,0.17973142862319946,0.1381647288799286,0.2643655836582184,0.1313013881444931,0.07838854938745499,0.08644416928291321,0.281191349029541,0.2422690987586975,0.10543419420719147,0.17124909162521362,0.17265194654464722
political,0.21846716105937958,0.15611149370670319,0.24282537400722504,0.2067996710538864,0.20845253765583038,0.3134932816028595,0.267457515001297,0.33013346791267395,0.21418654918670654,0.28768429160118103,0.25488749146461487,0.17130474746227264
advisor,0.1469605714082718,0.19027747213840485,0.3046267628669739,0.19909381866455078,0.14075537025928497,0.34052708745002747,0.23590406775474548,0.21706335246562958,0.15934504568576813,0.13438843190670013,0.25167304277420044,0.0939842164516449
to,0.455847829580307,0.16467376053333282,0.3636345863342285,0.5348826050758362,0.3138085603713989,0.20471401512622833,0.24755197763442993,0.48971283435821533,0.45503583550453186,0.22186443209648132,0.23062574863433838,0.29463258385658264
president,0.1870913952589035,0.21447357535362244,0.2505730390548706,0.17705458402633667,0.16313809156417847,0.3857390284538269,0.28887805342674255,0.23286236822605133,0.16959697008132935,0.3857640027999878,0.31671544909477234,0.14148259162902832
bill,0.16425743699073792,0.12100935727357864,0.18893268704414368,0.2585388422012329,0.12577931582927704,0.2655293941497803,0.12092206627130508,0.24696701765060425,0.24716360867023468,0.23940816521644592,0.2059946209192276,0.12855131924152374
clinton,0.1672235131263733,0.2596804201602936,0.23761619627475739,0.21108940243721008,0.13808678090572357,0.3170059621334076,0.17956559360027313,0.25040367245674133,0.22617071866989136,0.2851473391056061,0.1864567995071411,0.22146934270858765
david,0.1299152821302414,0.19291892647743225,0.2655363976955414,0.1866082102060318,0.15602213144302368,0.23571403324604034,0.18755684792995453,0.22867785394191742,0.19156141579151154,0.14049048721790314,0.24461039900779724,0.04158485680818558
axelrod,0.20197981595993042,0.18476442992687225,0.3214149475097656,0.21830697357654572,0.24528343975543976,0.34578439593315125,0.2327069640159607,0.3288930654525757,0.21623782813549042,0.21406325697898865,0.28941062092781067,0.1963425576686859
",",0.3087472915649414,0.2394251972436905,0.45456063747406006,0.4717654287815094,0.3581022024154663,0.22761017084121704,0.3022127151489258,0.6633074283599854,0.427140474319458,0.2547801733016968,0.2974090576171875,0.31091248989105225
attorney,0.19245201349258423,0.1672843098640442,0.25042402744293213,0.15845683217048645,0.2214432954788208,1.0000001192092896,0.354536235332489,0.20959897339344025,0.23149512708187103,0.330322802066803,0.5228957533836365,0.14764122664928436
general,0.24928055703639984,0.1670725792646408,0.2445744127035141,0.23267501592636108,0.16276395320892334,0.354536235332489,1.0000001192092896,0.25860127806663513,0.2157215178012848,0.2616192102432251,0.23906806111335754,0.1972234547138214
and,0.31309178471565247,0.19591780006885529,0.3740963041782379,0.5755972862243652,0.2838519215583801,0.20959897339344025,0.25860127806663513,1.0,0.3739250600337982,0.23157308995723724,0.21714644134044647,0.20544172823429108
federal,0.2415231615304947,0.18023887276649475,0.23023395240306854,0.2217554748058319,0.14592841267585754,0.330322802066803,0.2616192102432251,0.23157308995723724,0.21018525958061218,1.0000001192092896,0.2822082042694092,0.1812247931957245
judge,0.30616456270217896,0.09713593125343323,0.25529512763023376,0.1537960022687912,0.23586603999137878,0.5228957533836365,0.23906806111335754,0.21714644134044647,0.25238069891929626,0.2822082042694092,1.0000001192092896,0.1870231032371521
robert,0.1948658525943756,0.17206764221191406,0.24186499416828156,0.19656740128993988,0.162705197930336,0.29970329999923706,0.17545409500598907,0.21826715767383575,0.2100449502468109,0.12145186215639114,0.16295070946216583,0.11293095350265503
bork,0.2821780741214752,0.14429712295532227,0.2639884948730469,0.23860329389572144,0.17776267230510712,0.3376918137073517,0.1586444228887558,0.27413710951805115,0.2482970654964447,0.25050607323646545,0.3604868948459625,0.2713235914707184
",",0.3087472915649414,0.2394251972436905,0.45456063747406006,0.4717654287815094,0.3581022024154663,0.22761017084121704,0.3022127151489258,0.6633074283599854,0.427140474319458,0.2547801733016968,0.2974090576171875,0.31091248989105225
attorney,0.19245201349258423,0.1672843098640442,0.25042402744293213,0.15845683217048645,0.2214432954788208,1.0000001192092896,0.354536235332489,0.20959897339344025,0.23149512708187103,0.330322802066803,0.5228957533836365,0.14764122664928436
general,0.24928055703639984,0.1670725792646408,0.2445744127035141,0.23267501592636108,0.16276395320892334,0.354536235332489,1.0000001192092896,0.25860127806663513,0.2157215178012848,0.2616192102432251,0.23906806111335754,0.1972234547138214
