,who,did,gegeen,appoint,as,grand,chancellor,?
he,0.5500732064247131,0.3292143940925598,0.24951152503490448,0.32589006423950195,0.33787044882774353,0.21114638447761536,0.2918226420879364,0.2089974731206894
continued,0.15470513701438904,0.4863187372684479,0.2178661972284317,0.2979423701763153,0.2586710751056671,0.17478367686271667,0.20519204437732697,0.10404038429260254
his,0.44966956973075867,0.3546801507472992,0.2667858600616455,0.298401415348053,0.3146366477012634,0.19054441154003143,0.2430783212184906,0.18075084686279297
father,0.4164644777774811,0.3227277100086212,0.25536268949508667,0.28918009996414185,0.2646642327308655,0.18592728674411774,0.19629880785942078,0.14826634526252747
's,0.05599616840481758,0.05069678649306297,0.1014862209558487,-0.03264938294887543,-0.05775856226682663,-0.005897364113479853,-0.0661676824092865,-0.023395681753754616
policies,0.2789143919944763,0.28301122784614563,0.19895625114440918,0.303512841463089,0.27189746499061584,0.08694758266210556,0.25321879982948303,0.2969106435775757
to,0.42656609416007996,0.4452643394470215,0.26907095313072205,0.3012806177139282,0.42092081904411316,0.21583840250968933,0.1711324155330658,0.29463258385658264
reform,0.2350572645664215,0.2208065688610077,0.1957612782716751,0.2865433990955353,0.25648796558380127,0.10664902627468109,0.29529622197151184,0.14216484129428864
the,0.3733934462070465,0.34736719727516174,0.29155126214027405,0.25431281328201294,0.48381632566452026,0.305169016122818,0.2517296373844147,0.22068053483963013
government,0.27194860577583313,0.2792121469974518,0.28673243522644043,0.44254666566848755,0.1883569210767746,0.22930900752544403,0.41124609112739563,0.18851417303085327
based,0.20479141175746918,0.15722841024398804,0.1849670112133026,0.1401449739933014,0.2264380156993866,0.10369069129228592,0.1055845245718956,0.134929820895195
on,0.2340552806854248,0.2670976221561432,0.2905907928943634,0.1562364399433136,0.36047765612602234,0.14161232113838196,0.17473845183849335,0.2714994251728058
the,0.3733934462070465,0.34736719727516174,0.29155126214027405,0.25431281328201294,0.48381632566452026,0.305169016122818,0.2517296373844147,0.22068053483963013
confucian,0.2804688811302185,0.18195006251335144,0.29235684871673584,0.2322901040315628,0.23386338353157043,0.16849972307682037,0.3236735463142395,0.19014938175678253
principles,0.22023946046829224,0.19997194409370422,0.25858670473098755,0.20066951215267181,0.2684563398361206,0.10958918929100037,0.13583996891975403,0.19203636050224304
",",0.3365725874900818,0.3015086054801941,0.31814858317375183,0.25567105412483215,0.48816442489624023,0.29582488536834717,0.24779729545116425,0.31091248989105225
with,0.3282766342163086,0.25472134351730347,0.2518509328365326,0.13091154396533966,0.40387406945228577,0.1832142472267151,0.11397808790206909,0.2433311939239502
the,0.3733934462070465,0.34736719727516174,0.29155126214027405,0.25431281328201294,0.48381632566452026,0.305169016122818,0.2517296373844147,0.22068053483963013
help,0.3826322555541992,0.35430794954299927,0.2675515115261078,0.24782267212867737,0.2739662528038025,0.050226517021656036,0.18804813921451569,0.28403452038764954
of,0.2827862501144409,0.2513895630836487,0.3009415864944458,0.3188447058200836,0.3886612355709076,0.27195852994918823,0.2609841823577881,0.1826142966747284
his,0.44966956973075867,0.3546801507472992,0.2667858600616455,0.298401415348053,0.3146366477012634,0.19054441154003143,0.2430783212184906,0.18075084686279297
newly,0.2577650249004364,0.18732944130897522,0.28154608607292175,0.26720917224884033,0.28932225704193115,0.15103361010551453,0.19536592066287994,0.08549588173627853
appointed,0.3215055465698242,0.2657434642314911,0.28964346647262573,0.838501513004303,0.2932926416397095,0.2008119523525238,0.452136367559433,0.13895352184772491
grand,0.10673706978559494,0.17368978261947632,0.1804269552230835,0.1942402571439743,0.1407623589038849,0.9999999403953552,0.18074801564216614,0.1168735921382904
chancellor,0.2327079325914383,0.20414525270462036,0.37061792612075806,0.46573227643966675,0.26085373759269714,0.18074801564216614,1.0,0.12048398703336716
baiju,0.22374427318572998,0.1892494112253189,0.49314895272254944,0.15283283591270447,0.2780377268791199,0.18818283081054688,0.2093992382287979,0.30234643816947937
.,0.3541337847709656,0.35288307070732117,0.33113908767700195,0.24049615859985352,0.515582263469696,0.22995266318321228,0.2324420064687729,0.4130953550338745
