,who,was,the,second,female,nobel,laureate,?
a.,0.0677177682518959,0.02592141553759575,-0.06011331453919411,-0.054986730217933655,-0.04688120260834694,0.05384958162903786,0.04427305981516838,0.04165230318903923
michelson,0.27096688747406006,0.2875174582004547,0.20293888449668884,0.16435013711452484,0.09243004769086838,0.3686823844909668,0.37807732820510864,0.1441011279821396
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.29927265644073486,0.1907428652048111,0.29036787152290344,0.26865848898887634,0.31091248989105225
elementary,0.15313595533370972,0.1852416843175888,0.1842510998249054,0.15887467563152313,0.08356311917304993,0.18194447457790375,0.2623181939125061,0.14365358650684357
charge,0.2713773250579834,0.2562176287174225,0.2730984687805176,0.18254199624061584,0.12758640944957733,0.18013152480125427,0.1595345437526703,0.0958876758813858
calculator,0.2052597850561142,0.18346674740314484,0.1913321614265442,0.1477113515138626,0.08256766200065613,0.2189245969057083,0.23248691856861115,0.19662337005138397
robert,0.2748492956161499,0.24186499416828156,0.2257954627275467,0.14182209968566895,0.07788704335689545,0.23964105546474457,0.28781238198280334,0.11293095350265503
a.,0.0677177682518959,0.02592141553759575,-0.06011331453919411,-0.054986730217933655,-0.04688120260834694,0.05384958162903786,0.04427305981516838,0.04165230318903923
millikan,0.27059006690979004,0.36415284872055054,0.24676664173603058,0.25077784061431885,0.15947933495044708,0.39619722962379456,0.41231241822242737,0.1613718867301941
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.29927265644073486,0.1907428652048111,0.29036787152290344,0.26865848898887634,0.31091248989105225
discoverer,0.21377472579479218,0.24926915764808655,0.23508000373840332,0.13423238694667816,0.0600401796400547,0.3957052528858185,0.37597528100013733,0.13923315703868866
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.353416383266449,0.26416701078414917,0.20963376760482788,0.24237091839313507,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.4620301127433777,0.2673940658569336,0.1909446120262146,0.18559721112251282,0.22068053483963013
compton,0.15395206212997437,0.28167107701301575,0.2691735029220581,0.17732879519462585,0.1237078383564949,0.1984233260154724,0.20458658039569855,0.20586760342121124
effect,0.18047219514846802,0.16271711885929108,0.2865084111690521,0.20963381230831146,0.08955240994691849,0.1941872537136078,0.17691317200660706,0.1783771812915802
arthur,0.19130396842956543,0.24087782204151154,0.19352269172668457,0.20944367349147797,0.08478590846061707,0.2100585699081421,0.24654661118984222,0.16990946233272552
