,according,to,the,wealth,concentration,theory,",",what,advantage,do,the,wealthy,have,in,accumulating,new,wealth,?
according,1.0,0.28520727157592773,0.3202974498271942,0.285123348236084,0.1446361392736435,0.2092074304819107,0.3107093870639801,0.2776208221912384,0.1365923285484314,0.16328340768814087,0.3202974498271942,0.20193420350551605,0.23988237977027893,0.29259276390075684,0.13376472890377045,0.1695622354745865,0.285123348236084,0.21173474192619324
to,0.28520727157592773,1.0,0.535392165184021,0.30562296509742737,0.26137882471084595,0.21947365999221802,0.44245919585227966,0.455847829580307,0.27752500772476196,0.38876664638519287,0.535392165184021,0.2669115960597992,0.4544740617275238,0.45010748505592346,0.2516544461250305,0.33159172534942627,0.30562296509742737,0.29463258385658264
this,0.2687089741230011,0.5759071707725525,0.6274310946464539,0.24383994936943054,0.2483668476343155,0.2884212136268616,0.4316047728061676,0.5489566326141357,0.33050379157066345,0.34963881969451904,0.6274310946464539,0.17874133586883545,0.4660032093524933,0.45205554366111755,0.33112892508506775,0.3234144449234009,0.24383994936943054,0.3155723512172699
theory,0.2092074304819107,0.21947365999221802,0.2277156263589859,0.20340721309185028,0.186442032456398,0.9999999403953552,0.18095813691616058,0.297923743724823,0.2721365988254547,0.16586095094680786,0.2277156263589859,0.11487435549497604,0.25909456610679626,0.16955126821994781,0.23997341096401215,0.13607384264469147,0.20340721309185028,0.1387292891740799
",",0.3107093870639801,0.44245919585227966,0.4933079481124878,0.22482609748840332,0.2576465308666229,0.18095813691616058,1.0000001192092896,0.3087472915649414,0.1772463619709015,0.3283645510673523,0.4933079481124878,0.22837986052036285,0.3541618287563324,0.5201468467712402,0.24387533962726593,0.36073189973831177,0.22482609748840332,0.31091248989105225
those,0.2206927239894867,0.47350940108299255,0.42861196398735046,0.24763578176498413,0.2731715738773346,0.24328015744686127,0.39574649930000305,0.44466671347618103,0.24944931268692017,0.43052518367767334,0.42861196398735046,0.20132845640182495,0.5838188529014587,0.3419301211833954,0.2941743731498718,0.2697984278202057,0.24763578176498413,0.3328189253807068
who,0.22336459159851074,0.42656609416007996,0.3733934462070465,0.28164976835250854,0.22417105734348297,0.19210977852344513,0.3365725874900818,0.40942975878715515,0.2209291309118271,0.2662210166454315,0.3733934462070465,0.38077449798583984,0.39246654510498047,0.2792111933231354,0.10266464948654175,0.2378052920103073,0.28164976835250854,0.26220351457595825
already,0.19243693351745605,0.3676825761795044,0.34582915902137756,0.22826328873634338,0.15809370577335358,0.24611908197402954,0.3188292980194092,0.4530037045478821,0.2580355107784271,0.3253704607486725,0.34582915902137756,0.21952229738235474,0.5221008658409119,0.288102924823761,0.29212871193885803,0.22782176733016968,0.22826328873634338,0.3477933406829834
hold,0.14127270877361298,0.3469145894050598,0.3067915439605713,0.150142103433609,0.13214370608329773,0.13206933438777924,0.2803111970424652,0.20790280401706696,0.3243228495121002,0.3113780915737152,0.3067915439605713,0.19451157748699188,0.37841248512268066,0.2667064666748047,0.27582255005836487,0.19455289840698242,0.150142103433609,0.18586084246635437
wealth,0.285123348236084,0.30562296509742737,0.24999672174453735,0.9999998807907104,0.19168125092983246,0.20340721309185028,0.22482609748840332,0.2415573000907898,0.24179504811763763,0.07294061034917831,0.24999672174453735,0.7251801490783691,0.20081286132335663,0.1835664063692093,0.30818742513656616,0.17288216948509216,0.9999998807907104,0.1624586433172226
have,0.23988237977027893,0.4544740617275238,0.40389683842658997,0.20081286132335663,0.21130657196044922,0.25909456610679626,0.3541618287563324,0.39808809757232666,0.33234739303588867,0.49831271171569824,0.40389683842658997,0.18256786465644836,0.9999999403953552,0.36843645572662354,0.33267542719841003,0.2689777910709381,0.20081286132335663,0.32991164922714233
the,0.3202974498271942,0.535392165184021,1.0,0.24999672174453735,0.2617439329624176,0.2277156263589859,0.4933079481124878,0.42745697498321533,0.2844003438949585,0.30239659547805786,1.0,0.2220325618982315,0.40389683842658997,0.6662389636039734,0.3195447325706482,0.3845241069793701,0.24999672174453735,0.22068053483963013
means,0.20803998410701752,0.2301892638206482,0.32225894927978516,0.16219159960746765,0.1665608286857605,0.23155885934829712,0.24041147530078888,0.2553325295448303,0.2810249626636505,0.3306066393852234,0.32225894927978516,0.11471528559923172,0.3350207805633545,0.1979396492242813,0.27750593423843384,0.11009407788515091,0.16219159960746765,0.21233566105365753
to,0.28520727157592773,1.0,0.535392165184021,0.30562296509742737,0.26137882471084595,0.21947365999221802,0.44245919585227966,0.455847829580307,0.27752500772476196,0.38876664638519287,0.535392165184021,0.2669115960597992,0.4544740617275238,0.45010748505592346,0.2516544461250305,0.33159172534942627,0.30562296509742737,0.29463258385658264
invest,0.15532809495925903,0.28345975279808044,0.20911042392253876,0.4659304618835449,0.1270088255405426,0.25902441143989563,0.24851465225219727,0.24983838200569153,0.2402801513671875,0.285919725894928,0.20911042392253876,0.3839726150035858,0.28853291273117065,0.22258685529232025,0.38722071051597595,0.21252891421318054,0.4659304618835449,0.1968417465686798
in,0.29259276390075684,0.45010748505592346,0.6662389636039734,0.1835664063692093,0.2709709107875824,0.16955126821994781,0.5201468467712402,0.30808621644973755,0.1498534232378006,0.23402775824069977,0.6662389636039734,0.24058784544467926,0.36843645572662354,1.0,0.20524564385414124,0.3758552670478821,0.1835664063692093,0.20430970191955566
