,when,was,phags-pa,script,invented,?
since,0.42774689197540283,0.4384658932685852,0.1471116989850998,0.19451652467250824,0.22034777700901031,0.2876587212085724
its,0.34032323956489563,0.3518870174884796,0.24825869500637054,0.14774124324321747,0.12011232227087021,0.15103481709957123
invention,0.24015267193317413,0.248048335313797,0.2572702169418335,0.14731928706169128,0.7511348724365234,0.15906493365764618
in,0.4431333839893341,0.45514053106307983,0.22265829145908356,0.17682331800460815,0.21565213799476624,0.20430970191955566
1269,-0.02976233884692192,-0.012818633578717709,-0.0753864198923111,-0.05967184901237488,0.10908672958612442,-0.07175472378730774
",",0.36674630641937256,0.45456063747406006,0.2849346399307251,0.193008154630661,0.21420055627822876,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,0.24130302667617798,0.21384064853191376,0.16009420156478882,0.22068053483963013
'phags-pa,0.17258237302303314,0.16632738709449768,0.9067444801330566,0.21529266238212585,0.166647806763649,0.1838710904121399
script,0.17319661378860474,0.18141986429691315,0.23073889315128326,1.0,0.16159269213676453,0.24144527316093445
",",0.36674630641937256,0.45456063747406006,0.2849346399307251,0.193008154630661,0.21420055627822876,0.31091248989105225
a,0.44397395849227905,0.4508470594882965,0.2678508460521698,0.16845141351222992,0.26715824007987976,0.23916715383529663
unified,0.20491962134838104,0.19592061638832092,0.16609375178813934,0.19641000032424927,0.1733447164297104,0.21746130287647247
script,0.17319661378860474,0.18141986429691315,0.23073889315128326,1.0,0.16159269213676453,0.24144527316093445
for,0.43402108550071716,0.3863949179649353,0.15662969648838043,0.19915854930877686,0.17800235748291016,0.264628142118454
spelling,0.20992189645767212,0.1815265715122223,0.13950857520103455,0.3513249456882477,0.22802923619747162,0.23016591370105743
mongolian,0.16251550614833832,0.11424200981855392,0.24586516618728638,0.3014172613620758,0.1259850561618805,0.13122369349002838
",",0.36674630641937256,0.45456063747406006,0.2849346399307251,0.193008154630661,0.21420055627822876,0.31091248989105225
tibetan,0.10806096345186234,0.08740386366844177,0.27074718475341797,0.264970600605011,0.09965844452381134,0.14673879742622375
",",0.36674630641937256,0.45456063747406006,0.2849346399307251,0.193008154630661,0.21420055627822876,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.2730933427810669,0.2026875913143158,0.10205988585948944,0.20544172823429108
chinese,0.1978231817483902,0.21259073913097382,0.24120306968688965,0.22230593860149384,0.1917876899242401,0.20843194425106049
languages,0.11789675801992416,0.1417437046766281,0.17716240882873535,0.47569024562835693,0.17044638097286224,0.22599908709526062
",",0.36674630641937256,0.45456063747406006,0.2849346399307251,0.193008154630661,0.21420055627822876,0.31091248989105225
was,0.37326499819755554,1.0000001192092896,0.19535869359970093,0.18141986429691315,0.2900676131248474,0.18412111699581146
preserved,0.18832387030124664,0.15761317312717438,0.2669450342655182,0.1801304817199707,0.1633014976978302,0.1633087694644928
in,0.4431333839893341,0.45514053106307983,0.22265829145908356,0.17682331800460815,0.21565213799476624,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.24130302667617798,0.21384064853191376,0.16009420156478882,0.22068053483963013
court,0.23927445709705353,0.2737988233566284,0.09895718097686768,0.16022704541683197,0.09463070333003998,0.17100423574447632
until,0.494509756565094,0.43126991391181946,0.1025245264172554,0.19177326560020447,0.20718052983283997,0.20304496586322784
the,0.5091903209686279,0.48711544275283813,0.24130302667617798,0.21384064853191376,0.16009420156478882,0.22068053483963013
end,0.3228412866592407,0.19220198690891266,0.14092499017715454,0.11094242334365845,0.1806880682706833,0.12543344497680664
of,0.3757161796092987,0.4069072902202606,0.2274245172739029,0.13506785035133362,0.18887928128242493,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.24130302667617798,0.21384064853191376,0.16009420156478882,0.22068053483963013
dynasty,0.16945278644561768,0.24324211478233337,0.20147433876991272,0.21401362121105194,0.14928895235061646,0.15884074568748474
.,0.475719153881073,0.40146201848983765,0.2411954700946808,0.19065852463245392,0.2224365919828415,0.4130953550338745
