,what,was,tugh,'s,chinese-style,name,?
nevertheless,0.3331672251224518,0.2595745027065277,0.1548156589269638,0.06140727177262306,0.22025972604751587,0.14365048706531525,0.12207362055778503
",",0.3087472915649414,0.45456063747406006,0.3907131850719452,-0.0016132977325469255,0.28014233708381653,0.28145334124565125,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.2991655468940735,0.04866964742541313,0.25437527894973755,0.26421117782592773,0.23916715383529663
few,0.2780759632587433,0.21633684635162354,0.23521572351455688,0.06408512592315674,0.14348825812339783,0.1181422770023346,0.2334265559911728
other,0.341873437166214,0.14651623368263245,0.2482319325208664,0.04445967823266983,0.2837752103805542,0.20388714969158173,0.24682199954986572
yuan,0.13503028452396393,0.19482262432575226,0.2990206182003021,0.01965653896331787,0.43938881158828735,0.06442316621541977,0.12871281802654266
emperors,0.2092321366071701,0.23466189205646515,0.20014071464538574,-0.041914891451597214,0.3392505645751953,0.1666383594274521,0.20214810967445374
actively,0.2822394371032715,0.19402505457401276,0.19876763224601746,0.011887999251484871,0.14522528648376465,0.1164492666721344,0.22519056499004364
sponsored,0.11231818050146103,0.26169130206108093,0.24428752064704895,-0.02404741570353508,0.15924915671348572,0.2159767746925354,0.12262218445539474
cultural,0.18198847770690918,0.18866337835788727,0.17636139690876007,-0.06630771607160568,0.3005748987197876,0.0761941596865654,0.09798457473516464
activities,0.21757790446281433,0.16647951304912567,0.12011473625898361,0.018340596929192543,0.1963220238685608,0.08623216301202774,0.11289679259061813
;,0.10986888408660889,0.0754367932677269,-0.017968732863664627,0.006909397430717945,0.06810835748910904,0.01776505447924137,0.10349778085947037
an,0.2821882665157318,0.3694365322589874,0.2232271283864975,0.025255560874938965,0.19588781893253326,0.22033736109733582,0.19793890416622162
example,0.3456268310546875,0.16563157737255096,0.19984577596187592,-0.045060764998197556,0.2981228828430176,0.252185195684433,0.30374911427497864
is,0.28837618231773376,0.5810302495956421,0.20169705152511597,0.02396530658006668,0.19418500363826752,0.3359788954257965,0.22961433231830597
tugh,0.2673484683036804,0.2578143775463104,1.0,-0.05095980688929558,0.3525047302246094,0.22956523299217224,0.2607990801334381
temur,0.12965331971645355,0.2032104879617691,0.2936148941516876,0.01867738738656044,0.28728699684143066,0.21186566352844238,0.133846253156662
(,0.2411840260028839,0.2980341613292694,0.28824493288993835,0.0012731997994706035,0.27892592549324036,0.2706909477710724,0.40561532974243164
emperor,0.1879471391439438,0.2147601991891861,0.2619072198867798,-0.03835967555642128,0.3312367796897888,0.16485245525836945,0.19661661982536316
wenzong,0.1782793551683426,0.3370576798915863,0.4136281907558441,0.028485480695962906,0.4591543674468994,0.23923981189727783,0.20700092613697052
),0.26259949803352356,0.3267642855644226,0.3010505735874176,0.021107977256178856,0.3045327365398407,0.2638341188430786,0.42300865054130554
",",0.3087472915649414,0.45456063747406006,0.3907131850719452,-0.0016132977325469255,0.28014233708381653,0.28145334124565125,0.31091248989105225
who,0.40942975878715515,0.3318818509578705,0.31988343596458435,0.05599616840481758,0.2161080688238144,0.2027527540922165,0.26220351457595825
wrote,0.2664989233016968,0.40092042088508606,0.2567836046218872,0.07554080337285995,0.14012904465198517,0.16711263358592987,0.19322504103183746
poetry,0.17510755360126495,0.22268988192081451,0.2556748688220978,-0.025142455473542213,0.2538534998893738,0.10118121653795242,0.1394418478012085
",",0.3087472915649414,0.45456063747406006,0.3907131850719452,-0.0016132977325469255,0.28014233708381653,0.28145334124565125,0.31091248989105225
painted,0.19051748514175415,0.2505439817905426,0.17636427283287048,-0.039522379636764526,0.22190304100513458,0.08543518930673599,0.13457663357257843
",",0.3087472915649414,0.45456063747406006,0.3907131850719452,-0.0016132977325469255,0.28014233708381653,0.28145334124565125,0.31091248989105225
read,0.4041415750980377,0.20066320896148682,0.28941360116004944,0.032598379999399185,0.22757498919963837,0.14490185678005219,0.30917879939079285
chinese,0.11643128097057343,0.21259073913097382,0.2725515067577362,0.01673142798244953,0.6937607526779175,0.14820076525211334,0.20843194425106049
classical,0.22816240787506104,0.26228487491607666,0.21278606355190277,0.06565571576356888,0.3127719759941101,0.10190525650978088,0.18862907588481903
texts,0.25967296957969666,0.14379271864891052,0.18021920323371887,0.07197468727827072,0.25349122285842896,0.19533120095729828,0.18584510684013367
",",0.3087472915649414,0.45456063747406006,0.3907131850719452,-0.0016132977325469255,0.28014233708381653,0.28145334124565125,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.3082713782787323,0.06895173341035843,0.3097860515117645,0.21235932409763336,0.20544172823429108
ordered,0.1877245008945465,0.3286064863204956,0.18524251878261566,-0.06286894530057907,0.18605218827724457,0.11708836257457733,0.11423391848802567
the,0.42745697498321533,0.48711544275283813,0.2538721263408661,-0.01540423184633255,0.29042157530784607,0.3171212375164032,0.22068053483963013
compilation,0.1946646273136139,0.14694105088710785,0.21012850105762482,-0.0007319508004002273,0.2564237415790558,0.07771681249141693,0.2705167829990387
of,0.33290785551071167,0.4069072902202606,0.2661905288696289,-0.03817026689648628,0.2594463527202606,0.24075818061828613,0.1826142966747284
books,0.2542080581188202,0.18330562114715576,0.18625704944133759,0.09176487475633621,0.16145920753479004,0.1986754983663559,0.1897611767053604
.,0.3567904531955719,0.40146201848983765,0.3123989999294281,-0.003708066651597619,0.3149949312210083,0.24737101793289185,0.4130953550338745
