,what,was,the,yuan,'s,unofficial,state,religion,?
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2132488638162613,-0.05775856226682663,0.252485990524292,0.26851922273635864,0.19954398274421692,0.27043893933296204
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.18084076046943665,0.04866964742541313,0.20975889265537262,0.25097307562828064,0.2381647378206253,0.23916715383529663
result,0.19945499300956726,0.18558235466480255,0.27778977155685425,0.14459632337093353,0.06641998142004013,0.17989665269851685,0.11721982061862946,0.14664141833782196,0.17218433320522308
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20958951115608215,-0.0016132977325469255,0.22007949650287628,0.29481780529022217,0.2679629921913147,0.31091248989105225
tibetan,0.12452398985624313,0.08740386366844177,0.2316000759601593,0.33217912912368774,-0.010771982371807098,0.23338618874549866,0.0984712690114975,0.28017687797546387,0.14673879742622375
buddhism,0.22882838547229767,0.15997210144996643,0.21217995882034302,0.3001965880393982,-0.031752850860357285,0.12644749879837036,0.17724795639514923,0.5844928026199341,0.18768428266048431
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.19482262432575226,0.008974763564765453,0.21808254718780518,0.22072885930538177,0.2115422934293747,0.18412111699581146
established,0.14869536459445953,0.26515325903892517,0.33092597126960754,0.18290942907333374,-0.05163693428039551,0.237327441573143,0.22528508305549622,0.22907137870788574,0.15917523205280304
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2132488638162613,-0.05775856226682663,0.252485990524292,0.26851922273635864,0.19954398274421692,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,1.0,0.2548272907733917,-0.01540423184633255,0.30484116077423096,0.3097178041934967,0.2757669985294342,0.22068053483963013
de,0.10476839542388916,0.20575080811977386,0.23491892218589783,0.09840075671672821,0.018396059051156044,0.1752704530954361,0.14118872582912445,0.11866801977157593,0.11064168810844421
facto,0.2061602771282196,0.2503442168235779,0.32902881503105164,0.21581700444221497,-0.04313791170716286,0.27236345410346985,0.34531259536743164,0.24461062252521515,0.21391282975673676
state,0.24273863434791565,0.22072885930538177,0.3097178041934967,0.15681388974189758,0.038451772183179855,0.23828303813934326,1.0,0.2700068950653076,0.1160883978009224
religion,0.3103729486465454,0.2115422934293747,0.2757669985294342,0.14205212891101837,0.022218767553567886,0.18972645699977875,0.2700068950653076,0.9999999403953552,0.2503177225589752
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.17233723402023315,-0.003708066651597619,0.23052667081356049,0.31380724906921387,0.28897368907928467,0.4130953550338745
