,what,play,showed,an,early,depiction,of,civil,disobedience,?
one,0.376489520072937,0.24414552748203278,0.23911458253860474,0.2829729914665222,0.2256891131401062,0.23365268111228943,0.4999135136604309,0.15266822278499603,0.20541732013225555,0.2673267424106598
of,0.33290785551071167,0.15350224077701569,0.31843405961990356,0.32280945777893066,0.30937549471855164,0.265101820230484,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
the,0.42745697498321533,0.24793598055839539,0.3101346790790558,0.4207492768764496,0.34442198276519775,0.2565489113330841,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
oldest,0.12504005432128906,0.17077448964118958,0.11923312395811081,0.12115703523159027,0.29520183801651,0.1478251814842224,0.33351290225982666,0.09821687638759613,0.13601447641849518,0.14864160120487213
depictions,0.2146293967962265,0.15006107091903687,0.34798741340637207,0.172758549451828,0.3027631640434265,0.9233654737472534,0.2799503803253174,0.11556647717952728,0.36857280135154724,0.14728380739688873
of,0.33290785551071167,0.15350224077701569,0.31843405961990356,0.32280945777893066,0.30937549471855164,0.265101820230484,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
civil,0.15091551840305328,0.0800999104976654,0.07202698290348053,0.15803322196006775,0.18394789099693298,0.09685314446687698,0.24698495864868164,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.3298627436161041,0.18516378104686737,0.2319650501012802,0.24747906625270844,0.24049854278564453,0.33372458815574646,0.31932318210601807,0.5442691445350647,1.0,0.19890835881233215
is,0.28837618231773376,0.2174319475889206,0.1980302482843399,0.4654068350791931,0.18880519270896912,0.2568686604499817,0.4854315221309662,0.16941262781620026,0.21453623473644257,0.22961433231830597
in,0.30808621644973755,0.24321173131465912,0.3178827166557312,0.2605783939361572,0.34672921895980835,0.20805864036083221,0.5696388483047485,0.26466667652130127,0.3054615259170532,0.20430970191955566
sophocles,0.23692306876182556,0.34479448199272156,0.18881036341190338,0.18405021727085114,0.3063068687915802,0.31835415959358215,0.2629030644893646,0.1515890657901764,0.2748347222805023,0.1973816305398941
',0.3245812654495239,0.16186515986919403,0.15481917560100555,0.36139753460884094,0.22686581313610077,0.2028646618127823,0.39136970043182373,0.16727153956890106,0.20764939486980438,0.330942302942276
play,0.2180248498916626,1.0,0.18133071064949036,0.1214400976896286,0.13394795358181,0.15108630061149597,0.15350224077701569,0.0800999104976654,0.18516378104686737,0.11059518158435822
antigone,0.07031235098838806,0.22160761058330536,0.14185665547847748,0.13318917155265808,0.1931915581226349,0.3235437572002411,0.2282322198152542,0.1779717206954956,0.25068399310112,0.10473794490098953
",",0.3087472915649414,0.2231253683567047,0.2312069833278656,0.3581022024154663,0.3022546172142029,0.17103123664855957,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
in,0.30808621644973755,0.24321173131465912,0.3178827166557312,0.2605783939361572,0.34672921895980835,0.20805864036083221,0.5696388483047485,0.26466667652130127,0.3054615259170532,0.20430970191955566
which,0.5261979103088379,0.24836887419223785,0.2747635841369629,0.3611921966075897,0.29240089654922485,0.25947684049606323,0.5011631846427917,0.13459211587905884,0.3121037483215332,0.25814583897590637
antigone,0.07031235098838806,0.22160761058330536,0.14185665547847748,0.13318917155265808,0.1931915581226349,0.3235437572002411,0.2282322198152542,0.1779717206954956,0.25068399310112,0.10473794490098953
",",0.3087472915649414,0.2231253683567047,0.2312069833278656,0.3581022024154663,0.3022546172142029,0.17103123664855957,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
one,0.376489520072937,0.24414552748203278,0.23911458253860474,0.2829729914665222,0.2256891131401062,0.23365268111228943,0.4999135136604309,0.15266822278499603,0.20541732013225555,0.2673267424106598
of,0.33290785551071167,0.15350224077701569,0.31843405961990356,0.32280945777893066,0.30937549471855164,0.265101820230484,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
the,0.42745697498321533,0.24793598055839539,0.3101346790790558,0.4207492768764496,0.34442198276519775,0.2565489113330841,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
daughters,0.1333482563495636,0.18181462585926056,0.151079460978508,0.10044216364622116,0.1651381552219391,0.15448324382305145,0.18476681411266327,0.13458435237407684,0.23573920130729675,0.13857798278331757
of,0.33290785551071167,0.15350224077701569,0.31843405961990356,0.32280945777893066,0.30937549471855164,0.265101820230484,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
former,0.13598288595676422,0.09847991168498993,0.1273128241300583,0.128716379404068,0.10703793913125992,0.11618465185165405,0.30415382981300354,0.17250412702560425,0.1721409410238266,0.10570605844259262
king,0.18449601531028748,0.2164204865694046,0.0638250932097435,0.16747213900089264,0.18389977514743805,0.19520218670368195,0.2938710153102875,0.2031002789735794,0.27967801690101624,0.19130074977874756
of,0.33290785551071167,0.15350224077701569,0.31843405961990356,0.32280945777893066,0.30937549471855164,0.265101820230484,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
thebes,0.18729595839977264,0.19824160635471344,0.13941073417663574,0.19592145085334778,0.24428267776966095,0.31216830015182495,0.2555355429649353,0.13852077722549438,0.24273796379566193,0.12076496332883835
",",0.3087472915649414,0.2231253683567047,0.2312069833278656,0.3581022024154663,0.3022546172142029,0.17103123664855957,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
oedipus,0.27295321226119995,0.2949906885623932,0.17418454587459564,0.1562921702861786,0.218415766954422,0.37282803654670715,0.22094962000846863,0.17252084612846375,0.39767229557037354,0.21369202435016632
",",0.3087472915649414,0.2231253683567047,0.2312069833278656,0.3581022024154663,0.3022546172142029,0.17103123664855957,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
defies,0.3158154785633087,0.13291077315807343,0.22828449308872223,0.2484189122915268,0.1480204164981842,0.3146163523197174,0.320153146982193,0.27496370673179626,0.38298261165618896,0.29705896973609924
creon,0.28052473068237305,0.1389773041009903,0.14143873751163483,0.1923859864473343,0.1803346574306488,0.24942231178283691,0.22167593240737915,0.17192846536636353,0.2603053152561188,0.2820618748664856
",",0.3087472915649414,0.2231253683567047,0.2312069833278656,0.3581022024154663,0.3022546172142029,0.17103123664855957,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
the,0.42745697498321533,0.24793598055839539,0.3101346790790558,0.4207492768764496,0.34442198276519775,0.2565489113330841,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
current,0.18294453620910645,0.1214204877614975,0.10901734977960587,0.1350913941860199,0.14119209349155426,0.07986756414175034,0.31470298767089844,0.1636456847190857,0.10193347185850143,0.12074550241231918
king,0.18449601531028748,0.2164204865694046,0.0638250932097435,0.16747213900089264,0.18389977514743805,0.19520218670368195,0.2938710153102875,0.2031002789735794,0.27967801690101624,0.19130074977874756
of,0.33290785551071167,0.15350224077701569,0.31843405961990356,0.32280945777893066,0.30937549471855164,0.265101820230484,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
thebes,0.18729595839977264,0.19824160635471344,0.13941073417663574,0.19592145085334778,0.24428267776966095,0.31216830015182495,0.2555355429649353,0.13852077722549438,0.24273796379566193,0.12076496332883835
",",0.3087472915649414,0.2231253683567047,0.2312069833278656,0.3581022024154663,0.3022546172142029,0.17103123664855957,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
who,0.40942975878715515,0.2742305099964142,0.2253786325454712,0.2848317325115204,0.23985694348812103,0.1928749829530716,0.2827862501144409,0.14972704648971558,0.34217217564582825,0.26220351457595825
is,0.28837618231773376,0.2174319475889206,0.1980302482843399,0.4654068350791931,0.18880519270896912,0.2568686604499817,0.4854315221309662,0.16941262781620026,0.21453623473644257,0.22961433231830597
trying,0.4177112281322479,0.14221662282943726,0.14806964993476868,0.19979310035705566,0.21831989288330078,0.1608978509902954,0.21177013218402863,0.1802179217338562,0.3077872097492218,0.3144860565662384
to,0.455847829580307,0.272149920463562,0.2083204984664917,0.3138085603713989,0.24557004868984222,0.15179552137851715,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
stop,0.33920153975486755,0.1670970916748047,0.18624959886074066,0.20477499067783356,0.15740908682346344,0.13507114350795746,0.2052845060825348,0.2045789510011673,0.32520580291748047,0.23117060959339142
her,0.2733216881752014,0.22999481856822968,0.22964632511138916,0.2018202245235443,0.23368728160858154,0.29711270332336426,0.27399197220802307,0.17531102895736694,0.32259857654571533,0.20310723781585693
from,0.2737620174884796,0.1498221457004547,0.24521416425704956,0.20876385271549225,0.2746177613735199,0.15197569131851196,0.4249346852302551,0.11420916765928268,0.1641564965248108,0.19969791173934937
giving,0.28628480434417725,0.15668176114559174,0.3145920932292938,0.17233683168888092,0.1679874062538147,0.1599453240633011,0.3440891206264496,0.10219912976026535,0.2674778699874878,0.2052922248840332
her,0.2733216881752014,0.22999481856822968,0.22964632511138916,0.2018202245235443,0.23368728160858154,0.29711270332336426,0.27399197220802307,0.17531102895736694,0.32259857654571533,0.20310723781585693
brother,0.14914146065711975,0.1205231100320816,0.14701499044895172,0.056148942559957504,0.16785550117492676,0.2153836488723755,0.18226121366024017,0.10371534526348114,0.20120905339717865,0.14267398416996002
polynices,0.22885863482952118,0.20060338079929352,0.2363343983888626,0.19404348731040955,0.1376759111881256,0.2105693817138672,0.2809331715106964,0.2303633838891983,0.25846990942955017,0.23299169540405273
