,anarchists,do,not,want,to,accept,punishment,for,what,reason,?
and,0.22162801027297974,0.276123583316803,0.39099299907684326,0.34348347783088684,0.48971283435821533,0.25251030921936035,0.2325662225484848,0.5064792633056641,0.31309178471565247,0.26490068435668945,0.20544172823429108
still,0.22655223309993744,0.3387047350406647,0.523305356502533,0.3869115114212036,0.41205283999443054,0.2798180878162384,0.1986568421125412,0.37984156608581543,0.4548931419849396,0.3646034896373749,0.3039587736129761
other,0.1924755871295929,0.34946969151496887,0.4341118037700653,0.37061187624931335,0.4193183183670044,0.26931288838386536,0.25079578161239624,0.3273986279964447,0.341873437166214,0.27736610174179077,0.24682199954986572
civil,0.23178456723690033,0.12413616478443146,0.18740713596343994,0.2189541906118393,0.2019355595111847,0.07845130562782288,0.1772332489490509,0.1685788929462433,0.15091551840305328,0.177180215716362,0.1494513899087906
disobedients,0.40361717343330383,0.30426225066185,0.4254472851753235,0.33282235264778137,0.34340938925743103,0.294010192155838,0.3895610570907593,0.25390735268592834,0.3241478204727173,0.2738250195980072,0.18925230205059052
",",0.21064181625843048,0.3283645510673523,0.3769696354866028,0.30747702717781067,0.44245919585227966,0.28512677550315857,0.2216428816318512,0.4464869201183319,0.3087472915649414,0.24553878605365753,0.31091248989105225
being,0.24116641283035278,0.2324799746274948,0.4366016089916229,0.30905061960220337,0.4514104127883911,0.22235694527626038,0.33922937512397766,0.41687241196632385,0.3760843276977539,0.3053722083568573,0.26743772625923157
anarchists,1.0000001192092896,0.2225789576768875,0.2674179971218109,0.28818756341934204,0.20670868456363678,0.2249048799276352,0.2914678156375885,0.15725772082805634,0.2535964846611023,0.2151540219783783,0.1750756800174713
",",0.21064181625843048,0.3283645510673523,0.3769696354866028,0.30747702717781067,0.44245919585227966,0.28512677550315857,0.2216428816318512,0.4464869201183319,0.3087472915649414,0.24553878605365753,0.31091248989105225
do,0.2225789576768875,1.0,0.6619802713394165,0.5319320559501648,0.38876664638519287,0.3259050250053406,0.22830727696418762,0.29510271549224854,0.4609605669975281,0.3240116238594055,0.4093979299068451
n't,0.11989244073629379,-0.08343347162008286,-0.11552248895168304,-0.10522344708442688,-0.14541994035243988,-0.05393994227051735,0.014675694517791271,-0.05512906610965729,-0.07036374509334564,0.006779843475669622,0.07068326324224472
believe,0.3347112834453583,0.40309545397758484,0.462744802236557,0.40264055132865906,0.34598591923713684,0.43913644552230835,0.30482304096221924,0.2833847403526306,0.46656209230422974,0.3693356215953827,0.3329349160194397
in,0.14556236565113068,0.23402775824069977,0.3403114080429077,0.2281211018562317,0.45010748505592346,0.15314407646656036,0.19258901476860046,0.4322226941585541,0.30808621644973755,0.21220409870147705,0.20430970191955566
