,what,type,of,treatment,do,civil,disobedients,usually,receive,?
some,0.4491020441055298,0.2761056125164032,0.4300730526447296,0.31819024682044983,0.4725562036037445,0.1851816177368164,0.369945228099823,0.5402855277061462,0.2896014153957367,0.2562315762042999
of,0.33290785551071167,0.18112817406654358,1.0,0.2632577419281006,0.26150479912757874,0.24698495864868164,0.32510921359062195,0.33931583166122437,0.25992685556411743,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2350214421749115,0.30239659547805786,0.2477465271949768,0.34096023440361023,0.36782920360565186,0.2726488411426544,0.22068053483963013
other,0.341873437166214,0.2522227168083191,0.38583824038505554,0.2493954747915268,0.34946969151496887,0.17309200763702393,0.3325466513633728,0.42674925923347473,0.26527631282806396,0.24682199954986572
allocution,0.28556495904922485,0.1849192976951599,0.32664933800697327,0.45229586958885193,0.17879052460193634,0.2576449513435364,0.48792579770088196,0.3214813470840454,0.2156883180141449,0.22413255274295807
speeches,0.20405738055706024,0.11851530522108078,0.24828964471817017,0.31366950273513794,0.17163148522377014,0.2783912718296051,0.40747687220573425,0.2625654339790344,0.14569462835788727,0.16433930397033691
given,0.21883496642112732,0.17595160007476807,0.39388060569763184,0.2689914107322693,0.20184294879436493,0.16241399943828583,0.251003623008728,0.29048091173171997,0.4676506221294403,0.2570464313030243
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.13876107335090637,0.1481526494026184,0.15479567646980286,0.26249897480010986,0.30666717886924744,0.1698799580335617,0.17966607213020325
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2350214421749115,0.30239659547805786,0.2477465271949768,0.34096023440361023,0.36782920360565186,0.2726488411426544,0.22068053483963013
protesters,0.16313575208187103,0.08255371451377869,0.2199576050043106,0.2300511747598648,0.1667681634426117,0.32047852873802185,0.4943036735057831,0.24452310800552368,0.11668781191110611,0.16273485124111176
complained,0.3572966158390045,0.08304257690906525,0.2528465986251831,0.24139218032360077,0.2742030918598175,0.26399916410446167,0.3935634195804596,0.2026720494031906,0.25117558240890503,0.2260366827249527
about,0.47976887226104736,0.1371919810771942,0.40939709544181824,0.20938865840435028,0.3183841109275818,0.1744583249092102,0.19162973761558533,0.3121892213821411,0.14196154475212097,0.302409827709198
mistreatment,0.22798234224319458,0.1454254686832428,0.27717000246047974,0.8156994581222534,0.15392297506332397,0.24820475280284882,0.47864416241645813,0.2135505974292755,0.27137041091918945,0.22391681373119354
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.16214582324028015,0.20424067974090576,0.11420916765928268,0.20269811153411865,0.25971752405166626,0.2598268687725067,0.19969791173934937
government,0.28074538707733154,0.09938877820968628,0.3475167155265808,0.2293643206357956,0.20911449193954468,0.30626749992370605,0.39648327231407166,0.2110610455274582,0.20640221238136292,0.18851417303085327
officials,0.23964433372020721,0.11461638659238815,0.2648431658744812,0.17228050529956818,0.25097358226776123,0.27043288946151733,0.40133678913116455,0.2492240071296692,0.20652252435684204,0.1505519449710846
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.27064111828804016,0.3613996207714081,0.2541380822658539,0.2842986583709717,0.28580138087272644,0.24563279747962952,0.4130953550338745
,what,type,of,treatment,do,civil,disobedients,usually,receive,?
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.26479050517082214,0.38329678773880005,0.18100082874298096,0.2719380557537079,0.3335179388523102,0.2558284401893616,0.27043893933296204
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.23119685053825378,0.26237669587135315,0.21693918108940125,0.26969417929649353,0.46690207719802856,0.25780048966407776,0.23916715383529663
result,0.19945499300956726,0.23009227216243744,0.231380432844162,0.2514342665672302,0.23993156850337982,0.12546604871749878,0.26496100425720215,0.22206391394138336,0.16925542056560516,0.17218433320522308
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2413949966430664,0.3283645510673523,0.24795588850975037,0.2989228069782257,0.21946179866790771,0.26574233174324036,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2350214421749115,0.30239659547805786,0.2477465271949768,0.34096023440361023,0.36782920360565186,0.2726488411426544,0.22068053483963013
judge,0.30616456270217896,0.0793052688241005,0.18874549865722656,0.09029800444841385,0.20576071739196777,0.21366280317306519,0.2861950695514679,0.12164212018251419,0.14810869097709656,0.1870231032371521
increased,0.1599731743335724,0.17842847108840942,0.3371390700340271,0.21860459446907043,0.17653733491897583,0.1870386004447937,0.25663936138153076,0.28941118717193604,0.2560584247112274,0.09587585180997849
