,what,part,of,the,innate,immune,system,identifies,microbes,and,triggers,immune,response,?
the,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.2196919023990631,0.21364226937294006,0.3233085572719574,0.3151623606681824,0.30588477849960327,0.5171257257461548,0.3125790059566498,0.21364226937294006,0.28909924626350403,0.22068053483963013
innate,0.2683543860912323,0.18497134745121002,0.255485475063324,0.2196919023990631,1.0000001192092896,0.6130988597869873,0.3689802289009094,0.31979718804359436,0.4597195088863373,0.22914032638072968,0.42196816205978394,0.6130988597869873,0.4607735872268677,0.16386382281780243
response,0.3532308340072632,0.242634579539299,0.21864040195941925,0.28909924626350403,0.4607735872268677,0.43541768193244934,0.2933112382888794,0.20856419205665588,0.24567924439907074,0.21754570305347443,0.45127299427986145,0.43541768193244934,1.0000001192092896,0.2007838636636734
is,0.28837618231773376,0.4582172930240631,0.4854315221309662,0.5823672413825989,0.1780463606119156,0.2092347890138626,0.2282046526670456,0.33418142795562744,0.2511790692806244,0.3859752118587494,0.22226940095424652,0.2092347890138626,0.21022158861160278,0.22961433231830597
usually,0.32521089911460876,0.2375156730413437,0.33931583166122437,0.36782920360565186,0.25999313592910767,0.2572875916957855,0.24813546240329742,0.23788465559482574,0.3448594808578491,0.3817319869995117,0.34136614203453064,0.2572875916957855,0.22132951021194458,0.19435347616672516
triggered,0.24654962122440338,0.23401093482971191,0.26025402545928955,0.33065542578697205,0.38895508646965027,0.3714275658130646,0.26658719778060913,0.28165268898010254,0.35744211077690125,0.14994001388549805,0.842943549156189,0.3714275658130646,0.4453499913215637,0.19886964559555054
when,0.4700249433517456,0.35435768961906433,0.3757161796092987,0.5091903209686279,0.22936703264713287,0.2670612335205078,0.27706024050712585,0.16267414391040802,0.22712641954421997,0.4716290831565857,0.31776896119117737,0.2670612335205078,0.35236990451812744,0.22841128706932068
microbes,0.27925968170166016,0.22748616337776184,0.27299147844314575,0.30588477849960327,0.4597195088863373,0.47532811760902405,0.32084107398986816,0.21934504806995392,1.0,0.2551001012325287,0.3810773193836212,0.47532811760902405,0.24567924439907074,0.172354593873024
are,0.29724663496017456,0.3086032569408417,0.39081433415412903,0.40399202704429626,0.2676650285720825,0.23878547549247742,0.21917270123958588,0.23683124780654907,0.3933534324169159,0.48576638102531433,0.3677642047405243,0.23878547549247742,0.20697586238384247,0.24591213464736938
identified,0.16489295661449432,0.17395199835300446,0.30219629406929016,0.3162215054035187,0.3024725317955017,0.22130362689495087,0.19517546892166138,0.8100854158401489,0.2849729359149933,0.2591819763183594,0.25372785329818726,0.22130362689495087,0.18977336585521698,0.18080152571201324
by,0.2455483376979828,0.28271573781967163,0.3646814823150635,0.4408751428127289,0.20461761951446533,0.17260463535785675,0.23017624020576477,0.24610067903995514,0.2095867097377777,0.4289871156215668,0.2989112436771393,0.17260463535785675,0.2863168716430664,0.17966607213020325
pattern,0.2522786855697632,0.2048632651567459,0.16445347666740417,0.2485450804233551,0.21932829916477203,0.19335579872131348,0.17917802929878235,0.22820092737674713,0.1624734252691269,0.18427002429962158,0.23042474687099457,0.19335579872131348,0.1636858880519867,0.20064511895179749
recognition,0.25729188323020935,0.19756509363651276,0.295685350894928,0.31624147295951843,0.3132929801940918,0.235624760389328,0.2134319543838501,0.2802748680114746,0.25433993339538574,0.26816076040267944,0.19424867630004883,0.235624760389328,0.3064231276512146,0.20074869692325592
receptors,0.2304931879043579,0.19433139264583588,0.19634202122688293,0.2622849941253662,0.5641072392463684,0.5147067904472351,0.2696112394332886,0.2535514831542969,0.48061829805374146,0.20484095811843872,0.4911039471626282,0.5147067904472351,0.39826369285583496,0.1343143880367279
",",0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.16148243844509125,0.15102852880954742,0.18439900875091553,0.2236303836107254,0.25792837142944336,0.6633074283599854,0.20000627636909485,0.15102852880954742,0.24039098620414734,0.31091248989105225
which,0.5261979103088379,0.4460882246494293,0.5011631846427917,0.6521818041801453,0.36236342787742615,0.3153325319290161,0.37390631437301636,0.3311117887496948,0.3782452344894409,0.506277859210968,0.3203585147857666,0.3153325319290161,0.33102378249168396,0.25814583897590637
