,what,us,war,has,a,large,amount,of,civil,disobedients,?
during,0.24137552082538605,0.14974015951156616,0.4802435040473938,0.23098520934581757,0.30341604351997375,0.218748077750206,0.2597809433937073,0.3869180977344513,0.2953299880027771,0.3497801125049591,0.1325719803571701
the,0.42745697498321533,0.25727739930152893,0.366199791431427,0.4177538752555847,0.5829201340675354,0.3828733265399933,0.3336862325668335,0.733189046382904,0.2477465271949768,0.34096023440361023,0.22068053483963013
vietnam,0.14459924399852753,0.27358511090278625,0.43565934896469116,0.17246884107589722,0.19540195167064667,0.10569310188293457,0.13069729506969452,0.2007518708705902,0.29972904920578003,0.311655730009079,0.20465075969696045
war,0.22516006231307983,0.24439692497253418,1.0000001192092896,0.1737498939037323,0.2368277609348297,0.21002455055713654,0.14800617098808289,0.31680163741111755,0.5418448448181152,0.4056902229785919,0.15510529279708862
era,0.18199029564857483,0.14833199977874756,0.2639199495315552,0.08666457235813141,0.1276342272758484,0.22565320134162903,0.14308173954486847,0.20396220684051514,0.24363169074058533,0.24006810784339905,0.14369545876979828
",",0.3087472915649414,0.3120202422142029,0.2671184241771698,0.3734780251979828,0.427140474319458,0.2263888567686081,0.21125462651252747,0.4946078956127167,0.24795588850975037,0.2989228069782257,0.31091248989105225
the,0.42745697498321533,0.25727739930152893,0.366199791431427,0.4177538752555847,0.5829201340675354,0.3828733265399933,0.3336862325668335,0.733189046382904,0.2477465271949768,0.34096023440361023,0.22068053483963013
chicago,0.1521448791027069,0.17259934544563293,0.1676420420408249,0.2192898839712143,0.17899899184703827,0.12227370589971542,0.17308367788791656,0.18391016125679016,0.18662072718143463,0.1536308228969574,0.16446958482265472
eight,0.15383057296276093,0.16233034431934357,0.19412195682525635,0.30173373222351074,0.3028070032596588,0.20806480944156647,0.19575853645801544,0.3220755457878113,0.11293020099401474,0.17179866135120392,0.11634626984596252
used,0.27546408772468567,0.20976735651493073,0.22597834467887878,0.23367926478385925,0.3864384889602661,0.3057393729686737,0.27664682269096375,0.3075267970561981,0.18663932383060455,0.26987507939338684,0.22430120408535004
a,0.3320399522781372,0.1862444281578064,0.2368277609348297,0.4670248031616211,1.0,0.3740714490413666,0.3439450263977051,0.5052502155303955,0.21693918108940125,0.26969417929649353,0.23916715383529663
political,0.21846716105937958,0.11910118162631989,0.30907976627349854,0.1945810467004776,0.21418654918670654,0.14472614228725433,0.12323208898305893,0.27319738268852234,0.33490484952926636,0.32181796431541443,0.17130474746227264
defense,0.193815678358078,0.13875603675842285,0.35926273465156555,0.1526215821504593,0.21441413462162018,0.10602333396673203,0.08390209823846817,0.27720823884010315,0.25567182898521423,0.3363739252090454,0.21935760974884033
",",0.3087472915649414,0.3120202422142029,0.2671184241771698,0.3734780251979828,0.427140474319458,0.2263888567686081,0.21125462651252747,0.4946078956127167,0.24795588850975037,0.2989228069782257,0.31091248989105225
while,0.35511791706085205,0.23116753995418549,0.2089594155550003,0.2546449601650238,0.3733035624027252,0.2104693204164505,0.29311174154281616,0.3366928696632385,0.17608642578125,0.27723070979118347,0.21076419949531555
benjamin,0.18476101756095886,0.17201314866542816,0.2760591506958008,0.08523648977279663,0.2032749503850937,0.15032248198986053,0.13638411462306976,0.19692720472812653,0.2292889505624771,0.1985362470149994,0.20336422324180603
spock,0.19846360385417938,0.17876693606376648,0.23423196375370026,0.14873430132865906,0.23404169082641602,0.11662641167640686,0.14777709543704987,0.19420121610164642,0.12692858278751373,0.27832916378974915,0.206790491938591
used,0.27546408772468567,0.20976735651493073,0.22597834467887878,0.23367926478385925,0.3864384889602661,0.3057393729686737,0.27664682269096375,0.3075267970561981,0.18663932383060455,0.26987507939338684,0.22430120408535004
a,0.3320399522781372,0.1862444281578064,0.2368277609348297,0.4670248031616211,1.0,0.3740714490413666,0.3439450263977051,0.5052502155303955,0.21693918108940125,0.26969417929649353,0.23916715383529663
technical,0.2745521366596222,0.16023510694503784,0.15016305446624756,0.1841582953929901,0.2157520353794098,0.20210295915603638,0.1658489853143692,0.2775585949420929,0.1989864856004715,0.16517511010169983,0.1962660700082779
defense,0.193815678358078,0.13875603675842285,0.35926273465156555,0.1526215821504593,0.21441413462162018,0.10602333396673203,0.08390209823846817,0.27720823884010315,0.25567182898521423,0.3363739252090454,0.21935760974884033
.,0.3567904531955719,0.3162994682788849,0.3000848889350891,0.4105546176433563,0.50484299659729,0.2304532378911972,0.24893930554389954,0.5352458953857422,0.2541380822658539,0.2842986583709717,0.4130953550338745
