,who,did,president,kibaki,run,against,?
in,0.2792111933231354,0.2593238651752472,0.18811661005020142,0.24637463688850403,0.26368704438209534,0.27273955941200256,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,0.24330610036849976,0.20502740144729614,0.27883726358413696,0.3090755045413971,0.22068053483963013
presidential,0.18391481041908264,0.1718079149723053,0.7008855938911438,0.3670295774936676,0.28393813967704773,0.21016162633895874,0.1823401004076004
elections,0.25705838203430176,0.22045423090457916,0.45401760935783386,0.32150959968566895,0.28944310545921326,0.2534165382385254,0.2319818139076233
",",0.3365725874900818,0.3015086054801941,0.26552814245224,0.30390122532844543,0.2309936285018921,0.31168749928474426,0.31091248989105225
president,0.22565458714962006,0.1801012009382248,1.0000001192092896,0.39847540855407715,0.2037559151649475,0.21157698333263397,0.14148259162902832
kibaki,0.30400484800338745,0.15011894702911377,0.39847540855407715,1.0,0.19778217375278473,0.18932712078094482,0.19735006988048553
under,0.2962189018726349,0.20815621316432953,0.1993730515241623,0.15155476331710815,0.16147775948047638,0.313276469707489,0.18233340978622437
the,0.3733934462070465,0.34736719727516174,0.24330610036849976,0.20502740144729614,0.27883726358413696,0.3090755045413971,0.22068053483963013
party,0.2427869290113449,0.1442001461982727,0.3547251224517822,0.2959485352039337,0.1782885193824768,0.21933254599571228,0.19031576812267303
of,0.2827862501144409,0.2513895630836487,0.21610750257968903,0.21858225762844086,0.2272813767194748,0.2669808566570282,0.1826142966747284
national,0.18105065822601318,0.17743784189224243,0.279017835855484,0.26297301054000854,0.14408992230892181,0.2013411670923233,0.15643028914928436
unity,0.11465095728635788,0.1277768462896347,0.20032913982868195,0.16305464506149292,0.11811156570911407,0.19960109889507294,0.16156218945980072
ran,0.1948244422674179,0.31891340017318726,0.2268495410680771,0.28382211923599243,0.5550625920295715,0.18875275552272797,0.11304427683353424
for,0.37110671401023865,0.318512886762619,0.17469504475593567,0.18359686434268951,0.27206581830978394,0.3262052536010742,0.264628142118454
re-election,0.2244075983762741,0.23746687173843384,0.4421227276325226,0.2814266085624695,0.2717932164669037,0.24694359302520752,0.2795447111129761
against,0.2942115366458893,0.22514554858207703,0.21157698333263397,0.18932712078094482,0.22492475807666779,1.0,0.18095137178897858
the,0.3733934462070465,0.34736719727516174,0.24330610036849976,0.20502740144729614,0.27883726358413696,0.3090755045413971,0.22068053483963013
main,0.18417203426361084,0.15925762057304382,0.10017438977956772,0.1411738246679306,0.18811625242233276,0.2279006540775299,0.1665669083595276
opposition,0.28465259075164795,0.21891070902347565,0.29012128710746765,0.26829782128334045,0.14705483615398407,0.3797253966331482,0.15647298097610474
party,0.2427869290113449,0.1442001461982727,0.3547251224517822,0.2959485352039337,0.1782885193824768,0.21933254599571228,0.19031576812267303
",",0.3365725874900818,0.3015086054801941,0.26552814245224,0.30390122532844543,0.2309936285018921,0.31168749928474426,0.31091248989105225
the,0.3733934462070465,0.34736719727516174,0.24330610036849976,0.20502740144729614,0.27883726358413696,0.3090755045413971,0.22068053483963013
orange,0.1434134840965271,0.10191533714532852,0.1265346109867096,0.07494912296533585,0.07138309627771378,0.11464379727840424,0.1066059097647667
democratic,0.1775825470685959,0.14864127337932587,0.4475593864917755,0.35968783497810364,0.21572475135326385,0.2319934219121933,0.1668088138103485
movement,0.1981392204761505,0.12124674767255783,0.16086269915103912,0.18608757853507996,0.13132674992084503,0.23060853779315948,0.1423349231481552
(,0.2443375140428543,0.18979617953300476,0.2037333846092224,0.23240970075130463,0.1844223588705063,0.17481690645217896,0.40561532974243164
odm,0.15947245061397552,0.11156462132930756,0.01494272705167532,0.21280382573604584,0.17796100676059723,0.09937570244073868,0.1599399894475937
),0.2457384318113327,0.18584993481636047,0.1912459284067154,0.2693292498588562,0.1813306212425232,0.17787303030490875,0.42300865054130554
.,0.3541337847709656,0.35288307070732117,0.26255303621292114,0.27567771077156067,0.2739698588848114,0.28705209493637085,0.4130953550338745
,who,did,president,kibaki,run,against,?
after,0.32549580931663513,0.30330467224121094,0.25286588072776794,0.3134898841381073,0.1923825591802597,0.31196507811546326,0.16608688235282898
a,0.36608949303627014,0.2552328109741211,0.16959697008132935,0.2559822201728821,0.2607046067714691,0.2227657586336136,0.23916715383529663
split,0.07461348921060562,0.11566226184368134,0.10766149312257767,0.1616913378238678,0.23252739012241364,0.14019908010959625,0.16133880615234375
which,0.3688730001449585,0.2750149369239807,0.15872660279273987,0.14816154539585114,0.32898253202438354,0.27554041147232056,0.25814583897590637
took,0.2481452226638794,0.42470768094062805,0.23178637027740479,0.21159371733665466,0.20963113009929657,0.24287115037441254,0.14109265804290771
a,0.36608949303627014,0.2552328109741211,0.16959697008132935,0.2559822201728821,0.2607046067714691,0.2227657586336136,0.23916715383529663
crucial,0.16558511555194855,0.2320292890071869,0.09907505661249161,0.14927177131175995,0.18533870577812195,0.23481054604053497,0.18243193626403809
8,0.001927281147800386,-0.004101584665477276,-0.007686668541282415,0.03563167527318001,0.11829759180545807,-0.05814116820693016,-0.04056251794099808
%,0.15813837945461273,0.1450016051530838,0.15388906002044678,0.18363730609416962,0.23156534135341644,0.1570054441690445,0.21441808342933655
of,0.2827862501144409,0.2513895630836487,0.21610750257968903,0.21858225762844086,0.2272813767194748,0.2669808566570282,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,0.24330610036849976,0.20502740144729614,0.27883726358413696,0.3090755045413971,0.22068053483963013
votes,0.2908877730369568,0.22304154932498932,0.3304058611392975,0.2282746583223343,0.2544843852519989,0.2692807912826538,0.23052719235420227
away,0.2651624381542206,0.2167721837759018,0.15349693596363068,0.15527798235416412,0.2749141454696655,0.27751341462135315,0.15156377851963043
from,0.27839982509613037,0.20248863101005554,0.14635725319385529,0.20565970242023468,0.23495638370513916,0.2447778731584549,0.19969791173934937
the,0.3733934462070465,0.34736719727516174,0.24330610036849976,0.20502740144729614,0.27883726358413696,0.3090755045413971,0.22068053483963013
odm,0.15947245061397552,0.11156462132930756,0.01494272705167532,0.21280382573604584,0.17796100676059723,0.09937570244073868,0.1599399894475937
to,0.42656609416007996,0.4452643394470215,0.21247753500938416,0.21214713156223297,0.2691870927810669,0.310872346162796,0.29463258385658264
the,0.3733934462070465,0.34736719727516174,0.24330610036849976,0.20502740144729614,0.27883726358413696,0.3090755045413971,0.22068053483963013
newly,0.2577650249004364,0.18732944130897522,0.1738269031047821,0.22422407567501068,0.13096529245376587,0.1588638573884964,0.08549588173627853
formed,0.12868277728557587,0.17168700695037842,0.1526886522769928,0.1886567920446396,0.17990317940711975,0.22146174311637878,0.09686966985464096
orange,0.1434134840965271,0.10191533714532852,0.1265346109867096,0.07494912296533585,0.07138309627771378,0.11464379727840424,0.1066059097647667
democratic,0.1775825470685959,0.14864127337932587,0.4475593864917755,0.35968783497810364,0.21572475135326385,0.2319934219121933,0.1668088138103485
movement-kenya,0.22901134192943573,0.1721658855676651,0.25526341795921326,0.38461747765541077,0.19477578997612,0.2506091296672821,0.23467977344989777
(,0.2443375140428543,0.18979617953300476,0.2037333846092224,0.23240970075130463,0.1844223588705063,0.17481690645217896,0.40561532974243164
odm-k,0.08992532640695572,0.056689970195293427,-0.021896427497267723,0.18044257164001465,0.18400119245052338,0.02825985662639141,0.08864056318998337
),0.2457384318113327,0.18584993481636047,0.1912459284067154,0.2693292498588562,0.1813306212425232,0.17787303030490875,0.42300865054130554
's,0.05599616840481758,0.05069678649306297,-0.08566092699766159,0.007008386310189962,0.017889494076371193,-0.0006242102244868875,-0.023395681753754616
candidate,0.3043932318687439,0.2365303486585617,0.41113558411598206,0.2845771908760071,0.3141726553440094,0.2571831941604614,0.2826109528541565
",",0.3365725874900818,0.3015086054801941,0.26552814245224,0.30390122532844543,0.2309936285018921,0.31168749928474426,0.31091248989105225
kalonzo,0.2579346001148224,0.10660061240196228,0.2206650674343109,0.40666866302490234,0.09068801999092102,0.08082417398691177,0.19664908945560455
musyoka,0.26927635073661804,0.1794072538614273,0.27291426062583923,0.5870346426963806,0.17331376671791077,0.13587267696857452,0.26836442947387695
