,what,group,started,peace,meetings,?
for,0.3017193675041199,0.24519909918308258,0.297429621219635,0.2356155663728714,0.2716311812400818,0.264628142118454
example,0.3456268310546875,0.2711803913116455,0.1849505454301834,0.14554183185100555,0.18984462320804596,0.30374911427497864
",",0.3087472915649414,0.2809832692146301,0.32632124423980713,0.267503559589386,0.22502809762954712,0.31091248989105225
the,0.42745697498321533,0.30795547366142273,0.3222070634365082,0.2625678777694702,0.31532901525497437,0.22068053483963013
truth,0.41090071201324463,0.10400820523500443,0.11117986589670181,0.2816809415817261,0.20868919789791107,0.27048787474632263
",",0.3087472915649414,0.2809832692146301,0.32632124423980713,0.267503559589386,0.22502809762954712,0.31091248989105225
justice,0.21462921798229218,0.082527294754982,0.13073699176311493,0.38815078139305115,0.24945443868637085,0.19269752502441406
and,0.31309178471565247,0.3510662019252777,0.2649672031402588,0.23144522309303284,0.27042466402053833,0.20544172823429108
reconciliation,0.23001986742019653,0.18893200159072876,0.11966484040021896,0.445772260427475,0.3844051957130432,0.17171992361545563
commission,0.22273972630500793,0.16078194975852966,0.1848643720149994,0.24302995204925537,0.3624721169471741,0.16231559216976166
initiated,0.17882773280143738,0.2747833728790283,0.31343376636505127,0.26051634550094604,0.3589950501918793,0.16644564270973206
community,0.29032719135284424,0.2200997769832611,0.18646623194217682,0.20064255595207214,0.342467725276947,0.2380419820547104
dialogues,0.2804723083972931,0.15350110828876495,0.09256776422262192,0.20645880699157715,0.39209794998168945,0.20913387835025787
",",0.3087472915649414,0.2809832692146301,0.32632124423980713,0.267503559589386,0.22502809762954712,0.31091248989105225
the,0.42745697498321533,0.30795547366142273,0.3222070634365082,0.2625678777694702,0.31532901525497437,0.22068053483963013
evangelical,0.20315878093242645,0.2171969711780548,0.22400766611099243,0.18714550137519836,0.33847832679748535,0.16597984731197357
lutheran,0.195865198969841,0.1517820954322815,0.20714910328388214,0.2712169587612152,0.28891655802726746,0.1752520203590393
church,0.1944202184677124,0.14028063416481018,0.20759637653827667,0.21867550909519196,0.30345574021339417,0.18081501126289368
in,0.30808621644973755,0.2304753065109253,0.3199414014816284,0.22529716789722443,0.24394764006137848,0.20430970191955566
kenya,0.18398970365524292,0.20872393250465393,0.1984228938817978,0.2165655940771103,0.13564299046993256,0.17197901010513306
started,0.21609699726104736,0.2657511532306671,1.0,0.1693870574235916,0.2611106336116791,0.19447724521160126
peace,0.18390877544879913,0.15143686532974243,0.1693870574235916,1.0,0.33431610465049744,0.1404135823249817
meetings,0.24949911236763,0.30150744318962097,0.2611106336116791,0.33431610465049744,1.0,0.17293356359004974
and,0.31309178471565247,0.3510662019252777,0.2649672031402588,0.23144522309303284,0.27042466402053833,0.20544172823429108
the,0.42745697498321533,0.30795547366142273,0.3222070634365082,0.2625678777694702,0.31532901525497437,0.22068053483963013
kenya,0.18398970365524292,0.20872393250465393,0.1984228938817978,0.2165655940771103,0.13564299046993256,0.17197901010513306
national,0.16882304847240448,0.15010859072208405,0.15485014021396637,0.16389642655849457,0.21370497345924377,0.15643028914928436
dialogue,0.28533935546875,0.16730964183807373,0.10118748992681503,0.21205155551433563,0.3557531535625458,0.20502491295337677
and,0.31309178471565247,0.3510662019252777,0.2649672031402588,0.23144522309303284,0.27042466402053833,0.20544172823429108
reconciliation,0.23001986742019653,0.18893200159072876,0.11966484040021896,0.445772260427475,0.3844051957130432,0.17171992361545563
process,0.3466717302799225,0.21411344408988953,0.18421430885791779,0.16102318465709686,0.23342640697956085,0.2460896074771881
was,0.22111038863658905,0.1789962202310562,0.44883424043655396,0.20237044990062714,0.21595045924186707,0.18412111699581146
started,0.21609699726104736,0.2657511532306671,1.0,0.1693870574235916,0.2611106336116791,0.19447724521160126
.,0.3567904531955719,0.27268800139427185,0.3230702877044678,0.24015288054943085,0.2372949719429016,0.4130953550338745
