,how,long,would,this,coalition,last,?
after,0.23871733248233795,0.25804978609085083,0.31067174673080444,0.3357301354408264,0.25492867827415466,0.38612499833106995,0.16608688235282898
debates,0.29712703824043274,0.17673605680465698,0.27129486203193665,0.3530946969985962,0.3106916546821594,0.1525115668773651,0.23877738416194916
",",0.22659391164779663,0.3431144952774048,0.32586824893951416,0.4316047728061676,0.23388497531414032,0.29026782512664795,0.31091248989105225
it,0.36714982986450195,0.34568047523498535,0.36398744583129883,0.6107783317565918,0.185060515999794,0.23236626386642456,0.25732165575027466
was,0.16678167879581451,0.1968146562576294,0.41663143038749695,0.3638818562030792,0.22617590427398682,0.32424551248550415,0.18412111699581146
passed,0.2254447191953659,0.2153206616640091,0.30540376901626587,0.3039473593235016,0.2265031933784485,0.17901191115379333,0.12064517289400101
by,0.34370526671409607,0.17269869148731232,0.28394925594329834,0.38438332080841064,0.18169596791267395,0.24441376328468323,0.17966607213020325
parliament,0.13635116815567017,0.169145867228508,0.18992860615253448,0.23205555975437164,0.5019962191581726,0.11764287203550339,0.1586504578590393
",",0.22659391164779663,0.3431144952774048,0.32586824893951416,0.4316047728061676,0.23388497531414032,0.29026782512664795,0.31091248989105225
the,0.33890387415885925,0.3075225353240967,0.4133751392364502,0.6274310946464539,0.27709540724754333,0.3698786795139313,0.22068053483963013
coalition,0.147558331489563,0.10795579850673676,0.2262832373380661,0.22893604636192322,1.0000001192092896,0.15476346015930176,0.13521195948123932
would,0.43239715695381165,0.26973652839660645,1.0000001192092896,0.47797831892967224,0.2262832373380661,0.2556133568286896,0.37178951501846313
hold,0.22157108783721924,0.23621712625026703,0.31979474425315857,0.31573933362960815,0.1962256282567978,0.22566355764865875,0.18586084246635437
until,0.1887991726398468,0.25296199321746826,0.31353649497032166,0.27892377972602844,0.2325565069913864,0.38339319825172424,0.20304496586322784
the,0.33890387415885925,0.3075225353240967,0.4133751392364502,0.6274310946464539,0.27709540724754333,0.3698786795139313,0.22068053483963013
end,0.2481066733598709,0.3434635102748871,0.25934845209121704,0.33479824662208557,0.21180079877376556,0.413840651512146,0.12543344497680664
of,0.2480744868516922,0.2567519545555115,0.3353942930698395,0.45148900151252747,0.2811764180660248,0.3052992522716522,0.1826142966747284
the,0.33890387415885925,0.3075225353240967,0.4133751392364502,0.6274310946464539,0.27709540724754333,0.3698786795139313,0.22068053483963013
current,0.17794625461101532,0.1598517745733261,0.2518114745616913,0.3110962510108948,0.19629880785942078,0.192361980676651,0.12074550241231918
parliament,0.13635116815567017,0.169145867228508,0.18992860615253448,0.23205555975437164,0.5019962191581726,0.11764287203550339,0.1586504578590393
or,0.3378981947898865,0.2804487943649292,0.39548179507255554,0.4406825602054596,0.20268410444259644,0.17841780185699463,0.32389625906944275
if,0.4917012155056,0.30125731229782104,0.5543612837791443,0.48231831192970276,0.15417064726352692,0.2675250172615051,0.4441644251346588
either,0.35004037618637085,0.29464659094810486,0.4276939034461975,0.4812978506088257,0.16637907922267914,0.18811294436454773,0.31498292088508606
of,0.2480744868516922,0.2567519545555115,0.3353942930698395,0.45148900151252747,0.2811764180660248,0.3052992522716522,0.1826142966747284
the,0.33890387415885925,0.3075225353240967,0.4133751392364502,0.6274310946464539,0.27709540724754333,0.3698786795139313,0.22068053483963013
parties,0.1722421944141388,0.1971329301595688,0.2616356313228607,0.25839778780937195,0.5065913200378418,0.1612742692232132,0.16949701309204102
withdraws,0.13940340280532837,0.22311213612556458,0.30406689643859863,0.3140471875667572,0.2742789387702942,0.24493488669395447,0.1570417881011963
from,0.22939439117908478,0.3109167516231537,0.26231399178504944,0.3469814360141754,0.16953331232070923,0.235591322183609,0.19969791173934937
the,0.33890387415885925,0.3075225353240967,0.4133751392364502,0.6274310946464539,0.27709540724754333,0.3698786795139313,0.22068053483963013
deal,0.38440680503845215,0.18909300863742828,0.3593999147415161,0.27218949794769287,0.30402764678001404,0.148430734872818,0.2513751685619354
before,0.33293965458869934,0.28386759757995605,0.3843644857406616,0.39637717604637146,0.17272131145000458,0.4677324891090393,0.2507109045982361
then,0.36093711853027344,0.27494016289711,0.44452744722366333,0.3881414830684662,0.1685507595539093,0.30229422450065613,0.2884598970413208
.,0.3287222981452942,0.3247973620891571,0.35067233443260193,0.500583827495575,0.20060032606124878,0.3548945486545563,0.4130953550338745
