,when,was,kenya,electricity,generating,company,established,?
the,0.5091903209686279,0.48711544275283813,0.21657514572143555,0.274786114692688,0.24966508150100708,0.26591673493385315,0.33092597126960754,0.22068053483963013
state-owned,0.2500976622104645,0.36691510677337646,0.21552252769470215,0.21975326538085938,0.2105901539325714,0.3120204508304596,0.34186455607414246,0.24016176164150238
kenya,0.11853623390197754,0.17758844792842865,1.0,0.12499098479747772,0.10284864157438278,0.13942226767539978,0.16462063789367676,0.17197901010513306
electricity,0.3229100704193115,0.19055983424186707,0.12499098479747772,0.9999999403953552,0.42480897903442383,0.272225022315979,0.1442308872938156,0.17856204509735107
generating,0.2114417999982834,0.12078902870416641,0.10284864157438278,0.42480897903442383,1.0000001192092896,0.1931965947151184,0.12992537021636963,0.20393006503582
company,0.2219121903181076,0.2293137013912201,0.13942226767539978,0.272225022315979,0.1931965947151184,1.0,0.2144814133644104,0.12195809185504913
(,0.2459595799446106,0.2980341613292694,0.10727446526288986,0.1889658272266388,0.17655807733535767,0.13179703056812286,0.2072630226612091,0.40561532974243164
kengen,0.13049782812595367,0.15256313979625702,0.26963168382644653,0.1838630884885788,0.19164106249809265,0.09796073287725449,0.27114614844322205,0.18652376532554626
),0.2538422644138336,0.3267642855644226,0.12372948974370956,0.18428006768226624,0.16691900789737701,0.14284300804138184,0.23480038344860077,0.42300865054130554
",",0.36674630641937256,0.45456063747406006,0.23432263731956482,0.2550862729549408,0.20112009346485138,0.2697763442993164,0.22739723324775696,0.31091248989105225
established,0.18169470131397247,0.26515325903892517,0.16462063789367676,0.1442308872938156,0.12992537021636963,0.2144814133644104,0.9999998807907104,0.15917523205280304
in,0.4431333839893341,0.45514053106307983,0.23621977865695953,0.2437814176082611,0.19118285179138184,0.22141718864440918,0.3118882477283478,0.20430970191955566
1997,-0.03653284162282944,-0.11245216429233551,-0.06290226429700851,-0.042289335280656815,-0.06191791966557503,-0.04119265079498291,0.09244327992200851,0.03663474693894386
under,0.3172987401485443,0.2672741413116455,0.07996218651533127,0.14635755121707916,0.1457727551460266,0.23108509182929993,0.2052634209394455,0.18233340978622437
the,0.5091903209686279,0.48711544275283813,0.21657514572143555,0.274786114692688,0.24966508150100708,0.26591673493385315,0.33092597126960754,0.22068053483963013
name,0.24618172645568848,0.2646567225456238,0.14614726603031158,0.08909618854522705,0.10109569132328033,0.21465471386909485,0.1540020853281021,0.15381577610969543
of,0.3757161796092987,0.4069072902202606,0.22226637601852417,0.22897469997406006,0.24747565388679504,0.20467796921730042,0.2735237777233124,0.1826142966747284
kenya,0.11853623390197754,0.17758844792842865,1.0,0.12499098479747772,0.10284864157438278,0.13942226767539978,0.16462063789367676,0.17197901010513306
power,0.28225177526474,0.1794997751712799,0.1037459671497345,0.5319902896881104,0.3347013294696808,0.16094139218330383,0.17147919535636902,0.15304024517536163
company,0.2219121903181076,0.2293137013912201,0.13942226767539978,0.272225022315979,0.1931965947151184,1.0,0.2144814133644104,0.12195809185504913
",",0.36674630641937256,0.45456063747406006,0.23432263731956482,0.2550862729549408,0.20112009346485138,0.2697763442993164,0.22739723324775696,0.31091248989105225
handles,0.26222655177116394,0.12380608916282654,0.11048043519258499,0.2958813011646271,0.2801419496536255,0.17450901865959167,0.11197548359632492,0.18804331123828888
the,0.5091903209686279,0.48711544275283813,0.21657514572143555,0.274786114692688,0.24966508150100708,0.26591673493385315,0.33092597126960754,0.22068053483963013
generation,0.14475411176681519,0.2064366340637207,0.17382803559303284,0.29217860102653503,0.7889910936355591,0.22482120990753174,0.12223155051469803,0.18250396847724915
of,0.3757161796092987,0.4069072902202606,0.22226637601852417,0.22897469997406006,0.24747565388679504,0.20467796921730042,0.2735237777233124,0.1826142966747284
electricity,0.3229100704193115,0.19055983424186707,0.12499098479747772,0.9999999403953552,0.42480897903442383,0.272225022315979,0.1442308872938156,0.17856204509735107
",",0.36674630641937256,0.45456063747406006,0.23432263731956482,0.2550862729549408,0.20112009346485138,0.2697763442993164,0.22739723324775696,0.31091248989105225
while,0.548916757106781,0.3253832161426544,0.180053249001503,0.21887709200382233,0.2444920837879181,0.24111191928386688,0.1268330067396164,0.21076419949531555
kenya,0.11853623390197754,0.17758844792842865,1.0,0.12499098479747772,0.10284864157438278,0.13942226767539978,0.16462063789367676,0.17197901010513306
power,0.28225177526474,0.1794997751712799,0.1037459671497345,0.5319902896881104,0.3347013294696808,0.16094139218330383,0.17147919535636902,0.15304024517536163
handles,0.26222655177116394,0.12380608916282654,0.11048043519258499,0.2958813011646271,0.2801419496536255,0.17450901865959167,0.11197548359632492,0.18804331123828888
the,0.5091903209686279,0.48711544275283813,0.21657514572143555,0.274786114692688,0.24966508150100708,0.26591673493385315,0.33092597126960754,0.22068053483963013
electricity,0.3229100704193115,0.19055983424186707,0.12499098479747772,0.9999999403953552,0.42480897903442383,0.272225022315979,0.1442308872938156,0.17856204509735107
transmission,0.22322627902030945,0.1702040582895279,0.14650900661945343,0.49125054478645325,0.4350956380367279,0.22630056738853455,0.12101931869983673,0.16372337937355042
and,0.4716290831565857,0.3740963041782379,0.20742860436439514,0.2610585391521454,0.22314487397670746,0.23788511753082275,0.2369968742132187,0.20544172823429108
distribution,0.13132691383361816,0.14958971738815308,0.10753839462995529,0.31295230984687805,0.27573463320732117,0.276987761259079,0.15198686718940735,0.0929616317152977
system,0.27706024050712585,0.2147521674633026,0.09539425373077393,0.286192923784256,0.3360002934932709,0.18630766868591309,0.2449539452791214,0.15556083619594574
in,0.4431333839893341,0.45514053106307983,0.23621977865695953,0.2437814176082611,0.19118285179138184,0.22141718864440918,0.3118882477283478,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.21657514572143555,0.274786114692688,0.24966508150100708,0.26591673493385315,0.33092597126960754,0.22068053483963013
country,0.21558639407157898,0.24557247757911682,0.2935680150985718,0.20474940538406372,0.19466589391231537,0.1993149369955063,0.24347487092018127,0.12647280097007751
.,0.475719153881073,0.40146201848983765,0.24234211444854736,0.24271675944328308,0.24947881698608398,0.266353577375412,0.23771190643310547,0.4130953550338745
