,where,is,the,only,jewish,synagogue,located,?
the,0.5003893971443176,0.5823672413825989,1.0,0.5497692227363586,0.19492539763450623,0.23546062409877777,0.407527357339859,0.22068053483963013
only,0.46093058586120605,0.44708555936813354,0.5497692227363586,1.0,0.13028979301452637,0.138875350356102,0.2677863538265228,0.2767370045185089
jewish,0.19145743548870087,0.19515034556388855,0.19492539763450623,0.13028979301452637,1.0,0.5222024321556091,0.20600327849388123,0.15521590411663055
synagogue,0.2296239584684372,0.2020716369152069,0.23546062409877777,0.138875350356102,0.5222024321556091,0.9999999403953552,0.23239992558956146,0.20581424236297607
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.42992329597473145,0.22940313816070557,0.24763593077659607,0.35149815678596497,0.20430970191955566
the,0.5003893971443176,0.5823672413825989,1.0,0.5497692227363586,0.19492539763450623,0.23546062409877777,0.407527357339859,0.22068053483963013
country,0.2450796216726303,0.24409033358097076,0.30432501435279846,0.2164556235074997,0.17963387072086334,0.1840439736843109,0.19386409223079681,0.12647280097007751
is,0.3586711287498474,1.0,0.5823672413825989,0.44708555936813354,0.19515034556388855,0.2020716369152069,0.35717159509658813,0.22961433231830597
located,0.350632905960083,0.35717159509658813,0.407527357339859,0.2677863538265228,0.20600327849388123,0.23239992558956146,1.0,0.08983194828033447
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.42992329597473145,0.22940313816070557,0.24763593077659607,0.35149815678596497,0.20430970191955566
the,0.5003893971443176,0.5823672413825989,1.0,0.5497692227363586,0.19492539763450623,0.23546062409877777,0.407527357339859,0.22068053483963013
capital,0.24952609837055206,0.2849797308444977,0.3049491047859192,0.2020220160484314,0.1283106505870819,0.28470349311828613,0.3374330401420593,0.0907452180981636
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.4220978021621704,0.23398083448410034,0.22226043045520782,0.2678719460964203,0.31091248989105225
nairobi,0.25568723678588867,0.13799425959587097,0.19357922673225403,0.11281049251556396,0.22979260981082916,0.2857248783111572,0.23630894720554352,0.10651574283838272
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.49507418274879456,0.19860893487930298,0.21355819702148438,0.28226932883262634,0.4130953550338745
