,what,kind,of,people,attend,the,ipcc,meetings,?
attendance,0.13257066905498505,0.04180755093693733,0.19119514524936676,0.22031594812870026,0.5862705707550049,0.24430257081985474,0.19713076949119568,0.39366793632507324,0.16877901554107666
at,0.2838611304759979,0.17203933000564575,0.42558613419532776,0.2582513391971588,0.3939802646636963,0.457212895154953,0.21482627093791962,0.26153090596199036,0.21978627145290375
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.36838498711586,0.23206810653209686,1.0,0.24925659596920013,0.31532901525497437,0.22068053483963013
2003,-0.17906495928764343,-0.14978229999542236,-0.16871118545532227,-0.1357971578836441,-0.1478790044784546,-0.14761915802955627,-0.10945271700620651,-0.10241372883319855,-0.17560148239135742
meeting,0.2296355813741684,0.11340022087097168,0.2703947126865387,0.2296367734670639,0.478573203086853,0.3390691578388214,0.35303738713264465,0.840449869632721,0.1329771876335144
included,0.2288810908794403,0.13855263590812683,0.4391688108444214,0.16624505817890167,0.22502154111862183,0.3825419843196869,0.12195993959903717,0.2170160859823227,0.14385655522346497
350,-0.019714174792170525,0.02727353759109974,-0.00971620250493288,-0.0016598724760115147,-0.04058005288243294,-0.050136733800172806,0.01924835704267025,0.053647469729185104,-0.04623246565461159
government,0.28074538707733154,0.15064316987991333,0.3475167155265808,0.351580411195755,0.24904046952724457,0.31798112392425537,0.3235599100589752,0.3371829390525818,0.18851417303085327
officials,0.23964433372020721,0.08722756057977676,0.2648431658744812,0.40876075625419617,0.3816292881965637,0.36026763916015625,0.2907181978225708,0.44321149587631226,0.1505519449710846
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.3016039729118347,0.26535022258758545,0.5171257257461548,0.20790739357471466,0.27042466402053833,0.20544172823429108
climate,0.2854173183441162,0.20011179149150848,0.25840428471565247,0.19744884967803955,0.11991817504167557,0.2693597674369812,0.5031722187995911,0.23820260167121887,0.19998492300510406
change,0.3690716028213501,0.29766845703125,0.2569013833999634,0.2221015989780426,0.1879376769065857,0.3641999065876007,0.34827950596809387,0.2253999263048172,0.24115969240665436
experts,0.3351825177669525,0.2308991402387619,0.2703074812889099,0.3305327594280243,0.2658264636993408,0.29114848375320435,0.43193256855010986,0.32890456914901733,0.19090798497200012
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.33118996024131775,0.1994091272354126,0.5934505462646484,0.20098818838596344,0.2372949719429016,0.4130953550338745
