,how,much,did,the,ipcc,third,assessment,report,say,sea,levels,will,rise,from,1990,to,2100,?
these,0.41104358434677124,0.3684355318546295,0.38755595684051514,0.49086877703666687,0.30149462819099426,0.13180924952030182,0.27555322647094727,0.26752564311027527,0.346245676279068,0.2194749265909195,0.38152673840522766,0.3736666440963745,0.26445186138153076,0.2928802967071533,-0.1550806164741516,0.46852558851242065,0.11586489528417587,0.2571668326854706
values,0.27992549538612366,0.23497723042964935,0.1320362389087677,0.23992402851581573,0.2835465967655182,0.12045943737030029,0.20883113145828247,0.16690590977668762,0.24655458331108093,0.0533970408141613,0.3272380530834198,0.3413204550743103,0.18179048597812653,0.15263591706752777,-0.1807943880558014,0.2971996068954468,0.13759423792362213,0.23432563245296478
are,0.311818927526474,0.2937524914741516,0.2159031480550766,0.40399202704429626,0.20066511631011963,0.15971572697162628,0.20519836246967316,0.1750389188528061,0.37062135338783264,0.215116485953331,0.3186073899269104,0.39387544989585876,0.19183066487312317,0.2674213647842407,-0.14344701170921326,0.3504326641559601,0.12299340963363647,0.24591213464736938
much,0.46556615829467773,0.9999998807907104,0.37947356700897217,0.35023224353790283,0.22506283223628998,0.18641111254692078,0.2761547267436981,0.18790055811405182,0.34675514698028564,0.20864515006542206,0.31009310483932495,0.33636274933815,0.3153977394104004,0.24480824172496796,-0.07469524443149567,0.40610215067863464,0.20289640128612518,0.23442231118679047
greater,0.11442330479621887,0.4087044894695282,0.12908196449279785,0.2814446687698364,0.13710126280784607,0.1744849681854248,0.2050587236881256,0.1750328093767166,0.1653960645198822,0.2222219705581665,0.1893804669380188,0.1913352608680725,0.268335223197937,0.23450924456119537,-0.1296633630990982,0.25585630536079407,0.13961359858512878,0.09723397344350815
than,0.29763275384902954,0.632695198059082,0.24820660054683685,0.3227543234825134,0.18858443200588226,0.22376805543899536,0.20977148413658142,0.1711035668849945,0.356334924697876,0.13665421307086945,0.2943741977214813,0.33491280674934387,0.2648017704486847,0.2633618414402008,-0.11010824888944626,0.3192550539970398,0.2458244413137436,0.24917294085025787
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.24925659596920013,0.4229298532009125,0.28427207469940186,0.2556745111942291,0.3200206458568573,0.30363768339157104,0.286034494638443,0.3635469079017639,0.3404741883277893,0.40150508284568787,-0.0810435339808464,0.535392165184021,0.208340585231781,0.22068053483963013
9–88,0.16134841740131378,0.09683471918106079,0.0190271008759737,-0.09854760020971298,0.09202032536268234,-0.09190455824136734,0.14056158065795898,0.0615665465593338,0.2200041264295578,-0.13025633990764618,-0.0814051404595375,0.03227147459983826,-0.06104714050889015,-0.06891132146120071,0.07631667703390121,0.004382982384413481,-0.04509671777486801,0.270161896944046
cm,0.22115537524223328,0.19854748249053955,0.09513594210147858,0.1848733276128769,0.13791616261005402,0.1014891192317009,0.12308730185031891,0.12256772816181183,0.2269105166196823,0.1094818115234375,0.12159892916679382,0.2245183289051056,0.13091962039470673,0.1880866438150406,-0.005898323841392994,0.16218599677085876,0.10347254574298859,0.22839917242527008
as,0.33782753348350525,0.36514025926589966,0.3596470057964325,0.48381632566452026,0.17363275587558746,0.19291457533836365,0.23029525578022003,0.26206639409065247,0.3316376805305481,0.1931508332490921,0.24056120216846466,0.3047071695327759,0.19899694621562958,0.3251767158508301,-0.1149316057562828,0.42092081904411316,0.198198139667511,0.27043893933296204
