,what,was,left,when,engulfed,algae,was,broken,down,?
the,0.42745697498321533,0.48711544275283813,0.33113980293273926,0.5091903209686279,0.3533762991428375,0.17142868041992188,0.48711544275283813,0.27700477838516235,0.3325848877429962,0.22068053483963013
engulfed,0.2526431679725647,0.24227403104305267,0.16168655455112457,0.30502673983573914,1.0000001192092896,0.459109902381897,0.24227403104305267,0.2693423628807068,0.23702794313430786,0.1501116305589676
alga,0.12795694172382355,0.08188901096582413,0.06642021983861923,0.13076181709766388,0.4388161599636078,0.7943305969238281,0.08188901096582413,0.13767434656620026,0.1023353859782219,0.15664592385292053
was,0.22111038863658905,1.0000001192092896,0.21956826746463776,0.37326499819755554,0.24227403104305267,0.10804441571235657,1.0000001192092896,0.1565612107515335,0.19277216494083405,0.18412111699581146
broken,0.28858938813209534,0.1565612107515335,0.24475309252738953,0.28392845392227173,0.2693423628807068,0.1544555127620697,0.1565612107515335,1.0000001192092896,0.3663884699344635,0.1915387511253357
down,0.26226112246513367,0.19277216494083405,0.285753458738327,0.3649565279483795,0.23702794313430786,0.14069728553295135,0.19277216494083405,0.3663884699344635,1.0,0.13836295902729034
",",0.3087472915649414,0.45456063747406006,0.2448868453502655,0.36674630641937256,0.2688198387622833,0.23682884871959686,0.45456063747406006,0.2498844563961029,0.23362469673156738,0.31091248989105225
leaving,0.2528557777404785,0.23990856111049652,0.46359458565711975,0.48623764514923096,0.2801930010318756,0.20254220068454742,0.23990856111049652,0.2215474545955658,0.26855385303497314,0.11571593582630157
only,0.41415658593177795,0.36249664425849915,0.3199116289615631,0.5497387051582336,0.3505467176437378,0.2517907917499542,0.36249664425849915,0.2871832251548767,0.2301248162984848,0.2767370045185089
its,0.30393704771995544,0.3518870174884796,0.14614467322826385,0.34032323956489563,0.2365863174200058,0.17266863584518433,0.3518870174884796,0.17536333203315735,0.20866182446479797,0.15103481709957123
chloroplast,0.23505516350269318,0.1622564196586609,0.1606103479862213,0.2618095278739929,0.48598814010620117,0.6502871513366699,0.1622564196586609,0.22259211540222168,0.1508600264787674,0.12532055377960205
