,what,kind,of,chloroplasts,do,euglenophytes,have,?
euglenophytes,0.2614889442920685,0.32507407665252686,0.2600511312484741,0.6786432862281799,0.3258284628391266,1.0,0.42819973826408386,0.20885837078094482
are,0.29724663496017456,0.296465665102005,0.39081433415412903,0.3103833794593811,0.41111594438552856,0.43266451358795166,0.6577680706977844,0.24591213464736938
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.24622295796871185,0.26237669587135315,0.23667465150356293,0.338716596364975,0.23916715383529663
group,0.2114069163799286,0.23503069579601288,0.25542253255844116,0.26329079270362854,0.18869154155254364,0.34812024235725403,0.3034582734107971,0.13827809691429138
of,0.33290785551071167,0.2285657674074173,1.0,0.23179760575294495,0.26150479912757874,0.2600511312484741,0.3802283704280853,0.1826142966747284
common,0.19989867508411407,0.34846702218055725,0.2949881851673126,0.23036974668502808,0.23032814264297485,0.38012561202049255,0.3370055556297302,0.20434872806072235
flagellated,0.20418716967105865,0.31631505489349365,0.25554975867271423,0.6736775636672974,0.2624925374984741,0.7203661203384399,0.3887976408004761,0.14124587178230286
protists,0.2744068503379822,0.29975372552871704,0.2637709975242615,0.6909186244010925,0.3009251654148102,0.7519447207450867,0.35966652631759644,0.2308621108531952
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.3177454173564911,0.44533252716064453,0.34377843141555786,0.6182622313499451,0.32716336846351624
contain,0.1832355558872223,0.2706027626991272,0.30574339628219604,0.3972540497779846,0.31365397572517395,0.42758896946907043,0.49726441502571106,0.18853069841861725
chloroplasts,0.2524593770503998,0.25487130880355835,0.23179760575294495,0.9999999403953552,0.2621478736400604,0.6786432862281799,0.29091566801071167,0.13049766421318054
derived,0.20143714547157288,0.2652199864387512,0.28474852442741394,0.27001258730888367,0.13417978584766388,0.31527385115623474,0.20085886120796204,0.1241099163889885
from,0.2737620174884796,0.1906990259885788,0.4249346852302551,0.21740731596946716,0.20424067974090576,0.21371963620185852,0.30702701210975647,0.19969791173934937
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.24622295796871185,0.26237669587135315,0.23667465150356293,0.338716596364975,0.23916715383529663
green,0.16762696206569672,0.15850861370563507,0.2225196659564972,0.32718849182128906,0.15925562381744385,0.2956790030002594,0.21818293631076813,0.11409882456064224
alga,0.12795694172382355,0.20433013141155243,0.15750092267990112,0.6178844571113586,0.25086095929145813,0.5931171178817749,0.26862144470214844,0.15664592385292053
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.23868323862552643,0.3613996207714081,0.2628285586833954,0.41614407300949097,0.4130953550338745
