,what,is,a,cairns,replication,intermediate,?
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.2224820852279663,0.23776191473007202,0.2431362122297287,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.20943382382392883,0.30478328466415405,0.31626471877098083,0.22068053483963013
d-loop,0.2359691560268402,0.165884867310524,0.2449972927570343,0.21482686698436737,0.18134717643260956,0.1308637410402298,0.23209285736083984
moves,0.21504245698451996,0.2820238769054413,0.27945461869239807,0.09185849130153656,0.1941591203212738,0.22868876159191132,0.22897186875343323
through,0.23167094588279724,0.27805060148239136,0.3399752974510193,0.0728527382016182,0.23865193128585815,0.2327466607093811,0.16913433372974396
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.20943382382392883,0.30478328466415405,0.31626471877098083,0.22068053483963013
circular,0.20507359504699707,0.21153220534324646,0.2660183012485504,0.223667174577713,0.30404627323150635,0.2988811433315277,0.11291391402482986
dna,0.24220526218414307,0.15626907348632812,0.2164907455444336,0.2539603114128113,0.567418098449707,0.3405646085739136,0.1548636108636856
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.29021018743515015,0.2528131306171417,0.2561970055103302,0.31091248989105225
it,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.1590345948934555,0.2540375292301178,0.2206052988767624,0.25732165575027466
adopts,0.1593019664287567,0.24255378544330597,0.2587365210056305,0.10966840386390686,0.14121711254119873,0.11471868306398392,0.1470593363046646
a,0.3320399522781372,0.658733606338501,1.0,0.17813770473003387,0.31485244631767273,0.287841260433197,0.23916715383529663
theta,0.20679982006549835,0.2487933486700058,0.29466089606285095,0.1610320806503296,0.2133089154958725,0.2425285428762436,0.17596326768398285
intermediary,0.18430466949939728,0.27427634596824646,0.3317669630050659,0.148026704788208,0.4593140482902527,0.8509791493415833,0.1413000077009201
form,0.15868011116981506,0.3218395411968231,0.3088195323944092,0.15246683359146118,0.2943853735923767,0.29451853036880493,0.1463010311126709
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.29021018743515015,0.2528131306171417,0.2561970055103302,0.31091248989105225
also,0.42747777700424194,0.5012649297714233,0.5149940252304077,0.2641608715057373,0.2833130657672882,0.26010510325431824,0.21848613023757935
known,0.20381177961826324,0.41921812295913696,0.30882248282432556,0.1606139987707138,0.2176634967327118,0.23817840218544006,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.2224820852279663,0.23776191473007202,0.2431362122297287,0.27043893933296204
a,0.3320399522781372,0.658733606338501,1.0,0.17813770473003387,0.31485244631767273,0.287841260433197,0.23916715383529663
cairns,0.17013345658779144,0.22302086651325226,0.17813770473003387,1.0000001192092896,0.1496271789073944,0.14780040085315704,0.09319575130939484
replication,0.2642822563648224,0.24308517575263977,0.31485244631767273,0.1496271789073944,1.0,0.4150407910346985,0.1812686026096344
intermediate,0.18540938198566437,0.24033690989017487,0.287841260433197,0.14780040085315704,0.4150407910346985,1.0,0.11814447492361069
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.29021018743515015,0.2528131306171417,0.2561970055103302,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.36307528614997864,0.20219695568084717,0.26197293400764465,0.20544172823429108
completes,0.2138545960187912,0.25528210401535034,0.27751031517982483,0.12418979406356812,0.2700296640396118,0.25206270813941956,0.034475307911634445
replication,0.2642822563648224,0.24308517575263977,0.31485244631767273,0.1496271789073944,1.0,0.4150407910346985,0.1812686026096344
with,0.2464839518070221,0.3250955045223236,0.3783375024795532,0.16355031728744507,0.20028594136238098,0.2877047657966614,0.2433311939239502
a,0.3320399522781372,0.658733606338501,1.0,0.17813770473003387,0.31485244631767273,0.287841260433197,0.23916715383529663
rolling,0.20413736999034882,0.1495654135942459,0.2540145814418793,0.1974853277206421,0.1579856276512146,0.17623130977153778,0.1866474598646164
circle,0.13595280051231384,0.18955408036708832,0.18641255795955658,0.14778777956962585,0.14469760656356812,0.1754249781370163,0.08528484404087067
mechanism,0.2635997533798218,0.21533295512199402,0.2361949384212494,0.13183051347732544,0.4895438551902771,0.32219329476356506,0.1732848435640335
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.24270285665988922,0.25125551223754883,0.23192375898361206,0.4130953550338745
