,when,do,chloroplasts,spread,out,flat,?
in,0.4431333839893341,0.23402775824069977,0.21141497790813446,0.24312569200992584,0.3576207756996155,0.21475638449192047,0.20430970191955566
low-light,0.3087675869464874,0.2600497603416443,0.3140721917152405,0.20900185406208038,0.25586605072021484,0.22099393606185913,0.27189359068870544
conditions,0.3023563623428345,0.22028277814388275,0.3258136510848999,0.1909928023815155,0.24704548716545105,0.16152703762054443,0.17021824419498444
",",0.36674630641937256,0.3283645510673523,0.20794041454792023,0.24950742721557617,0.3161109685897827,0.1897800713777542,0.31091248989105225
they,0.5090266466140747,0.4667694866657257,0.37369829416275024,0.2558451294898987,0.39875903725624084,0.23227474093437195,0.2753053903579712
will,0.42625120282173157,0.4303531050682068,0.24863336980342865,0.15106353163719177,0.2908986806869507,0.17830021679401398,0.35046905279159546
spread,0.22687478363513947,0.20397695899009705,0.2135464996099472,1.0,0.298315167427063,0.18293781578540802,0.16482828557491302
out,0.45263928174972534,0.30558764934539795,0.21616721153259277,0.298315167427063,1.0,0.19771303236484528,0.22020699083805084
in,0.4431333839893341,0.23402775824069977,0.21141497790813446,0.24312569200992584,0.3576207756996155,0.21475638449192047,0.20430970191955566
a,0.44397395849227905,0.26237669587135315,0.24622295796871185,0.17979469895362854,0.34264278411865234,0.2755700945854187,0.23916715383529663
sheet—maximizing,0.33898505568504333,0.2624722123146057,0.34458327293395996,0.25898146629333496,0.2802847921848297,0.25499626994132996,0.1551402062177658
the,0.5091903209686279,0.30239659547805786,0.23062430322170258,0.28994160890579224,0.39404502511024475,0.23906926810741425,0.22068053483963013
surface,0.24400591850280762,0.17361098527908325,0.4169697165489197,0.20770199596881866,0.2817172408103943,0.43292236328125,0.14613434672355652
area,0.29334506392478943,0.19017988443374634,0.21614763140678406,0.27566030621528625,0.21545633673667908,0.27001845836639404,0.12640461325645447
to,0.5423505902290344,0.38876664638519287,0.23370109498500824,0.2748686373233795,0.42386990785598755,0.20487219095230103,0.29463258385658264
absorb,0.28053542971611023,0.2881942093372345,0.5150272846221924,0.27547958493232727,0.28356829285621643,0.16562512516975403,0.18596899509429932
light,0.24681223928928375,0.16024693846702576,0.35485613346099854,0.16632679104804993,0.22921791672706604,0.17434152960777283,0.17429810762405396
.,0.475719153881073,0.3613996207714081,0.23868323862552643,0.2690257728099823,0.34234723448753357,0.2483377456665039,0.4130953550338745
,when,do,chloroplasts,spread,out,flat,?
the,0.5091903209686279,0.30239659547805786,0.23062430322170258,0.28994160890579224,0.39404502511024475,0.23906926810741425,0.22068053483963013
chloroplasts,0.2671385407447815,0.2621478736400604,0.9999999403953552,0.2135464996099472,0.21616721153259277,0.21834753453731537,0.13049766421318054
of,0.3757161796092987,0.26150479912757874,0.23179760575294495,0.2895529866218567,0.34176841378211975,0.25367632508277893,0.1826142966747284
plant,0.22998343408107758,0.19011136889457703,0.5019698739051819,0.1947988122701645,0.20144625008106232,0.16437648236751556,0.16613075137138367
and,0.4716290831565857,0.276123583316803,0.21511349081993103,0.2815358638763428,0.3881998062133789,0.23770488798618317,0.20544172823429108
algal,0.22602741420269012,0.28390660881996155,0.5980126261711121,0.22560083866119385,0.2655893564224243,0.18918831646442413,0.18147486448287964
cells,0.2794494032859802,0.2676107585430145,0.6158713102340698,0.2199133187532425,0.2107970416545868,0.14971278607845306,0.1898086667060852
can,0.39191514253616333,0.45775556564331055,0.29016172885894775,0.2838987112045288,0.33329886198043823,0.22340942919254303,0.3226337134838104
orient,0.12334860861301422,0.13747458159923553,0.07722120732069016,0.1733303964138031,0.06539487838745117,0.18717347085475922,0.11546461284160614
themselves,0.26097869873046875,0.3851018249988556,0.3108604848384857,0.30785447359085083,0.2963913679122925,0.1218961775302887,0.20170879364013672
to,0.5423505902290344,0.38876664638519287,0.23370109498500824,0.2748686373233795,0.42386990785598755,0.20487219095230103,0.29463258385658264
best,0.15734568238258362,0.23113809525966644,0.14771093428134918,0.08275911211967468,0.25230830907821655,0.09498818218708038,0.2799045741558075
suit,0.2107996791601181,0.1477404683828354,0.1721075177192688,0.15701201558113098,0.2200530618429184,0.13755972683429718,0.1362915337085724
the,0.5091903209686279,0.30239659547805786,0.23062430322170258,0.28994160890579224,0.39404502511024475,0.23906926810741425,0.22068053483963013
available,0.1828819364309311,0.2372470647096634,0.24464502930641174,0.20950628817081451,0.1944160759449005,0.18901944160461426,0.2501629889011383
light,0.24681223928928375,0.16024693846702576,0.35485613346099854,0.16632679104804993,0.22921791672706604,0.17434152960777283,0.17429810762405396
.,0.475719153881073,0.3613996207714081,0.23868323862552643,0.2690257728099823,0.34234723448753357,0.2483377456665039,0.4130953550338745
