,what,happens,to,reactive,oxygen,species,signals,since,they,do,n't,leave,the,chloroplast,?
as,0.31749409437179565,0.1480354368686676,0.42092081904411316,0.22025346755981445,0.16691245138645172,0.2342512160539627,0.18943847715854645,0.36245352029800415,0.3294360637664795,0.38329678773880005,-0.08284513652324677,0.3004496395587921,0.48381632566452026,0.2268141210079193,0.27043893933296204
cellular,0.17455364763736725,0.1923840045928955,0.16043607890605927,0.34929823875427246,0.41241124272346497,0.29429951310157776,0.31714683771133423,0.15247933566570282,0.2525489032268524,0.24286872148513794,0.047563329339027405,0.04739852622151375,0.20089124143123627,0.6030888557434082,0.16428864002227783
signals,0.2608519196510315,0.3268488645553589,0.28668031096458435,0.2888939082622528,0.31981784105300903,0.24898652732372284,0.9999999403953552,0.1634993851184845,0.28183192014694214,0.2347153276205063,-0.08044659346342087,0.14081434905529022,0.28817644715309143,0.3350883722305298,0.09948804974555969
",",0.3087472915649414,0.24968470633029938,0.44245919585227966,0.2156391739845276,0.21812842786312103,0.2223871648311615,0.18197466433048248,0.3991432189941406,0.390799880027771,0.3283645510673523,0.11016341298818588,0.2779998779296875,0.4933079481124878,0.20078974962234497,0.31091248989105225
reactive,0.26621317863464355,0.37370309233665466,0.23919129371643066,0.9999999403953552,0.516227126121521,0.25892287492752075,0.2888939082622528,0.26431888341903687,0.29653796553611755,0.27949246764183044,0.039796944707632065,0.18338459730148315,0.16592693328857422,0.5096955895423889,0.20790518820285797
oxygen,0.16781960427761078,0.3144189715385437,0.24193501472473145,0.516227126121521,0.9999999403953552,0.29576364159584045,0.31981784105300903,0.21690857410430908,0.2903599143028259,0.22088919579982758,0.020351029932498932,0.14380726218223572,0.20428593456745148,0.531221330165863,0.16786395013332367
species,0.14617158472537994,0.200132355093956,0.2193736732006073,0.25892287492752075,0.29576364159584045,0.9999999403953552,0.24898652732372284,0.1462348848581314,0.3024079203605652,0.20613440871238708,-0.0424041785299778,0.10371275246143341,0.2522439956665039,0.41470786929130554,0.1957087516784668
are,0.29724663496017456,0.39070773124694824,0.3504326641559601,0.2855731248855591,0.24342744052410126,0.3297041952610016,0.24888350069522858,0.30560651421546936,0.610666811466217,0.41111594438552856,-0.1517762839794159,0.19606901705265045,0.40399202704429626,0.26561424136161804,0.24591213464736938
unstable,0.21720536053180695,0.32404401898384094,0.2631596326828003,0.5702921152114868,0.41103145480155945,0.18587030470371246,0.17289131879806519,0.2591235637664795,0.2631809711456299,0.2129363864660263,-0.04202543571591377,0.18749229609966278,0.14599084854125977,0.3261496424674988,0.12142787873744965
molecules,0.2143162339925766,0.30367720127105713,0.2749134600162506,0.5106874108314514,0.5126039981842041,0.32983165979385376,0.40054887533187866,0.14822088181972504,0.3393418490886688,0.19337092339992523,-0.03778471425175667,0.126388281583786,0.2374771386384964,0.617215096950531,0.17409995198249817
