,what,is,necessary,for,chloroplasts,to,replicate,?
light,0.22953972220420837,0.2457275241613388,0.21200618147850037,0.21351271867752075,0.35485613346099854,0.22474321722984314,0.20520038902759552,0.17429810762405396
has,0.20338068902492523,0.5668748617172241,0.19843889772891998,0.450642853975296,0.1872786581516266,0.3619994819164276,0.18678897619247437,0.15994466841220856
been,0.2567804455757141,0.39566612243652344,0.2996734082698822,0.39068686962127686,0.24714602530002594,0.34945759177207947,0.2852519154548645,0.24354910850524902
shown,0.2601207196712494,0.2509501576423645,0.2855871915817261,0.28684258460998535,0.18514220416545868,0.23958280682563782,0.26397448778152466,0.2433658242225647
to,0.455847829580307,0.42745086550712585,0.40437278151512146,0.4451248347759247,0.23370109498500824,1.0,0.3117429316043854,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.4564245939254761,0.3801851272583008,0.2777445316314697,0.4972836375236511,0.3715682923793793,0.3324260413646698
a,0.3320399522781372,0.658733606338501,0.2920435667037964,0.44038116931915283,0.24622295796871185,0.45503583550453186,0.26054665446281433,0.23916715383529663
requirement,0.3455283045768738,0.2691333293914795,0.5735034942626953,0.3727163076400757,0.23016563057899475,0.339241087436676,0.2482013702392578,0.3024540841579437
for,0.3017193675041199,0.43268078565597534,0.39725369215011597,0.9999999403953552,0.22036349773406982,0.4451248347759247,0.236059308052063,0.264628142118454
chloroplast,0.23505516350269318,0.20798198878765106,0.25603964924812317,0.20160506665706635,0.9777651429176331,0.22531428933143616,0.4450320601463318,0.12532055377960205
division,0.19144181907176971,0.20176531374454498,0.16534925997257233,0.20737119019031525,0.21311187744140625,0.20332986116409302,0.2228190153837204,0.08900629729032516
.,0.3567904531955719,0.4569662809371948,0.26437801122665405,0.4726039469242096,0.23868323862552643,0.4645031690597534,0.216623917222023,0.4130953550338745
