,helper,and,regulatory,t,cells,can,only,recognize,antigens,coupled,to,what,kind,of,molecules,?
killer,0.20686565339565277,0.24906691908836365,0.157030388712883,0.17635615170001984,0.2414173036813736,0.1846507489681244,0.17427226901054382,0.1739816665649414,0.22744683921337128,0.09960360080003738,0.18099956214427948,0.1868809163570404,0.17243057489395142,0.18559542298316956,0.14594940841197968,0.13010363280773163
t,0.21132126450538635,0.25205641984939575,0.19706255197525024,0.9999999403953552,0.25527921319007874,0.39557120203971863,0.3248940706253052,0.1884491890668869,0.25939205288887024,0.17376185953617096,0.30417174100875854,0.37454068660736084,0.24463781714439392,0.14617829024791718,0.22650130093097687,0.4954066574573517
cells,0.2926276922225952,0.24033623933792114,0.4081142246723175,0.25527921319007874,1.0,0.32483595609664917,0.2781037986278534,0.21322911977767944,0.5661771297454834,0.2778763473033905,0.26320719718933105,0.1758001297712326,0.24291619658470154,0.21305565536022186,0.5185227394104004,0.1898086667060852
only,0.2017444372177124,0.4542345404624939,0.27708932757377625,0.3248940706253052,0.2781037986278534,0.43433451652526855,1.0,0.31464511156082153,0.2486109584569931,0.29186564683914185,0.5096819996833801,0.41415658593177795,0.2942347824573517,0.49632513523101807,0.24020810425281525,0.2767370045185089
recognize,0.25528377294540405,0.27655500173568726,0.2651698589324951,0.1884491890668869,0.21322911977767944,0.20716185867786407,0.31464511156082153,1.0,0.30095183849334717,0.053469300270080566,0.34952905774116516,0.32970860600471497,0.16970138251781464,0.34210383892059326,0.17727383971214294,0.24790367484092712
antigens,0.2807075083255768,0.23637235164642334,0.4542815387248993,0.25939205288887024,0.5661771297454834,0.36901190876960754,0.2486109584569931,0.30095183849334717,0.9999999403953552,0.29690316319465637,0.2549254596233368,0.1918221414089203,0.20967768132686615,0.2752571105957031,0.5595588684082031,0.21072189509868622
coupled,0.1727629005908966,0.22727926075458527,0.312395304441452,0.17376185953617096,0.2778763473033905,0.29024505615234375,0.29186564683914185,0.053469300270080566,0.29690316319465637,1.0,0.23126693069934845,0.20149748027324677,0.2698039412498474,0.1870793104171753,0.3622039556503296,0.22709330916404724
to,0.3275086283683777,0.48971283435821533,0.2888711392879486,0.30417174100875854,0.26320719718933105,0.4979398250579834,0.5096819996833801,0.34952905774116516,0.2549254596233368,0.23126693069934845,1.0,0.455847829580307,0.28460726141929626,0.41548454761505127,0.2749134600162506,0.29463258385658264
class,0.19910883903503418,0.20710228383541107,0.19762945175170898,0.16995130479335785,0.17829304933547974,0.14804822206497192,0.1932608187198639,0.17170466482639313,0.11736816167831421,0.19901204109191895,0.18696844577789307,0.16880196332931519,0.2142162173986435,0.19740594923496246,0.13537372648715973,0.12778934836387634
i,0.21992619335651398,0.31928038597106934,0.14768823981285095,0.5450838208198547,0.18248969316482544,0.2884296178817749,0.38789060711860657,0.2387659251689911,0.17652764916419983,0.22794118523597717,0.3140375316143036,0.4411132335662842,0.18014563620090485,0.25849398970603943,0.21020156145095825,0.4695145785808563
mhc,0.28902992606163025,0.25002509355545044,0.5217978358268738,0.2424878627061844,0.5492251515388489,0.41836073994636536,0.3410968780517578,0.307886004447937,0.6622920632362366,0.41307705640792847,0.285098671913147,0.30283498764038086,0.34658193588256836,0.2909306585788727,0.5917088985443115,0.21010775864124298
molecules,0.21690380573272705,0.24837805330753326,0.43026530742645264,0.22650130093097687,0.5185227394104004,0.376198410987854,0.24020810425281525,0.17727383971214294,0.5595588684082031,0.3622039556503296,0.2749134600162506,0.2143162339925766,0.21105678379535675,0.24428431689739227,0.9999999403953552,0.17409995198249817
",",0.22285740077495575,0.6633074283599854,0.22209395468235016,0.31002363562583923,0.20582014322280884,0.3139454126358032,0.4220978021621704,0.28637704253196716,0.21942685544490814,0.17853616178035736,0.44245919585227966,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.18639802932739258,0.31091248989105225
while,0.26042479276657104,0.45699796080589294,0.21007798612117767,0.24838989973068237,0.1804245561361313,0.27375856041908264,0.4882389008998871,0.23059479892253876,0.17660222947597504,0.28915348649024963,0.43899232149124146,0.35511791706085205,0.18236218392848969,0.3366928696632385,0.21338650584220886,0.21076419949531555
helper,1.0,0.2639409005641937,0.25772660970687866,0.21132126450538635,0.2926276922225952,0.2875185012817383,0.2017444372177124,0.25528377294540405,0.2807075083255768,0.1727629005908966,0.3275086283683777,0.24017302691936493,0.24061019718647003,0.1962171345949173,0.21690380573272705,0.2250194549560547
t,0.21132126450538635,0.25205641984939575,0.19706255197525024,0.9999999403953552,0.25527921319007874,0.39557120203971863,0.3248940706253052,0.1884491890668869,0.25939205288887024,0.17376185953617096,0.30417174100875854,0.37454068660736084,0.24463781714439392,0.14617829024791718,0.22650130093097687,0.4954066574573517
cells,0.2926276922225952,0.24033623933792114,0.4081142246723175,0.25527921319007874,1.0,0.32483595609664917,0.2781037986278534,0.21322911977767944,0.5661771297454834,0.2778763473033905,0.26320719718933105,0.1758001297712326,0.24291619658470154,0.21305565536022186,0.5185227394104004,0.1898086667060852
and,0.2639409005641937,1.0,0.24779881536960602,0.25205641984939575,0.24033623933792114,0.3675691485404968,0.4542345404624939,0.27655500173568726,0.23637235164642334,0.22727926075458527,0.48971283435821533,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.24837805330753326,0.20544172823429108
regulatory,0.25772660970687866,0.24779881536960602,0.9999998807907104,0.19706255197525024,0.4081142246723175,0.2825477123260498,0.27708932757377625,0.2651698589324951,0.4542815387248993,0.312395304441452,0.2888711392879486,0.22797027230262756,0.28215721249580383,0.2973358929157257,0.43026530742645264,0.13720278441905975
t,0.21132126450538635,0.25205641984939575,0.19706255197525024,0.9999999403953552,0.25527921319007874,0.39557120203971863,0.3248940706253052,0.1884491890668869,0.25939205288887024,0.17376185953617096,0.30417174100875854,0.37454068660736084,0.24463781714439392,0.14617829024791718,0.22650130093097687,0.4954066574573517
cells,0.2926276922225952,0.24033623933792114,0.4081142246723175,0.25527921319007874,1.0,0.32483595609664917,0.2781037986278534,0.21322911977767944,0.5661771297454834,0.2778763473033905,0.26320719718933105,0.1758001297712326,0.24291619658470154,0.21305565536022186,0.5185227394104004,0.1898086667060852
