,when,an,activated,killer,t,cell,finds,cells,where,the,mhc,1,receptor,has,specific,antigens,",",it,releases,cytotoxins,such,as,what,?
when,0.9999999403953552,0.33026179671287537,0.3055132329463959,0.23420095443725586,0.2666409909725189,0.24251431226730347,0.33359822630882263,0.2794494032859802,0.5747735500335693,0.5091903209686279,0.25877949595451355,-0.2683585286140442,0.23153409361839294,0.34538573026657104,0.2782887816429138,0.25631749629974365,0.36674630641937256,0.4775012135505676,0.3042655289173126,0.2654043734073639,0.27679547667503357,0.4437963366508484,0.4700249433517456,0.22841128706932068
an,0.33026179671287537,1.0,0.22015094757080078,0.17663151025772095,0.18232253193855286,0.1520475447177887,0.16595372557640076,0.18335485458374023,0.24824833869934082,0.4207492768764496,0.23689129948616028,-0.15245160460472107,0.21795503795146942,0.2991473078727722,0.248777374625206,0.20482893288135529,0.3581022024154663,0.39472338557243347,0.18733663856983185,0.23014064133167267,0.2025681436061859,0.37218472361564636,0.2821882665157318,0.19793890416622162
activated,0.3055132329463959,0.22015094757080078,0.9999998807907104,0.2581169307231903,0.24296288192272186,0.4445767104625702,0.1914205104112625,0.4655350148677826,0.2641317546367645,0.2966001629829407,0.487613320350647,-0.2519955337047577,0.4410344362258911,0.1456681489944458,0.34709101915359497,0.44967660307884216,0.20695485174655914,0.20657286047935486,0.30862003564834595,0.5098126530647278,0.24386167526245117,0.2388773411512375,0.21431195735931396,0.23727594316005707
t,0.2666409909725189,0.18232253193855286,0.24296288192272186,0.17635615170001984,0.9999999403953552,0.24071010947227478,0.17846441268920898,0.25527921319007874,0.2561799883842468,0.2083338052034378,0.2424878627061844,-0.30518102645874023,0.22843964397907257,0.19509120285511017,0.27292370796203613,0.25939205288887024,0.31002363562583923,0.30958133935928345,0.1334243267774582,0.3352557420730591,0.2120000422000885,0.2405824363231659,0.37454068660736084,0.4954066574573517
cell,0.24251431226730347,0.1520475447177887,0.4445767104625702,0.1817251294851303,0.24071010947227478,1.0000001192092896,0.15577708184719086,0.7729857563972473,0.19755639135837555,0.15822452306747437,0.4599821865558624,-0.1863994002342224,0.47928139567375183,0.11774510145187378,0.2734946608543396,0.46047890186309814,0.17534321546554565,0.11782132834196091,0.20553508400917053,0.548183023929596,0.18073546886444092,0.25192439556121826,0.19222842156887054,0.2058541625738144
contacts,0.36229321360588074,0.2869028151035309,0.3001578152179718,0.1202123612165451,0.1357845962047577,0.22666318714618683,0.23424361646175385,0.23909331858158112,0.24872775375843048,0.26310673356056213,0.2733774781227112,-0.2119714915752411,0.27465754747390747,0.2870817482471466,0.24578627943992615,0.2817919850349426,0.2058478146791458,0.2792259752750397,0.32007110118865967,0.30133190751075745,0.2614535987377167,0.1992098093032837,0.25490984320640564,0.1579383909702301
such,0.27679547667503357,0.2025681436061859,0.24386167526245117,0.1525784730911255,0.2120000422000885,0.18073546886444092,0.2191516011953354,0.19361209869384766,0.3198639750480652,0.3575236201286316,0.29484277963638306,-0.23054321110248566,0.25941476225852966,0.26101309061050415,0.36387842893600464,0.2670407295227051,0.39626169204711914,0.28879642486572266,0.2527334988117218,0.2669088840484619,1.0,0.6207084655761719,0.23989605903625488,0.17851735651493073
cells,0.2794494032859802,0.18335485458374023,0.4655350148677826,0.2414173036813736,0.25527921319007874,0.7729857563972473,0.18905270099639893,1.0,0.19898493587970734,0.19095487892627716,0.5492251515388489,-0.2000764012336731,0.5432859659194946,0.13010719418525696,0.301485151052475,0.5661771297454834,0.20582014322280884,0.1893734186887741,0.27796608209609985,0.6707282066345215,0.19361209869384766,0.2328435331583023,0.1758001297712326,0.1898086667060852
",",0.36674630641937256,0.3581022024154663,0.20695485174655914,0.26255282759666443,0.31002363562583923,0.17534321546554565,0.23036319017410278,0.20582014322280884,0.3149496018886566,0.4933079481124878,0.21124885976314545,-0.15742997825145721,0.14651238918304443,0.3734780251979828,0.24305859208106995,0.21942685544490814,1.0000001192092896,0.48329564929008484,0.24796335399150848,0.25507980585098267,0.39626169204711914,0.48816442489624023,0.3087472915649414,0.31091248989105225
it,0.4775012135505676,0.39472338557243347,0.20657286047935486,0.204580619931221,0.30958133935928345,0.11782132834196091,0.194087952375412,0.1893734186887741,0.36972272396087646,0.6251175999641418,0.2814372479915619,-0.14533983170986176,0.2485649138689041,0.41962623596191406,0.29294973611831665,0.1952282041311264,0.48329564929008484,0.9999999403953552,0.2997991144657135,0.2761479318141937,0.28879642486572266,0.4461488723754883,0.45803478360176086,0.25732165575027466
releases,0.3042655289173126,0.18733663856983185,0.30862003564834595,0.2019186019897461,0.1334243267774582,0.20553508400917053,0.21316680312156677,0.27796608209609985,0.19266347587108612,0.3003343343734741,0.27728933095932007,-0.23294119536876678,0.3162490725517273,0.23370780050754547,0.23653008043766022,0.26081112027168274,0.24796335399150848,0.2997991144657135,1.0,0.3453443944454193,0.2527334988117218,0.2757965624332428,0.1929820477962494,0.12452229112386703
cytotoxins,0.2654043734073639,0.23014064133167267,0.5098126530647278,0.3227030336856842,0.3352557420730591,0.548183023929596,0.24912095069885254,0.6707282066345215,0.20628556609153748,0.24526700377464294,0.6659428477287292,-0.25731468200683594,0.5760467052459717,0.17511923611164093,0.3958157002925873,0.6875205039978027,0.25507980585098267,0.2761479318141937,0.3453443944454193,1.0000001192092896,0.2669088840484619,0.2274884432554245,0.26939529180526733,0.2534646987915039
",",0.36674630641937256,0.3581022024154663,0.20695485174655914,0.26255282759666443,0.31002363562583923,0.17534321546554565,0.23036319017410278,0.20582014322280884,0.3149496018886566,0.4933079481124878,0.21124885976314545,-0.15742997825145721,0.14651238918304443,0.3734780251979828,0.24305859208106995,0.21942685544490814,1.0000001192092896,0.48329564929008484,0.24796335399150848,0.25507980585098267,0.39626169204711914,0.48816442489624023,0.3087472915649414,0.31091248989105225
such,0.27679547667503357,0.2025681436061859,0.24386167526245117,0.1525784730911255,0.2120000422000885,0.18073546886444092,0.2191516011953354,0.19361209869384766,0.3198639750480652,0.3575236201286316,0.29484277963638306,-0.23054321110248566,0.25941476225852966,0.26101309061050415,0.36387842893600464,0.2670407295227051,0.39626169204711914,0.28879642486572266,0.2527334988117218,0.2669088840484619,1.0,0.6207084655761719,0.23989605903625488,0.17851735651493073
as,0.4437963366508484,0.37218472361564636,0.2388773411512375,0.19462208449840546,0.2405824363231659,0.25192439556121826,0.26693159341812134,0.2328435331583023,0.35409465432167053,0.48381632566452026,0.2448122501373291,-0.2728762626647949,0.24416232109069824,0.351646363735199,0.25336480140686035,0.20490676164627075,0.48816442489624023,0.4461488723754883,0.2757965624332428,0.2274884432554245,0.6207084655761719,1.0,0.31749409437179565,0.27043893933296204
perforin,0.21478936076164246,0.21013595163822174,0.14107652008533478,0.16230612993240356,0.10234230756759644,0.07128360867500305,0.15655970573425293,0.12175480276346207,0.2636018395423889,0.2580336928367615,0.16932189464569092,-0.22872959077358246,0.17547215521335602,0.2144368439912796,0.14504235982894897,0.1971013844013214,0.3020001947879791,0.2145044058561325,0.2149604707956314,0.21210689842700958,0.15018746256828308,0.22915691137313843,0.17437690496444702,0.1230568215250969
",",0.36674630641937256,0.3581022024154663,0.20695485174655914,0.26255282759666443,0.31002363562583923,0.17534321546554565,0.23036319017410278,0.20582014322280884,0.3149496018886566,0.4933079481124878,0.21124885976314545,-0.15742997825145721,0.14651238918304443,0.3734780251979828,0.24305859208106995,0.21942685544490814,1.0000001192092896,0.48329564929008484,0.24796335399150848,0.25507980585098267,0.39626169204711914,0.48816442489624023,0.3087472915649414,0.31091248989105225
which,0.572554349899292,0.3611921966075897,0.34088554978370667,0.20698438584804535,0.21813765168190002,0.26335951685905457,0.21007582545280457,0.3000165820121765,0.5477990508079529,0.6521818041801453,0.44435256719589233,-0.1852463036775589,0.3266453146934509,0.4350704550743103,0.4594242572784424,0.33053261041641235,0.3658004403114319,0.616637647151947,0.32311317324638367,0.39696648716926575,0.406057745218277,0.41006597876548767,0.5261979103088379,0.25814583897590637
form,0.31953904032707214,0.1558980643749237,0.2200123816728592,0.15633344650268555,0.14274349808692932,0.22939668595790863,0.15520015358924866,0.26646116375923157,0.25177764892578125,0.29286009073257446,0.2927075922489166,-0.12375190854072571,0.18872672319412231,0.19877426326274872,0.20034272968769073,0.25377655029296875,0.21805599331855774,0.31451088190078735,0.1776493936777115,0.2525196969509125,0.2648303806781769,0.24710296094417572,0.15868011116981506,0.1463010311126709
pores,0.28470680117607117,0.16540370881557465,0.31481659412384033,0.14997494220733643,0.18470515310764313,0.4412789046764374,0.21729116141796112,0.5602123141288757,0.20227812230587006,0.26267150044441223,0.47207289934158325,-0.062062934041023254,0.4305114448070526,0.176967591047287,0.24308384954929352,0.4496721625328064,0.22981201112270355,0.24061353504657745,0.3182665705680847,0.5855486989021301,0.2030390352010727,0.16350920498371124,0.17902424931526184,0.1381843090057373
in,0.4431333839893341,0.2605783939361572,0.24304188787937164,0.155324324965477,0.1924382597208023,0.16478286683559418,0.19865089654922485,0.1711641103029251,0.5344807505607605,0.6662389636039734,0.25616973638534546,-0.10660158097743988,0.19595728814601898,0.4173259735107422,0.26078200340270996,0.18266505002975464,0.5201468467712402,0.5130809545516968,0.2132599651813507,0.21361015737056732,0.2704046070575714,0.3887844979763031,0.30808621644973755,0.20430970191955566
the,0.5091903209686279,0.4207492768764496,0.2966001629829407,0.20573623478412628,0.2083338052034378,0.15822452306747437,0.2711417078971863,0.19095487892627716,0.5003893971443176,1.0,0.32005053758621216,-0.1554475575685501,0.24925383925437927,0.4177538752555847,0.3501757085323334,0.2716159522533417,0.4933079481124878,0.6251175999641418,0.3003343343734741,0.24526700377464294,0.3575236201286316,0.48381632566452026,0.42745697498321533,0.22068053483963013
target,0.2709612548351288,0.1860780566930771,0.29014408588409424,0.19377411901950836,0.24194779992103577,0.2168091982603073,0.19199027121067047,0.23706677556037903,0.2446020543575287,0.25054478645324707,0.2803457975387573,-0.24971987307071686,0.2576659619808197,0.13680686056613922,0.3494641184806824,0.3096553683280945,0.19288919866085052,0.25045228004455566,0.1839047521352768,0.30053654313087463,0.1977919191122055,0.24524831771850586,0.22247901558876038,0.24974246323108673
cell,0.24251431226730347,0.1520475447177887,0.4445767104625702,0.1817251294851303,0.24071010947227478,1.0000001192092896,0.15577708184719086,0.7729857563972473,0.19755639135837555,0.15822452306747437,0.4599821865558624,-0.1863994002342224,0.47928139567375183,0.11774510145187378,0.2734946608543396,0.46047890186309814,0.17534321546554565,0.11782132834196091,0.20553508400917053,0.548183023929596,0.18073546886444092,0.25192439556121826,0.19222842156887054,0.2058541625738144
's,-0.03368149697780609,0.025255560874938965,-0.11922023445367813,-0.015104875899851322,0.06055903434753418,-0.07942157983779907,-0.025854656472802162,-0.1465568095445633,0.0007701900321990252,-0.01540423184633255,-0.014650334604084492,0.003928052727133036,-0.10170837491750717,-0.040683966130018234,-0.007234338205307722,-0.08588051795959473,-0.0016132977325469255,0.06608816236257553,-0.12868660688400269,-0.04016519710421562,0.05073437839746475,-0.05775856226682663,0.02692362666130066,-0.023395681753754616
plasma,0.24853193759918213,0.17637282609939575,0.2834998667240143,0.10578536242246628,0.18267343938350677,0.401061087846756,0.12929603457450867,0.43227848410606384,0.20712868869304657,0.2266968935728073,0.403370201587677,-0.1405874639749527,0.33005449175834656,0.15274760127067566,0.23812074959278107,0.4212135970592499,0.20552638173103333,0.20631946623325348,0.2572057247161865,0.5018002390861511,0.17136099934577942,0.15729652345180511,0.16513659060001373,0.1637999266386032
membrane,0.22545574605464935,0.17148612439632416,0.3860768973827362,0.14633598923683167,0.19435450434684753,0.6160592436790466,0.17469128966331482,0.616047739982605,0.18034356832504272,0.21814598143100739,0.5137493014335632,-0.11173774302005768,0.5916260480880737,0.2078862190246582,0.24939949810504913,0.49826517701148987,0.18095634877681732,0.20497499406337738,0.30289390683174133,0.6322317719459534,0.21692068874835968,0.18031951785087585,0.1647152304649353,0.18908235430717468
",",0.36674630641937256,0.3581022024154663,0.20695485174655914,0.26255282759666443,0.31002363562583923,0.17534321546554565,0.23036319017410278,0.20582014322280884,0.3149496018886566,0.4933079481124878,0.21124885976314545,-0.15742997825145721,0.14651238918304443,0.3734780251979828,0.24305859208106995,0.21942685544490814,1.0000001192092896,0.48329564929008484,0.24796335399150848,0.25507980585098267,0.39626169204711914,0.48816442489624023,0.3087472915649414,0.31091248989105225
allowing,0.3974039554595947,0.18381313979625702,0.3162338137626648,0.12972408533096313,0.20556610822677612,0.23266902565956116,0.14987769722938538,0.2480381280183792,0.3174920976161957,0.3440283536911011,0.29429465532302856,-0.29112708568573,0.19154763221740723,0.22938764095306396,0.26727738976478577,0.28083038330078125,0.22556225955486298,0.22149546444416046,0.1924944370985031,0.2487543672323227,0.30464091897010803,0.28820809721946716,0.21854478120803833,0.1434045135974884
