,what,cell,type,is,also,used,for,immune,response,in,most,types,of,invertebrate,life,?
the,0.42745697498321533,0.15822452306747437,0.21819381415843964,0.5823672413825989,0.6021018624305725,0.3718377649784088,0.4739971458911896,0.21364226937294006,0.28909924626350403,0.6662389636039734,0.47635307908058167,0.23509301245212555,0.733189046382904,0.25101181864738464,0.23528170585632324,0.22068053483963013
complement,0.2655338943004608,0.2811082899570465,0.29520922899246216,0.3472212851047516,0.2673376202583313,0.36981117725372314,0.33936941623687744,0.3349134624004364,0.2858979105949402,0.2742482125759125,0.2535400986671448,0.31585031747817993,0.30478957295417786,0.26773086190223694,0.15106670558452606,0.11208028346300125
system,0.23557309806346893,0.19477003812789917,0.24706636369228363,0.2282046526670456,0.25791773200035095,0.27983206510543823,0.2630598843097687,0.3962631821632385,0.2933112382888794,0.21978288888931274,0.1998981088399887,0.2489754855632782,0.25597915053367615,0.28018563985824585,0.17331111431121826,0.15556083619594574
and,0.31309178471565247,0.2013455629348755,0.16898801922798157,0.3859752118587494,0.5755972862243652,0.3150506615638733,0.5064792633056641,0.14400269091129303,0.21754570305347443,0.4954058527946472,0.4309377074241638,0.3014242649078369,0.5116966962814331,0.22460855543613434,0.26095253229141235,0.20544172823429108
phagocytic,0.2480984926223755,0.5378900170326233,0.26514044404029846,0.25372081995010376,0.30455151200294495,0.2531401216983795,0.23322272300720215,0.6021961569786072,0.32871949672698975,0.2397400587797165,0.27365145087242126,0.3399944305419922,0.22393812239170074,0.5054901242256165,0.21878619492053986,0.24065247178077698
cells,0.1758001297712326,0.7729857563972473,0.2162136286497116,0.1644774079322815,0.20753082633018494,0.23762042820453644,0.18419811129570007,0.5300963521003723,0.30744311213493347,0.1711641103029251,0.18630677461624146,0.30914390087127686,0.21305565536022186,0.4318547248840332,0.23045438528060913,0.1898086667060852
are,0.29724663496017456,0.19039002060890198,0.24155041575431824,0.5330929756164551,0.4565894305706024,0.3322218656539917,0.3895993232727051,0.23878547549247742,0.20697586238384247,0.3841303884983063,0.48698675632476807,0.4691450595855713,0.39081433415412903,0.30277833342552185,0.194062277674675,0.24591213464736938
also,0.42747777700424194,0.1868675798177719,0.26631516218185425,0.5012649297714233,1.0000001192092896,0.45273035764694214,0.5373267531394958,0.23907321691513062,0.2597503960132599,0.5073733329772949,0.5312551259994507,0.36062872409820557,0.4924938678741455,0.24772098660469055,0.18713383376598358,0.21848613023757935
used,0.27546408772468567,0.2123207300901413,0.30943769216537476,0.3288823366165161,0.45273035764694214,0.9999998807907104,0.4236139953136444,0.20730088651180267,0.1943998634815216,0.3090210556983948,0.306323766708374,0.386074036359787,0.3075267970561981,0.21788902580738068,0.15016493201255798,0.22430120408535004
by,0.2455483376979828,0.1892392784357071,0.15232881903648376,0.3899846076965332,0.3824189305305481,0.27705541253089905,0.3248702883720398,0.17260463535785675,0.2863168716430664,0.370934396982193,0.270847886800766,0.15044783055782318,0.3646814823150635,0.11345849931240082,0.18554949760437012,0.17966607213020325
most,0.3219912350177765,0.136276975274086,0.24228660762310028,0.41165053844451904,0.5312551259994507,0.306323766708374,0.3906237483024597,0.21448755264282227,0.1452987790107727,0.41416558623313904,1.0,0.3340487778186798,0.4178851246833801,0.21910494565963745,0.27878934144973755,0.2107497900724411
forms,0.16334041953086853,0.24506384134292603,0.3143154978752136,0.35419854521751404,0.3271316885948181,0.2931652367115021,0.2109229564666748,0.2505412995815277,0.17162036895751953,0.26377561688423157,0.2905651926994324,0.4727765917778015,0.33835989236831665,0.29004886746406555,0.28528743982315063,0.1196754202246666
of,0.33290785551071167,0.18332023918628693,0.18112817406654358,0.4854315221309662,0.4924938678741455,0.3075267970561981,0.4185989499092102,0.16620753705501556,0.21864040195941925,0.5696388483047485,0.4178851246833801,0.2447618544101715,1.0,0.28429311513900757,0.2788603901863098,0.1826142966747284
invertebrate,0.1984686702489853,0.3222704529762268,0.24793393909931183,0.2059837281703949,0.24772098660469055,0.21788902580738068,0.13837184011936188,0.37408170104026794,0.22636155784130096,0.23821565508842468,0.21910494565963745,0.26416465640068054,0.28429311513900757,0.9999999403953552,0.22701527178287506,0.19114018976688385
life,0.24693015217781067,0.2575260400772095,0.15995503962039948,0.2110576033592224,0.18713383376598358,0.15016493201255798,0.244698166847229,0.19984959065914154,0.11890760064125061,0.27054134011268616,0.27878934144973755,0.1329822838306427,0.2788603901863098,0.22701527178287506,1.0,0.21677987277507782
.,0.3567904531955719,0.2801848351955414,0.23195341229438782,0.4569662809371948,0.49166762828826904,0.33111312985420227,0.4726039469242096,0.18267881870269775,0.2878446877002716,0.5591574311256409,0.35404038429260254,0.2097296416759491,0.5352458953857422,0.2959435284137726,0.3029138445854187,0.4130953550338745
