,what,the,marginal,utility,of,wealth,per,income,per,person,do,as,that,person,becomes,richer,?
thus,0.30745524168014526,0.4036877751350403,0.28312331438064575,0.27717503905296326,0.3487406373023987,0.34692296385765076,0.15471011400222778,0.2135469764471054,0.15471011400222778,0.251115620136261,0.257389098405838,0.3594212234020233,0.4318928122520447,0.251115620136261,0.16189131140708923,0.27473410964012146,0.18769288063049316
",",0.3087472915649414,0.4933079481124878,0.20737498998641968,0.22275474667549133,0.4946078956127167,0.22482609748840332,0.26711323857307434,0.19703416526317596,0.26711323857307434,0.2255365252494812,0.3283645510673523,0.48816442489624023,0.4137537479400635,0.2255365252494812,0.24547576904296875,0.25877901911735535,0.31091248989105225
the,0.42745697498321533,1.0,0.30781733989715576,0.20175418257713318,0.733189046382904,0.24999672174453735,0.21691934764385223,0.23699946701526642,0.21691934764385223,0.3487054407596588,0.30239659547805786,0.48381632566452026,0.5473989248275757,0.3487054407596588,0.2601490020751953,0.27868446707725525,0.22068053483963013
marginal,0.2536638677120209,0.30781733989715576,0.9999998807907104,0.276702344417572,0.2691383361816406,0.3305085599422455,0.1799023449420929,0.3794001042842865,0.1799023449420929,0.21252594888210297,0.19097460806369781,0.2418603003025055,0.3237740099430084,0.21252594888210297,0.0498194582760334,0.3199681341648102,0.18376903235912323
utility,0.170489102602005,0.20175418257713318,0.276702344417572,1.0,0.2311905026435852,0.3066713213920593,0.16556952893733978,0.26749610900878906,0.16556952893733978,0.21764390170574188,0.17463324964046478,0.2827857732772827,0.2551223635673523,0.21764390170574188,-0.009179641492664814,0.16003797948360443,0.18713216483592987
of,0.33290785551071167,0.733189046382904,0.2691383361816406,0.2311905026435852,1.0,0.27235376834869385,0.17468707263469696,0.2581324577331543,0.17468707263469696,0.27674683928489685,0.26150479912757874,0.3886612355709076,0.41498205065727234,0.27674683928489685,0.29713478684425354,0.25306063890457153,0.1826142966747284
wealth,0.2415573000907898,0.24999672174453735,0.3305085599422455,0.3066713213920593,0.27235376834869385,0.9999998807907104,0.15969358384609222,0.46220239996910095,0.15969358384609222,0.242308109998703,0.07294061034917831,0.2313503623008728,0.256238728761673,0.242308109998703,0.11929372698068619,0.46874475479125977,0.1624586433172226
per,0.21384303271770477,0.21691934764385223,0.1799023449420929,0.16556952893733978,0.17468707263469696,0.15969358384609222,0.9999999403953552,0.3292527496814728,0.9999999403953552,0.19566212594509125,0.26983779668807983,0.24272821843624115,0.25184786319732666,0.19566212594509125,0.1220557689666748,0.1367931067943573,0.22323818504810333
person,0.41527870297431946,0.3487054407596588,0.21252594888210297,0.21764390170574188,0.27674683928489685,0.242308109998703,0.19566212594509125,0.2440342754125595,0.19566212594509125,0.9999999403953552,0.2984497845172882,0.18760068714618683,0.4460006356239319,0.9999999403953552,0.30795368552207947,0.22317075729370117,0.324093222618103
(,0.2411840260028839,0.33289089798927307,0.19008612632751465,0.20206235349178314,0.35032153129577637,0.13117057085037231,0.3121034801006317,0.1266181766986847,0.3121034801006317,0.20162400603294373,0.24216170608997345,0.32029855251312256,0.2264307141304016,0.20162400603294373,0.23200559616088867,0.09186800569295883,0.40561532974243164
``,0.008517155423760414,0.029072100296616554,0.09738630801439285,-0.06802716106176376,0.06780257821083069,0.03245234861969948,0.0852501168847084,0.05631798505783081,0.0852501168847084,0.0973467007279396,0.06628920882940292,0.03910288214683533,0.05285148695111275,0.0973467007279396,0.06728619337081909,0.0013697560643777251,0.0685480609536171
the,0.42745697498321533,1.0,0.30781733989715576,0.20175418257713318,0.733189046382904,0.24999672174453735,0.21691934764385223,0.23699946701526642,0.21691934764385223,0.3487054407596588,0.30239659547805786,0.48381632566452026,0.5473989248275757,0.3487054407596588,0.2601490020751953,0.27868446707725525,0.22068053483963013
additional,0.20172064006328583,0.2539002597332001,0.23365283012390137,0.26739558577537537,0.2518594264984131,0.12644299864768982,0.20157043635845184,0.1868000626564026,0.20157043635845184,0.15245100855827332,0.2308490127325058,0.3253166675567627,0.2874574661254883,0.15245100855827332,0.048754967749118805,0.11555220931768417,0.24309562146663666
dollar,0.18027359247207642,0.2596837878227234,0.23294855654239655,0.1356930136680603,0.1566329300403595,0.2833874225616455,0.1904151886701584,0.3733159303665161,0.1904151886701584,0.18490244448184967,0.11919136345386505,0.17578035593032837,0.23384758830070496,0.18490244448184967,0.1123582273721695,0.23461630940437317,0.17535142600536346
'',0.08143015950918198,0.041273195296525955,0.07801725715398788,0.020953195169568062,0.13035868108272552,0.0916694775223732,-0.0046136523596942425,-0.01438893098384142,-0.0046136523596942425,0.04217761754989624,-0.00043653504690155387,0.006628023460507393,0.007880004122853279,0.04217761754989624,-0.14044786989688873,0.06255778670310974,0.018684765323996544
),0.26259949803352356,0.3456730246543884,0.18559855222702026,0.18720023334026337,0.3680361211299896,0.13129688799381256,0.327212929725647,0.12669844925403595,0.327212929725647,0.2120949774980545,0.24460165202617645,0.32161882519721985,0.23478686809539795,0.2120949774980545,0.22604556381702423,0.1060851588845253,0.42300865054130554
decreases,0.23214028775691986,0.3310878574848175,0.33577215671539307,0.22241899371147156,0.2883327901363373,0.2093355506658554,0.2825806736946106,0.3018980026245117,0.2825806736946106,0.29037052392959595,0.21531930565834045,0.22426116466522217,0.29963645339012146,0.29037052392959595,0.2329363226890564,0.21310842037200928,0.09293979406356812
as,0.31749409437179565,0.48381632566452026,0.2418603003025055,0.2827857732772827,0.3886612355709076,0.2313503623008728,0.24272821843624115,0.1530616581439972,0.24272821843624115,0.18760068714618683,0.38329678773880005,1.0,0.4735107421875,0.18760068714618683,0.2409639060497284,0.26186174154281616,0.27043893933296204
