,drop,in,the,blood,levels,of,cortisol,and,epinephrine,results,in,increase,levels,of,what,hormones,?
first,0.1930287480354309,0.4127444326877594,0.49448907375335693,0.20242731273174286,0.15586259961128235,0.3536086082458496,0.19026172161102295,0.3167642652988434,0.11146170645952225,0.22950181365013123,0.4127444326877594,0.16477549076080322,0.15586259961128235,0.3536086082458496,0.28086137771606445,0.18565386533737183,0.18701928853988647
",",0.21217185258865356,0.5201468467712402,0.4933079481124878,0.21615765988826752,0.2284579873085022,0.4946078956127167,0.2084798812866211,0.6633074283599854,0.2093154489994049,0.17498864233493805,0.5201468467712402,0.20005576312541962,0.2284579873085022,0.4946078956127167,0.3087472915649414,0.20446665585041046,0.31091248989105225
during,0.15097300708293915,0.4627237319946289,0.4838213622570038,0.20767919719219208,0.2246372252702713,0.3869180977344513,0.25979673862457275,0.36462149024009705,0.18959785997867584,0.2752431631088257,0.4627237319946289,0.21474911272525787,0.2246372252702713,0.3869180977344513,0.24137552082538605,0.2575860023498535,0.1325719803571701
the,0.2759656608104706,0.6662389636039734,1.0,0.2815113961696625,0.286034494638443,0.733189046382904,0.2183942198753357,0.5171257257461548,0.23206225037574768,0.2863679826259613,0.6662389636039734,0.32049667835235596,0.286034494638443,0.733189046382904,0.42745697498321533,0.2688761353492737,0.22068053483963013
early,0.16775698959827423,0.34672921895980835,0.34442198276519775,0.1250973790884018,0.13282570242881775,0.30937549471855164,0.22537237405776978,0.29847630858421326,0.14139434695243835,0.1808239072561264,0.34672921895980835,0.24605605006217957,0.13282570242881775,0.30937549471855164,0.2454567849636078,0.20358873903751373,0.15272949635982513
slow-wave-sleep,0.33876073360443115,0.26064470410346985,0.2822953462600708,0.2683727443218231,0.30749577283859253,0.2088523954153061,0.3617214858531952,0.28756028413772583,0.4247731864452362,0.25418931245803833,0.26064470410346985,0.34326934814453125,0.30749577283859253,0.2088523954153061,0.3222695589065552,0.34707701206207275,0.23883263766765594
stage,0.18568576872348785,0.2011467069387436,0.22652170062065125,0.1510358303785324,0.1927647739648819,0.1389172226190567,0.25110772252082825,0.17654182016849518,0.20156919956207275,0.22113589942455292,0.2011467069387436,0.18180061876773834,0.1927647739648819,0.1389172226190567,0.15168409049510956,0.21606774628162384,0.14916576445102692
",",0.21217185258865356,0.5201468467712402,0.4933079481124878,0.21615765988826752,0.2284579873085022,0.4946078956127167,0.2084798812866211,0.6633074283599854,0.2093154489994049,0.17498864233493805,0.5201468467712402,0.20005576312541962,0.2284579873085022,0.4946078956127167,0.3087472915649414,0.20446665585041046,0.31091248989105225
a,0.26995548605918884,0.539380669593811,0.5829201340675354,0.23023681342601776,0.21465790271759033,0.5052502155303955,0.24974358081817627,0.3739250600337982,0.23199057579040527,0.2899290919303894,0.539380669593811,0.24428929388523102,0.21465790271759033,0.5052502155303955,0.3320399522781372,0.2068326324224472,0.23916715383529663
sudden,0.2875218987464905,0.21471910178661346,0.2832862138748169,0.2406410425901413,0.2843358814716339,0.2574480175971985,0.2051040679216385,0.2742398977279663,0.3300015330314636,0.25951483845710754,0.21471910178661346,0.4180881679058075,0.2843358814716339,0.2574480175971985,0.25381866097450256,0.22763346135616302,0.1871117502450943
drop,1.0,0.18230557441711426,0.2759656608104706,0.11871763318777084,0.30112940073013306,0.1734435260295868,0.16934245824813843,0.2385902851819992,0.23086601495742798,0.2430339753627777,0.18230557441711426,0.3424789309501648,0.30112940073013306,0.1734435260295868,0.2541179656982422,0.15680259466171265,0.19426988065242767
in,0.18230557441711426,1.0,0.6662389636039734,0.12106697261333466,0.2418597936630249,0.5696388483047485,0.2384364902973175,0.4954058527946472,0.19399647414684296,0.28880611062049866,1.0,0.25893163681030273,0.2418597936630249,0.5696388483047485,0.30808621644973755,0.2270275205373764,0.20430970191955566
blood,0.11871763318777084,0.12106697261333466,0.2815113961696625,1.0,0.2507101595401764,0.2294820100069046,0.3664367198944092,0.2636592388153076,0.5058141350746155,0.12961918115615845,0.12106697261333466,0.2679637670516968,0.2507101595401764,0.2294820100069046,0.15800324082374573,0.4254566729068756,0.156274676322937
levels,0.30112940073013306,0.2418597936630249,0.286034494638443,0.2507101595401764,0.9999998807907104,0.23668165504932404,0.32382193207740784,0.2956688106060028,0.3096219301223755,0.2593298554420471,0.2418597936630249,0.4056810140609741,0.9999998807907104,0.23668165504932404,0.21641245484352112,0.35050106048583984,0.1541307419538498
of,0.1734435260295868,0.5696388483047485,0.733189046382904,0.2294820100069046,0.23668165504932404,1.0,0.19070076942443848,0.5116966962814331,0.1811138242483139,0.19509612023830414,0.5696388483047485,0.3156060576438904,0.23668165504932404,1.0,0.33290785551071167,0.23877643048763275,0.1826142966747284
cortisol,0.16934245824813843,0.2384364902973175,0.2183942198753357,0.3664367198944092,0.32382193207740784,0.19070076942443848,1.0,0.23336899280548096,0.5871949195861816,0.2719714939594269,0.2384364902973175,0.29644641280174255,0.32382193207740784,0.19070076942443848,0.13438601791858673,0.6115235090255737,0.14294832944869995
",",0.21217185258865356,0.5201468467712402,0.4933079481124878,0.21615765988826752,0.2284579873085022,0.4946078956127167,0.2084798812866211,0.6633074283599854,0.2093154489994049,0.17498864233493805,0.5201468467712402,0.20005576312541962,0.2284579873085022,0.4946078956127167,0.3087472915649414,0.20446665585041046,0.31091248989105225
epinephrine,0.23086601495742798,0.19399647414684296,0.23206225037574768,0.5058141350746155,0.3096219301223755,0.1811138242483139,0.5871949195861816,0.20882470905780792,1.0,0.26708537340164185,0.19399647414684296,0.3294496536254883,0.3096219301223755,0.1811138242483139,0.26703888177871704,0.6015521883964539,0.2647092342376709
",",0.21217185258865356,0.5201468467712402,0.4933079481124878,0.21615765988826752,0.2284579873085022,0.4946078956127167,0.2084798812866211,0.6633074283599854,0.2093154489994049,0.17498864233493805,0.5201468467712402,0.20005576312541962,0.2284579873085022,0.4946078956127167,0.3087472915649414,0.20446665585041046,0.31091248989105225
and,0.2385902851819992,0.4954058527946472,0.5171257257461548,0.2636592388153076,0.2956688106060028,0.5116966962814331,0.23336899280548096,1.0,0.20882470905780792,0.21643486618995667,0.4954058527946472,0.2751924991607666,0.2956688106060028,0.5116966962814331,0.31309178471565247,0.28229668736457825,0.20544172823429108
norepinephrine,0.23251917958259583,0.20277170836925507,0.223713681101799,0.48979660868644714,0.32002851366996765,0.18644355237483978,0.6072069406509399,0.207319438457489,0.9663788676261902,0.26785850524902344,0.20277170836925507,0.3304351568222046,0.32002851366996765,0.18644355237483978,0.2559286952018738,0.6137984395027161,0.2745184600353241
induce,0.24787941575050354,0.15235298871994019,0.18897345662117004,0.24405676126480103,0.21772077679634094,0.21495813131332397,0.343292772769928,0.12238886952400208,0.4153662919998169,0.2787987291812897,0.15235298871994019,0.40816235542297363,0.21772077679634094,0.21495813131332397,0.18867458403110504,0.3673590123653412,0.13360798358917236
increased,0.296097993850708,0.244624063372612,0.3188653886318207,0.2573443353176117,0.38274598121643066,0.3371390700340271,0.2662678360939026,0.2943111062049866,0.21938279271125793,0.24458852410316467,0.244624063372612,0.8384779691696167,0.38274598121643066,0.3371390700340271,0.1599731743335724,0.2948361039161682,0.09587585180997849
blood,0.11871763318777084,0.12106697261333466,0.2815113961696625,1.0,0.2507101595401764,0.2294820100069046,0.3664367198944092,0.2636592388153076,0.5058141350746155,0.12961918115615845,0.12106697261333466,0.2679637670516968,0.2507101595401764,0.2294820100069046,0.15800324082374573,0.4254566729068756,0.156274676322937
levels,0.30112940073013306,0.2418597936630249,0.286034494638443,0.2507101595401764,0.9999998807907104,0.23668165504932404,0.32382193207740784,0.2956688106060028,0.3096219301223755,0.2593298554420471,0.2418597936630249,0.4056810140609741,0.9999998807907104,0.23668165504932404,0.21641245484352112,0.35050106048583984,0.1541307419538498
of,0.1734435260295868,0.5696388483047485,0.733189046382904,0.2294820100069046,0.23668165504932404,1.0,0.19070076942443848,0.5116966962814331,0.1811138242483139,0.19509612023830414,0.5696388483047485,0.3156060576438904,0.23668165504932404,1.0,0.33290785551071167,0.23877643048763275,0.1826142966747284
the,0.2759656608104706,0.6662389636039734,1.0,0.2815113961696625,0.286034494638443,0.733189046382904,0.2183942198753357,0.5171257257461548,0.23206225037574768,0.2863679826259613,0.6662389636039734,0.32049667835235596,0.286034494638443,0.733189046382904,0.42745697498321533,0.2688761353492737,0.22068053483963013
hormones,0.15680259466171265,0.2270275205373764,0.2688761353492737,0.4254566729068756,0.35050106048583984,0.23877643048763275,0.6115235090255737,0.28229668736457825,0.6015521883964539,0.24785374104976654,0.2270275205373764,0.33622097969055176,0.35050106048583984,0.23877643048763275,0.23283596336841583,1.0,0.17588594555854797
leptin,0.21489202976226807,0.230868861079216,0.23192091286182404,0.294407457113266,0.24141186475753784,0.2397753894329071,0.4289882481098175,0.2682296633720398,0.42610010504722595,0.2555812895298004,0.230868861079216,0.2992057204246521,0.24141186475753784,0.2397753894329071,0.2712832987308502,0.4667871296405792,0.16448387503623962
",",0.21217185258865356,0.5201468467712402,0.4933079481124878,0.21615765988826752,0.2284579873085022,0.4946078956127167,0.2084798812866211,0.6633074283599854,0.2093154489994049,0.17498864233493805,0.5201468467712402,0.20005576312541962,0.2284579873085022,0.4946078956127167,0.3087472915649414,0.20446665585041046,0.31091248989105225
pituitary,0.21414798498153687,0.22802025079727173,0.30440372228622437,0.4175913631916046,0.3691055476665497,0.2864236533641815,0.5663965940475464,0.2235395312309265,0.6490674614906311,0.2639317512512207,0.22802025079727173,0.3191768229007721,0.3691055476665497,0.2864236533641815,0.27319762110710144,0.6829588413238525,0.1803831309080124
growth,0.18791639804840088,0.2819603681564331,0.2912366986274719,0.1568944901227951,0.280769944190979,0.2679378092288971,0.3506104648113251,0.2731747627258301,0.25796282291412354,0.2525715231895447,0.2819603681564331,0.45214125514030457,0.280769944190979,0.2679378092288971,0.1739405393600464,0.40616151690483093,0.07547862827777863
hormone,0.17788270115852356,0.19431516528129578,0.22626186907291412,0.4199516773223877,0.32202833890914917,0.19605669379234314,0.5946941375732422,0.20842206478118896,0.6164210438728333,0.24810351431369781,0.19431516528129578,0.33746466040611267,0.32202833890914917,0.19605669379234314,0.21333132684230804,0.9439293146133423,0.1590825915336609
",",0.21217185258865356,0.5201468467712402,0.4933079481124878,0.21615765988826752,0.2284579873085022,0.4946078956127167,0.2084798812866211,0.6633074283599854,0.2093154489994049,0.17498864233493805,0.5201468467712402,0.20005576312541962,0.2284579873085022,0.4946078956127167,0.3087472915649414,0.20446665585041046,0.31091248989105225
and,0.2385902851819992,0.4954058527946472,0.5171257257461548,0.2636592388153076,0.2956688106060028,0.5116966962814331,0.23336899280548096,1.0,0.20882470905780792,0.21643486618995667,0.4954058527946472,0.2751924991607666,0.2956688106060028,0.5116966962814331,0.31309178471565247,0.28229668736457825,0.20544172823429108
prolactin,0.2039346545934677,0.19593463838100433,0.22276784479618073,0.35893747210502625,0.27155831456184387,0.21141716837882996,0.5759692788124084,0.20429150760173798,0.5647716522216797,0.3400179147720337,0.19593463838100433,0.34766608476638794,0.27155831456184387,0.21141716837882996,0.1935797780752182,0.6063260436058044,0.20859268307685852
.,0.2864284813404083,0.5591574311256409,0.5934505462646484,0.21786832809448242,0.24042059481143951,0.5352458953857422,0.27216029167175293,0.588965117931366,0.21747061610221863,0.2516312897205353,0.5591574311256409,0.24619564414024353,0.24042059481143951,0.5352458953857422,0.3567904531955719,0.2792101502418518,0.4130953550338745
