,the,immune,systems,of,bacteria,have,enzymes,that,protect,against,infection,by,what,kind,of,cells,?
even,0.37996912002563477,0.3015825152397156,0.23985810577869415,0.34735506772994995,0.298115611076355,0.5610647797584534,0.1944456249475479,0.5503504276275635,0.24691984057426453,0.23938430845737457,0.2866585850715637,0.2642922103404999,0.40872135758399963,0.32474246621131897,0.34735506772994995,0.25658532977104187,0.30082517862319946
simple,0.24738673865795135,0.19230106472969055,0.2389422059059143,0.23205730319023132,0.21700610220432281,0.41701075434684753,0.28867843747138977,0.4371768534183502,0.21640683710575104,0.13667292892932892,0.21465270221233368,0.18426847457885742,0.4218197166919708,0.35780051350593567,0.23205730319023132,0.22887927293777466,0.4614735543727875
unicellular,0.24511048197746277,0.4257271885871887,0.28519487380981445,0.27179986238479614,0.5674624443054199,0.37041983008384705,0.5569262504577637,0.3006252646446228,0.18419073522090912,0.10984667390584946,0.37764066457748413,0.16604138910770416,0.25102853775024414,0.29360392689704895,0.27179986238479614,0.6085595488548279,0.19283105432987213
organisms,0.22463196516036987,0.3922001123428345,0.3172817528247833,0.23870134353637695,0.6575207114219666,0.309126615524292,0.5790643692016602,0.2768743634223938,0.18883274495601654,0.1332431137561798,0.35641956329345703,0.19641327857971191,0.22214920818805695,0.30799558758735657,0.23870134353637695,0.5751051306724548,0.22621455788612366
such,0.3575236201286316,0.25108346343040466,0.28461766242980957,0.3209529519081116,0.21851390600204468,0.42997312545776367,0.24542951583862305,0.4479874074459076,0.26088154315948486,0.20227466523647308,0.18165385723114014,0.2736194431781769,0.23989605903625488,0.35786283016204834,0.3209529519081116,0.19361209869384766,0.17851735651493073
as,0.48381632566452026,0.17487213015556335,0.1958734095096588,0.3886612355709076,0.2039324790239334,0.37788212299346924,0.26827478408813477,0.4735107421875,0.2537829577922821,0.24545185267925262,0.14126063883304596,0.3815547823905945,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.2328435331583023,0.27043893933296204
bacteria,0.1839996725320816,0.41212543845176697,0.2171166092157364,0.17966590821743011,0.9999998807907104,0.27553918957710266,0.6097476482391357,0.2798275947570801,0.17715074121952057,0.14054761826992035,0.5760322213172913,0.22791919112205505,0.1863701492547989,0.2299574464559555,0.17966590821743011,0.5799401998519897,0.18786604702472687
possess,0.2654380798339844,0.32285916805267334,0.18271957337856293,0.27185752987861633,0.28698354959487915,0.43421053886413574,0.2831970453262329,0.34421324729919434,0.29033786058425903,0.23493508994579315,0.22588923573493958,0.14362363517284393,0.26773881912231445,0.21637782454490662,0.27185752987861633,0.30985718965530396,0.1285712569952011
a,0.5829201340675354,0.20466765761375427,0.23904047906398773,0.5052502155303955,0.19924654066562653,0.338716596364975,0.22553952038288116,0.47537946701049805,0.21272259950637817,0.2227657586336136,0.247476264834404,0.32094135880470276,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.2297232300043106,0.23916715383529663
rudimentary,0.22738124430179596,0.15518836677074432,0.17178305983543396,0.26150161027908325,0.21729107201099396,0.2809041738510132,0.3123878538608551,0.34146469831466675,0.09945989400148392,0.20286068320274353,0.1925858110189438,0.23607958853244781,0.2908661663532257,0.3171016573905945,0.26150161027908325,0.2546943128108978,0.18648070096969604
immune,0.21364226937294006,1.0,0.34945380687713623,0.16620753705501556,0.41212543845176697,0.2992585301399231,0.4561769664287567,0.30237793922424316,0.261508584022522,0.26737844944000244,0.5376827120780945,0.17260463535785675,0.2410416603088379,0.2694495916366577,0.16620753705501556,0.5300963521003723,0.16080476343631744
system,0.3233085572719574,0.3962631821632385,0.7890681028366089,0.25597915053367615,0.196626216173172,0.27033093571662903,0.2226933240890503,0.3088737428188324,0.167859748005867,0.1443454623222351,0.2549544870853424,0.23017624020576477,0.23557309806346893,0.22309651970863342,0.25597915053367615,0.29856014251708984,0.15556083619594574
",",0.4933079481124878,0.15102852880954742,0.22053997218608856,0.4946078956127167,0.2358950972557068,0.3541618287563324,0.20343410968780518,0.4137537479400635,0.22548046708106995,0.31168749928474426,0.24966196715831757,0.3680937886238098,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.20582014322280884,0.31091248989105225
in,0.6662389636039734,0.14682820439338684,0.21664761006832123,0.5696388483047485,0.1903567910194397,0.36843645572662354,0.2432398796081543,0.435920387506485,0.17026682198047638,0.27273955941200256,0.2487044632434845,0.370934396982193,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.1711641103029251,0.20430970191955566
the,1.0,0.21364226937294006,0.28089964389801025,0.733189046382904,0.1839996725320816,0.40389683842658997,0.2557460367679596,0.5473989248275757,0.2559677064418793,0.3090755045413971,0.21775591373443604,0.4408751428127289,0.42745697498321533,0.2516445517539978,0.733189046382904,0.19095487892627716,0.22068053483963013
form,0.29286009073257446,0.18999020755290985,0.2834988832473755,0.29600051045417786,0.19704841077327728,0.3062373399734497,0.2066686749458313,0.31894639134407043,0.13015815615653992,0.18494217097759247,0.1348067671060562,0.20338405668735504,0.15868011116981506,0.37035372853279114,0.29600051045417786,0.26646116375923157,0.1463010311126709
of,0.733189046382904,0.16620753705501556,0.277031809091568,1.0,0.17966590821743011,0.3802283704280853,0.2474622130393982,0.41498205065727234,0.19880573451519012,0.2669808566570282,0.2276538908481598,0.3646814823150635,0.33290785551071167,0.2285657674074173,1.0,0.21305565536022186,0.1826142966747284
enzymes,0.2557460367679596,0.4561769664287567,0.21630752086639404,0.2474622130393982,0.6097476482391357,0.2724840044975281,0.9999999403953552,0.26944220066070557,0.1674804389476776,0.15845170617103577,0.3785826563835144,0.22094281017780304,0.21391288936138153,0.19716618955135345,0.2474622130393982,0.5901363492012024,0.19847454130649567
that,0.5473989248275757,0.30237793922424316,0.27510011196136475,0.41498205065727234,0.2798275947570801,0.6182622313499451,0.26944220066070557,1.0,0.324299156665802,0.3318655490875244,0.24198806285858154,0.37496164441108704,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.2709589898586273,0.32716336846351624
protect,0.2559677064418793,0.261508584022522,0.15712140500545502,0.19880573451519012,0.17715074121952057,0.3453146815299988,0.1674804389476776,0.324299156665802,1.0000001192092896,0.43159037828445435,0.27141302824020386,0.2196538895368576,0.25314101576805115,0.20578844845294952,0.19880573451519012,0.21693947911262512,0.20180222392082214
against,0.3090755045413971,0.26737844944000244,0.12327110767364502,0.2669808566570282,0.14054761826992035,0.2534869611263275,0.15845170617103577,0.3318655490875244,0.43159037828445435,1.0,0.2083682119846344,0.24816733598709106,0.24561616778373718,0.17143523693084717,0.2669808566570282,0.10579946637153625,0.18095137178897858
bacteriophage,0.21814073622226715,0.4850960969924927,0.24571534991264343,0.2158035784959793,0.8261731266975403,0.21884475648403168,0.6288114786148071,0.26972872018814087,0.1511824131011963,0.1451883465051651,0.5886568427085876,0.23181980848312378,0.18064995110034943,0.21839016675949097,0.2158035784959793,0.6196381449699402,0.15503612160682678
infections,0.22791443765163422,0.5503223538398743,0.30915969610214233,0.23916418850421906,0.611585795879364,0.3041602373123169,0.43242377042770386,0.26952406764030457,0.29737281799316406,0.22313690185546875,0.9499492049217224,0.17393311858177185,0.19013865292072296,0.21198800206184387,0.23916418850421906,0.49064257740974426,0.19163957238197327
.,0.5934505462646484,0.18267881870269775,0.2403000146150589,0.5352458953857422,0.24264462292194366,0.41614407300949097,0.261301726102829,0.4460422694683075,0.2567919194698334,0.28705209493637085,0.2435181885957718,0.3936232924461365,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2868211269378662,0.4130953550338745
