,excessive,bureaucratic,red,tape,is,one,of,the,reasons,for,what,type,of,ownership,?
reasons,0.2913603186607361,0.33351659774780273,0.18604671955108643,0.21091461181640625,0.25412559509277344,0.3634364902973175,0.28044363856315613,0.2951921820640564,1.0,0.418081134557724,0.3640104830265045,0.18960992991924286,0.28044363856315613,0.29263123869895935,0.248102068901062
for,0.30539271235466003,0.315300852060318,0.2239922434091568,0.19025389850139618,0.43268078565597534,0.384836345911026,0.4185989499092102,0.4739971458911896,0.418081134557724,0.9999999403953552,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.3019750118255615,0.264628142118454
extra-legal,0.33946317434310913,0.3843616545200348,0.21098776161670685,0.28794506192207336,0.22076699137687683,0.25038453936576843,0.2832799255847931,0.2764436900615692,0.3205775022506714,0.39778846502304077,0.30746737122535706,0.17508924007415771,0.2832799255847931,0.3258269131183624,0.2470943182706833
ownership,0.2559976577758789,0.2780938148498535,0.09571299701929092,0.1536184698343277,0.22822703421115875,0.2631186544895172,0.2084505259990692,0.261578768491745,0.29263123869895935,0.3019750118255615,0.2581227421760559,0.17024224996566772,0.2084505259990692,1.0,0.19719240069389343
include,0.19045396149158478,0.08433004468679428,0.12232731282711029,0.06570404022932053,0.28863582015037537,0.28309059143066406,0.37431180477142334,0.2951717972755432,0.19562244415283203,0.39020416140556335,0.1535889357328415,0.20810997486114502,0.37431180477142334,0.16120529174804688,0.14925788342952728
excessive,0.9999998807907104,0.41896384954452515,0.2082260102033615,0.1478423923254013,0.18643395602703094,0.20442266762256622,0.2820563316345215,0.243015319108963,0.2913603186607361,0.30539271235466003,0.29446548223495483,0.2061963975429535,0.2820563316345215,0.2559976577758789,0.24501025676727295
bureaucratic,0.41896384954452515,1.0,0.11924003809690475,0.13834214210510254,0.21982915699481964,0.2410876452922821,0.22163037955760956,0.19283509254455566,0.33351659774780273,0.315300852060318,0.36574700474739075,0.10617624968290329,0.22163037955760956,0.2780938148498535,0.3583265542984009
red,0.2082260102033615,0.11924003809690475,1.0000001192092896,0.1642225682735443,0.22996017336845398,0.22512292861938477,0.22367064654827118,0.2817947566509247,0.18604671955108643,0.2239922434091568,0.16784515976905823,0.10756051540374756,0.22367064654827118,0.09571299701929092,0.1495664119720459
tape,0.1478423923254013,0.13834214210510254,0.1642225682735443,1.0,0.15419748425483704,0.15808144211769104,0.15910093486309052,0.14324384927749634,0.21091461181640625,0.19025389850139618,0.18888257443904877,0.1243441253900528,0.15910093486309052,0.1536184698343277,0.13937829434871674
in,0.17168647050857544,0.14458788931369781,0.18753071129322052,0.14771278202533722,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.22547267377376556,0.4322226941585541,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.22562521696090698,0.20430970191955566
buying,0.24074968695640564,0.2921821177005768,0.14180056750774384,0.2379305511713028,0.18158438801765442,0.2819555401802063,0.23812635242938995,0.2513457238674164,0.22035573422908783,0.34277477860450745,0.3024725317955017,0.16518418490886688,0.23812635242938995,0.3749181926250458,0.22927558422088623
property,0.2839764356613159,0.20479723811149597,0.0601503886282444,0.03838539123535156,0.1944577693939209,0.20649354159832,0.2299845814704895,0.2061677873134613,0.21110987663269043,0.2189353108406067,0.24978817999362946,0.217777818441391,0.2299845814704895,0.502207338809967,0.16865147650241852
and,0.22873662412166595,0.2162616103887558,0.20267853140830994,0.16998353600502014,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.31014180183410645,0.5064792633056641,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.246654212474823,0.20544172823429108
building,0.16150857508182526,0.17519733309745789,0.11847961694002151,0.11528090387582779,0.20087163150310516,0.2307232916355133,0.26200541853904724,0.3159640431404114,0.17567051947116852,0.2644540071487427,0.23529528081417084,0.17579787969589233,0.26200541853904724,0.20611754059791565,0.13549931347370148
",",0.18842002749443054,0.24950584769248962,0.25953415036201477,0.1637849658727646,0.4691906273365021,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.31034985184669495,0.4464869201183319,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21889959275722504,0.31091248989105225
in,0.17168647050857544,0.14458788931369781,0.18753071129322052,0.14771278202533722,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.22547267377376556,0.4322226941585541,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.22562521696090698,0.20430970191955566
some,0.32859253883361816,0.25465717911720276,0.17509616911411285,0.23328346014022827,0.3038453459739685,0.4537518322467804,0.4300730526447296,0.4566698372364044,0.38729044795036316,0.4257155656814575,0.4491020441055298,0.2761056125164032,0.4300730526447296,0.26800626516342163,0.2562315762042999
countries,0.1686134934425354,0.22008855640888214,0.15996244549751282,0.16229398548603058,0.254234254360199,0.3113413453102112,0.2800094783306122,0.33290645480155945,0.3308649957180023,0.299202024936676,0.22319257259368896,0.1698177605867386,0.2800094783306122,0.22534571588039398,0.15128466486930847
it,0.21051177382469177,0.29610636830329895,0.21993297338485718,0.17847833037376404,0.6328473687171936,0.4284902811050415,0.38761502504348755,0.6251175999641418,0.29208120703697205,0.32171204686164856,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.27627888321876526,0.25732165575027466
