,what,are,those,with,lower,incomes,often,unable,to,manage,?
if,0.5277165174484253,0.32547882199287415,0.3584487736225128,0.34021785855293274,0.30462658405303955,0.28424814343452454,0.383415162563324,0.3886314630508423,0.4559597074985504,0.2739817798137665,0.4441644251346588
the,0.42745697498321533,0.40399202704429626,0.42861196398735046,0.4223487675189972,0.3463275134563446,0.3008386194705963,0.38004449009895325,0.29094135761260986,0.535392165184021,0.25681272149086,0.22068053483963013
state,0.24273863434791565,0.19951030611991882,0.20033949613571167,0.2062043994665146,0.23899781703948975,0.30227532982826233,0.17464479804039001,0.15392431616783142,0.25557461380958557,0.16911667585372925,0.1160883978009224
does,0.38564667105674744,0.3126322329044342,0.3144809603691101,0.26186925172805786,0.19989411532878876,0.28918689489364624,0.33894720673561096,0.336455762386322,0.4391997456550598,0.25634995102882385,0.338003009557724
not,0.5449194312095642,0.46186959743499756,0.49181070923805237,0.3409014642238617,0.20697054266929626,0.2515282928943634,0.42630264163017273,0.44146591424942017,0.5149973034858704,0.3056361675262451,0.41942933201789856
provide,0.27049049735069275,0.3588597774505615,0.36599528789520264,0.3074512183666229,0.2518543601036072,0.29110807180404663,0.2730286717414856,0.27634838223457336,0.3479624092578888,0.3197876214981079,0.22704634070396423
these,0.4164220690727234,0.7107698917388916,0.7154475450515747,0.37595367431640625,0.30064430832862854,0.3066984713077545,0.5577440857887268,0.2666482627391815,0.46852558851242065,0.2590332627296448,0.2571668326854706
services,0.16048473119735718,0.26135778427124023,0.28530120849609375,0.20939528942108154,0.13786698877811432,0.3236626088619232,0.24997442960739136,0.20846900343894958,0.27867045998573303,0.30353260040283203,0.1328447163105011
",",0.3087472915649414,0.4062570035457611,0.39574649930000305,0.4120737314224243,0.236776202917099,0.25075313448905945,0.24139221012592316,0.20128878951072693,0.44245919585227966,0.2668672502040863,0.31091248989105225
then,0.4072686731815338,0.23076686263084412,0.2611830234527588,0.37121716141700745,0.2912209630012512,0.19878338277339935,0.2575196921825409,0.32393449544906616,0.5203860402107239,0.3111709654331207,0.2884598970413208
for,0.3017193675041199,0.3895993232727051,0.3446582555770874,0.39140474796295166,0.15945355594158173,0.29778382182121277,0.37495917081832886,0.2988177537918091,0.4451248347759247,0.2579313814640045,0.264628142118454
those,0.44466671347618103,0.6012985706329346,0.9999998807907104,0.3564215302467346,0.27896571159362793,0.32596004009246826,0.45234590768814087,0.2889555096626282,0.47350940108299255,0.2961813807487488,0.3328189253807068
on,0.34226128458976746,0.268924742937088,0.3098534643650055,0.40749499201774597,0.16919521987438202,0.15897031128406525,0.24822035431861877,0.24035683274269104,0.41031414270401,0.19281145930290222,0.2714994251728058
lower,0.20079238712787628,0.22557412087917328,0.27896571159362793,0.1784515678882599,1.0,0.29062649607658386,0.23956532776355743,0.17217408120632172,0.233318492770195,0.08890463411808014,0.08471795171499252
incomes,0.2579542398452759,0.30466148257255554,0.32596004009246826,0.2473832219839096,0.29062649607658386,0.9999998807907104,0.2675752639770508,0.22576263546943665,0.30075564980506897,0.23506271839141846,0.1867215484380722
",",0.3087472915649414,0.4062570035457611,0.39574649930000305,0.4120737314224243,0.236776202917099,0.25075313448905945,0.24139221012592316,0.20128878951072693,0.44245919585227966,0.2668672502040863,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,0.42861196398735046,0.4223487675189972,0.3463275134563446,0.3008386194705963,0.38004449009895325,0.29094135761260986,0.535392165184021,0.25681272149086,0.22068053483963013
costs,0.21587958931922913,0.23149950802326202,0.249764084815979,0.22785615921020508,0.2122749388217926,0.4807153642177582,0.31538763642311096,0.1711834967136383,0.30544713139533997,0.25719669461250305,0.19150719046592712
must,0.30362528562545776,0.3923934996128082,0.3229166567325592,0.28391414880752563,0.21950939297676086,0.3121221661567688,0.3322908878326416,0.3712359070777893,0.43356871604919434,0.29658862948417664,0.23707495629787445
be,0.3929833769798279,0.5556803941726685,0.4287525415420532,0.36101722717285156,0.23055878281593323,0.24079053103923798,0.463177889585495,0.2721809446811676,0.4972836375236511,0.27663540840148926,0.3324260413646698
borrowed,0.24171066284179688,0.1581738144159317,0.2947019040584564,0.1728748381137848,0.2032654583454132,0.3099987208843231,0.3000392019748688,0.14700397849082947,0.2586132287979126,0.17192210257053375,0.1854170709848404
and,0.31309178471565247,0.48576638102531433,0.43169310688972473,0.5477725267410278,0.2802542746067047,0.30554434657096863,0.42465832829475403,0.2742411196231842,0.48971283435821533,0.339259535074234,0.20544172823429108
often,0.3849453330039978,0.5443448424339294,0.45234590768814087,0.41081544756889343,0.23956532776355743,0.2675752639770508,1.0000001192092896,0.31587526202201843,0.4351843297481537,0.2727738916873932,0.23748154938220978
those,0.44466671347618103,0.6012985706329346,0.9999998807907104,0.3564215302467346,0.27896571159362793,0.32596004009246826,0.45234590768814087,0.2889555096626282,0.47350940108299255,0.2961813807487488,0.3328189253807068
on,0.34226128458976746,0.268924742937088,0.3098534643650055,0.40749499201774597,0.16919521987438202,0.15897031128406525,0.24822035431861877,0.24035683274269104,0.41031414270401,0.19281145930290222,0.2714994251728058
lower,0.20079238712787628,0.22557412087917328,0.27896571159362793,0.1784515678882599,1.0,0.29062649607658386,0.23956532776355743,0.17217408120632172,0.233318492770195,0.08890463411808014,0.08471795171499252
incomes,0.2579542398452759,0.30466148257255554,0.32596004009246826,0.2473832219839096,0.29062649607658386,0.9999998807907104,0.2675752639770508,0.22576263546943665,0.30075564980506897,0.23506271839141846,0.1867215484380722
are,0.29724663496017456,1.0,0.6012985706329346,0.38996943831443787,0.22557412087917328,0.30466148257255554,0.5443448424339294,0.13948975503444672,0.3504326641559601,0.28882142901420593,0.24591213464736938
those,0.44466671347618103,0.6012985706329346,0.9999998807907104,0.3564215302467346,0.27896571159362793,0.32596004009246826,0.45234590768814087,0.2889555096626282,0.47350940108299255,0.2961813807487488,0.3328189253807068
who,0.40942975878715515,0.27294138073921204,0.44778117537498474,0.3282766342163086,0.13005778193473816,0.2030663639307022,0.393799751996994,0.370140939950943,0.42656609416007996,0.2988004982471466,0.26220351457595825
are,0.29724663496017456,1.0,0.6012985706329346,0.38996943831443787,0.22557412087917328,0.30466148257255554,0.5443448424339294,0.13948975503444672,0.3504326641559601,0.28882142901420593,0.24591213464736938
worse,0.35022076964378357,0.17115573585033417,0.28090524673461914,0.23089200258255005,0.2251698523759842,0.20277482271194458,0.3129686415195465,0.3320315182209015,0.27076292037963867,0.2926253080368042,0.22250962257385254
equipped,0.21546252071857452,0.21907202899456024,0.2964724898338318,0.22758172452449799,0.17323920130729675,0.20069696009159088,0.32278597354888916,0.33113691210746765,0.24626833200454712,0.2996235489845276,0.1901935189962387
to,0.455847829580307,0.3504326641559601,0.47350940108299255,0.4239959120750427,0.233318492770195,0.30075564980506897,0.4351843297481537,0.47413626313209534,1.0,0.39911994338035583,0.29463258385658264
manage,0.265919029712677,0.28882142901420593,0.2961813807487488,0.2793397307395935,0.08890463411808014,0.23506271839141846,0.2727738916873932,0.32820409536361694,0.39911994338035583,0.9999998807907104,0.2014334350824356
