,how,long,is,the,rhine,?
it,0.36714982986450195,0.34568047523498535,0.6328473687171936,0.6251175999641418,0.17693428695201874,0.25732165575027466
is,0.22544461488723755,0.28473302721977234,1.0,0.5823672413825989,0.15617261826992035,0.22961433231830597
the,0.33890387415885925,0.3075225353240967,0.5823672413825989,1.0,0.30735138058662415,0.22068053483963013
second-longest,0.14856861531734467,0.4251548945903778,0.3681494891643524,0.4604242742061615,0.22783015668392181,0.2516520321369171
river,0.09142279624938965,0.2099384367465973,0.20670881867408752,0.2894456386566162,0.3672541379928589,0.15390869975090027
in,0.2601168751716614,0.2759332060813904,0.5394441485404968,0.6662389636039734,0.24648422002792358,0.20430970191955566
central,0.1351521760225296,0.19090498983860016,0.273421049118042,0.3417201042175293,0.18144266307353973,0.14787602424621582
and,0.33647966384887695,0.3395216166973114,0.3859752118587494,0.5171257257461548,0.22029656171798706,0.20544172823429108
western,0.08635379374027252,0.18997988104820251,0.2572968304157257,0.37920868396759033,0.23680023849010468,0.17439141869544983
europe,0.1606675088405609,0.14916114509105682,0.20961034297943115,0.34463706612586975,0.3181407153606415,0.18278923630714417
(,0.1676948219537735,0.2487790733575821,0.35393038392066956,0.33289089798927307,0.12381801009178162,0.40561532974243164
after,0.23871733248233795,0.25804978609085083,0.2835143506526947,0.4565047025680542,0.19789908826351166,0.16608688235282898
the,0.33890387415885925,0.3075225353240967,0.5823672413825989,1.0,0.30735138058662415,0.22068053483963013
danube,0.10190366208553314,0.15194979310035706,0.15012827515602112,0.275310754776001,0.5321726202964783,0.17050804197788239
),0.17939934134483337,0.23425164818763733,0.37732169032096863,0.3456730246543884,0.12686386704444885,0.42300865054130554
",",0.22659391164779663,0.3431144952774048,0.4691906273365021,0.4933079481124878,0.167837992310524,0.31091248989105225
at,0.2154216170310974,0.2525537312030792,0.25906258821487427,0.457212895154953,0.19469857215881348,0.21978627145290375
about,0.44264400005340576,0.39844584465026855,0.3532065451145172,0.37995871901512146,0.2085869312286377,0.302409827709198
"1,230",-0.1793517917394638,0.0009658727212809026,-0.1814759522676468,-0.17356659471988678,-0.0682368129491806,-0.16569994390010834
km,0.10687907040119171,0.26957154273986816,0.24258680641651154,0.21376769244670868,0.22496221959590912,0.08180338144302368
(,0.1676948219537735,0.2487790733575821,0.35393038392066956,0.33289089798927307,0.12381801009178162,0.40561532974243164
760,0.1505528688430786,0.14310896396636963,0.09495876729488373,0.039726510643959045,-0.08990589529275894,0.026141434907913208
mi,0.0639447420835495,0.2094552367925644,0.17681920528411865,0.12998802959918976,0.08876913785934448,0.10264865309000015
),0.17939934134483337,0.23425164818763733,0.37732169032096863,0.3456730246543884,0.12686386704444885,0.42300865054130554
",",0.22659391164779663,0.3431144952774048,0.4691906273365021,0.4933079481124878,0.167837992310524,0.31091248989105225
[,0.03530287742614746,0.07756013423204422,-0.06921151280403137,0.07130392640829086,0.12319914251565933,0.011015460826456547
note,0.2170887291431427,0.149339497089386,0.22927063703536987,0.255229115486145,0.09906937181949615,0.2754004895687103
2,-0.02554285153746605,-0.04490483179688454,-0.07940074801445007,-0.019434669986367226,0.03334525227546692,0.001977203879505396
],0.06738625466823578,0.09136251360177994,-0.02998926118016243,-0.04779602214694023,-0.016111083328723907,-0.0022520492784678936
[,0.03530287742614746,0.07756013423204422,-0.06921151280403137,0.07130392640829086,0.12319914251565933,0.011015460826456547
note,0.2170887291431427,0.149339497089386,0.22927063703536987,0.255229115486145,0.09906937181949615,0.2754004895687103
1,-0.28593507409095764,-0.0687701404094696,-0.12491171807050705,-0.1554475575685501,0.0694797933101654,-0.249979168176651
],0.06738625466823578,0.09136251360177994,-0.02998926118016243,-0.04779602214694023,-0.016111083328723907,-0.0022520492784678936
with,0.3525622487068176,0.289187490940094,0.3250955045223236,0.4223487675189972,0.18184249103069305,0.2433311939239502
an,0.2520636022090912,0.22368325293064117,0.4654068350791931,0.4207492768764496,0.07200640439987183,0.19793890416622162
average,0.2824462950229645,0.24128052592277527,0.2669461667537689,0.27058175206184387,0.13968418538570404,0.21764592826366425
discharge,0.17195333540439606,0.251895010471344,0.17916791141033173,0.2714732885360718,0.22111549973487854,0.13592740893363953
of,0.2480744868516922,0.2567519545555115,0.4854315221309662,0.733189046382904,0.2548927664756775,0.1826142966747284
about,0.44264400005340576,0.39844584465026855,0.3532065451145172,0.37995871901512146,0.2085869312286377,0.302409827709198
"2,900",0.11315979063510895,-0.026733746752142906,0.1040695458650589,0.0644303560256958,-0.07407230138778687,0.22685237228870392
m3/s,0.1881266087293625,0.17235444486141205,0.14450658857822418,0.21639159321784973,0.1787276417016983,0.11470148712396622
(,0.1676948219537735,0.2487790733575821,0.35393038392066956,0.33289089798927307,0.12381801009178162,0.40561532974243164
"100,000",0.10288455337285995,0.024681927636265755,0.13035383820533752,0.12082944065332413,0.03458062931895256,0.035472359508275986
cu,0.2411341667175293,0.22195613384246826,0.16364990174770355,0.1260254830121994,0.08786342293024063,0.3576068878173828
ft/s,0.2571173310279846,0.2800779640674591,0.2292538583278656,0.22741563618183136,0.23744693398475647,0.27464672923088074
),0.17939934134483337,0.23425164818763733,0.37732169032096863,0.3456730246543884,0.12686386704444885,0.42300865054130554
.,0.3287222981452942,0.3247973620891571,0.4569662809371948,0.5934505462646484,0.2089352011680603,0.4130953550338745
