,how,long,is,the,upper,rhine,plain,?
the,0.33890387415885925,0.3075225353240967,0.5823672413825989,1.0,0.35289278626441956,0.30735138058662415,0.24952362477779388,0.22068053483963013
river,0.09142279624938965,0.2099384367465973,0.20670881867408752,0.2894456386566162,0.30176234245300293,0.3672541379928589,0.337314635515213,0.15390869975090027
now,0.2802366018295288,0.2485285997390747,0.39589470624923706,0.38266420364379883,0.1900063008069992,0.19940665364265442,0.17581060528755188,0.29641881585121155
flows,0.12961691617965698,0.1851889044046402,0.3137552738189697,0.32405155897140503,0.24937006831169128,0.2871347963809967,0.34543028473854065,0.11636040359735489
north,0.12114071100950241,0.20966807007789612,0.2993389368057251,0.36298373341560364,0.2757987976074219,0.3832572400569916,0.24822531640529633,0.11829731613397598
as,0.33782753348350525,0.23432248830795288,0.43216490745544434,0.48381632566452026,0.22030669450759888,0.18380387127399445,0.16482439637184143,0.27043893933296204
upper,0.09489704668521881,0.18395861983299255,0.2177516371011734,0.35289278626441956,1.0000001192092896,0.27324220538139343,0.23458249866962433,0.051342256367206573
rhine,0.09285783767700195,0.1596824824810028,0.15617261826992035,0.30735138058662415,0.27324220538139343,1.0,0.1932624727487564,0.13754533231258392
through,0.2704794108867645,0.27183258533477783,0.27805060148239136,0.44071322679519653,0.23357972502708435,0.23343999683856964,0.2023363709449768,0.16913433372974396
the,0.33890387415885925,0.3075225353240967,0.5823672413825989,1.0,0.35289278626441956,0.30735138058662415,0.24952362477779388,0.22068053483963013
upper,0.09489704668521881,0.18395861983299255,0.2177516371011734,0.35289278626441956,1.0000001192092896,0.27324220538139343,0.23458249866962433,0.051342256367206573
rhine,0.09285783767700195,0.1596824824810028,0.15617261826992035,0.30735138058662415,0.27324220538139343,1.0,0.1932624727487564,0.13754533231258392
plain,0.17825466394424438,0.24654434621334076,0.2515408992767334,0.24952362477779388,0.23458249866962433,0.1932624727487564,1.0,0.17552430927753448
",",0.22659391164779663,0.3431144952774048,0.4691906273365021,0.4933079481124878,0.22235287725925446,0.167837992310524,0.2406666874885559,0.31091248989105225
which,0.4852597713470459,0.34186381101608276,0.4457404911518097,0.6521818041801453,0.2984105050563812,0.18744276463985443,0.23941394686698914,0.25814583897590637
is,0.22544461488723755,0.28473302721977234,1.0,0.5823672413825989,0.2177516371011734,0.15617261826992035,0.2515408992767334,0.22961433231830597
about,0.44264400005340576,0.39844584465026855,0.3532065451145172,0.37995871901512146,0.177180677652359,0.2085869312286377,0.21122634410858154,0.302409827709198
300,-0.03424505144357681,0.08341150730848312,-0.0613233856856823,-0.07017405331134796,-0.054832085967063904,-0.03584139794111252,0.14701016247272491,-0.06213558092713356
km,0.10687907040119171,0.26957154273986816,0.24258680641651154,0.21376769244670868,0.201447531580925,0.22496221959590912,0.28941819071769714,0.08180338144302368
long,0.2615325152873993,1.0,0.28473302721977234,0.3075225353240967,0.18395861983299255,0.1596824824810028,0.24654434621334076,0.19699987769126892
and,0.33647966384887695,0.3395216166973114,0.3859752118587494,0.5171257257461548,0.2172592729330063,0.22029656171798706,0.2467678040266037,0.20544172823429108
up,0.2819872200489044,0.309156209230423,0.2853454053401947,0.38423117995262146,0.1775268018245697,0.1867746114730835,0.1653546690940857,0.1819818764925003
to,0.44169697165489197,0.30218687653541565,0.42745086550712585,0.535392165184021,0.21445727348327637,0.1736302673816681,0.22222813963890076,0.29463258385658264
40,0.03806556016206741,-0.03132954239845276,0.020139267668128014,-0.09923846274614334,0.03645141050219536,-0.07853029668331146,-0.029956119135022163,0.010195288807153702
km,0.10687907040119171,0.26957154273986816,0.24258680641651154,0.21376769244670868,0.201447531580925,0.22496221959590912,0.28941819071769714,0.08180338144302368
wide,0.2094327211380005,0.476868212223053,0.22456400096416473,0.28078147768974304,0.27147164940834045,0.11839058250188828,0.26162683963775635,0.12719376385211945
.,0.3287222981452942,0.3247973620891571,0.4569662809371948,0.5934505462646484,0.23727275431156158,0.2089352011680603,0.28043389320373535,0.4130953550338745
