,the,legislative,competence,of,the,parliament,species,what,areas,?
the,1.0,0.27501925826072693,0.26006200909614563,0.733189046382904,1.0,0.26521381735801697,0.2522439956665039,0.42745697498321533,0.3311663568019867,0.22068053483963013
act,0.28682878613471985,0.3327866494655609,0.2878987789154053,0.2802577316761017,0.28682878613471985,0.33536985516548157,0.17837141454219818,0.2622668445110321,0.2261303961277008,0.1482519507408142
delineates,0.28367969393730164,0.1805468499660492,0.33204445242881775,0.264620304107666,0.28367969393730164,0.1276748925447464,0.35563334822654724,0.28072619438171387,0.26205021142959595,0.24959427118301392
the,1.0,0.27501925826072693,0.26006200909614563,0.733189046382904,1.0,0.26521381735801697,0.2522439956665039,0.42745697498321533,0.3311663568019867,0.22068053483963013
legislative,0.27501925826072693,1.0,0.20074063539505005,0.34083476662635803,0.27501925826072693,0.6651111245155334,0.1572154015302658,0.22232688963413239,0.21696031093597412,0.1654243916273117
competence,0.26006200909614563,0.20074063539505005,1.0000001192092896,0.2747616171836853,0.26006200909614563,0.2027537077665329,0.20028932392597198,0.39366716146469116,0.181527778506279,0.2752470076084137
of,0.733189046382904,0.34083476662635803,0.2747616171836853,1.0,0.733189046382904,0.2885259687900543,0.23307405412197113,0.33290785551071167,0.2803763747215271,0.1826142966747284
the,1.0,0.27501925826072693,0.26006200909614563,0.733189046382904,1.0,0.26521381735801697,0.2522439956665039,0.42745697498321533,0.3311663568019867,0.22068053483963013
parliament,0.26521381735801697,0.6651111245155334,0.2027537077665329,0.2885259687900543,0.26521381735801697,1.0,0.15592503547668457,0.21650300920009613,0.18003973364830017,0.1586504578590393
–,0.2607575058937073,0.16074535250663757,0.07080808281898499,0.2799985408782959,0.2607575058937073,0.17685334384441376,0.09715378284454346,0.13008765876293182,0.046427659690380096,0.2714554965496063
the,1.0,0.27501925826072693,0.26006200909614563,0.733189046382904,1.0,0.26521381735801697,0.2522439956665039,0.42745697498321533,0.3311663568019867,0.22068053483963013
areas,0.3311663568019867,0.21696031093597412,0.181527778506279,0.2803763747215271,0.3311663568019867,0.18003973364830017,0.3080537021160126,0.23739881813526154,0.9999999403953552,0.1273590475320816
in,0.6662389636039734,0.24765221774578094,0.16804838180541992,0.5696388483047485,0.6662389636039734,0.2323146015405655,0.2179255336523056,0.30808621644973755,0.33029478788375854,0.20430970191955566
which,0.6521818041801453,0.2521616220474243,0.28931692242622375,0.5011631846427917,0.6521818041801453,0.20252443850040436,0.2846525013446808,0.5261979103088379,0.34350457787513733,0.25814583897590637
it,0.6251175999641418,0.2187502086162567,0.2479337602853775,0.38761502504348755,0.6251175999641418,0.22944188117980957,0.24010367691516876,0.45803478360176086,0.31491610407829285,0.25732165575027466
can,0.312528520822525,0.18457196652889252,0.31460484862327576,0.2603091299533844,0.312528520822525,0.1599172055721283,0.29763275384902954,0.34502777457237244,0.3059823513031006,0.3226337134838104
make,0.3146495521068573,0.18641340732574463,0.3035348355770111,0.2912110388278961,0.3146495521068573,0.16739606857299805,0.16408716142177582,0.3792211413383484,0.23499320447444916,0.28314751386642456
laws,0.2587076723575592,0.447895884513855,0.28285592794418335,0.2539142072200775,0.2587076723575592,0.42866581678390503,0.18011730909347534,0.29636016488075256,0.2818202078342438,0.17911791801452637
–,0.2607575058937073,0.16074535250663757,0.07080808281898499,0.2799985408782959,0.2607575058937073,0.17685334384441376,0.09715378284454346,0.13008765876293182,0.046427659690380096,0.2714554965496063
by,0.4408751428127289,0.1506279557943344,0.15420633554458618,0.3646814823150635,0.4408751428127289,0.1523929238319397,0.11455577611923218,0.2455483376979828,0.2005605250597,0.17966607213020325
explicitly,0.24453070759773254,0.2083054631948471,0.38379496335983276,0.1696290224790573,0.24453070759773254,0.15118245780467987,0.1616220921278,0.3763854503631592,0.18782630562782288,0.2977891266345978
specifying,0.3539738059043884,0.24106866121292114,0.3232424557209015,0.26676174998283386,0.3539738059043884,0.1462741643190384,0.28975048661231995,0.33986231684684753,0.22326891124248505,0.3284336030483246
powers,0.25233519077301025,0.3353835940361023,0.3453468084335327,0.22709226608276367,0.25233519077301025,0.3280940353870392,0.12741076946258545,0.24108682572841644,0.24126459658145905,0.17269276082515717
that,0.5473989248275757,0.2155666947364807,0.4155762195587158,0.41498205065727234,0.5473989248275757,0.17629513144493103,0.22146284580230713,0.6297725439071655,0.27244997024536133,0.32716336846351624
are,0.40399202704429626,0.16996347904205322,0.2953389585018158,0.39081433415412903,0.40399202704429626,0.09480422735214233,0.3297041952610016,0.29724663496017456,0.4082777500152588,0.24591213464736938
``,0.029072100296616554,0.15034718811511993,0.0333230122923851,0.06780257821083069,0.029072100296616554,0.08920595794916153,0.0859888568520546,0.008517155423760414,0.06787070631980896,0.0685480609536171
reserved,0.23639146983623505,0.18031933903694153,0.21630267798900604,0.22991587221622467,0.23639146983623505,0.18815168738365173,0.21141448616981506,0.17611517012119293,0.2578895092010498,0.1177138090133667
'',0.041273195296525955,0.05005847290158272,-0.008940708823502064,0.13035868108272552,0.041273195296525955,0.042836062610149384,0.005810560192912817,0.08143015950918198,0.04147288575768471,0.018684765323996544
to,0.535392165184021,0.2195226103067398,0.33958306908607483,0.41548454761505127,0.535392165184021,0.20290622115135193,0.2193736732006073,0.455847829580307,0.29808273911476135,0.29463258385658264
the,1.0,0.27501925826072693,0.26006200909614563,0.733189046382904,1.0,0.26521381735801697,0.2522439956665039,0.42745697498321533,0.3311663568019867,0.22068053483963013
parliament,0.26521381735801697,0.6651111245155334,0.2027537077665329,0.2885259687900543,0.26521381735801697,1.0,0.15592503547668457,0.21650300920009613,0.18003973364830017,0.1586504578590393
of,0.733189046382904,0.34083476662635803,0.2747616171836853,1.0,0.733189046382904,0.2885259687900543,0.23307405412197113,0.33290785551071167,0.2803763747215271,0.1826142966747284
the,1.0,0.27501925826072693,0.26006200909614563,0.733189046382904,1.0,0.26521381735801697,0.2522439956665039,0.42745697498321533,0.3311663568019867,0.22068053483963013
