,when,did,prime,minister,wilson,commit,to,some,form,of,devolved,legislature,?
the,0.5091903209686279,0.34736719727516174,0.19960100948810577,0.19297581911087036,0.20745839178562164,0.16320577263832092,0.535392165184021,0.4566698372364044,0.29286009073257446,0.733189046382904,0.39628729224205017,0.2745116055011749,0.22068053483963013
combined,0.2209634631872177,0.17568819224834442,0.052414678037166595,0.0742603987455368,0.07363228499889374,0.0832485780119896,0.24629315733909607,0.28391164541244507,0.36154165863990784,0.399336040019989,0.23753559589385986,0.13718630373477936,0.17985320091247559
effect,0.2713961899280548,0.19503958523273468,0.10898991674184799,0.13010714948177338,0.12518124282360077,0.19374868273735046,0.2521958649158478,0.2883170247077942,0.24568277597427368,0.24129827320575714,0.230399951338768,0.16652390360832214,0.1783771812915802
of,0.3757161796092987,0.2513895630836487,0.23935265839099884,0.23343199491500854,0.17700797319412231,0.17131838202476501,0.41548454761505127,0.4300730526447296,0.29600051045417786,1.0,0.40449368953704834,0.3148817718029022,0.1826142966747284
these,0.3811454772949219,0.38755595684051514,0.13393478095531464,0.12920771539211273,0.13244158029556274,0.20374718308448792,0.46852558851242065,0.7490653991699219,0.30281445384025574,0.42684608697891235,0.33234670758247375,0.23423682153224945,0.2571668326854706
events,0.22676362097263336,0.17199330031871796,0.16249342262744904,0.16268061101436615,0.10095785558223724,0.17067156732082367,0.22643153369426727,0.24870702624320984,0.16687509417533875,0.20782610774040222,0.19014224410057068,0.07664714753627777,0.09835197776556015
led,0.2072276622056961,0.3213953971862793,0.28079113364219666,0.2970104515552521,0.14018653333187103,0.22541242837905884,0.21815308928489685,0.2666991651058197,0.08025912195444107,0.32918456196784973,0.2764211595058441,0.18993490934371948,0.09273858368396759
to,0.5423505902290344,0.4452643394470215,0.2015804797410965,0.17637476325035095,0.1950661838054657,0.2989535629749298,1.0,0.4636894166469574,0.2772196829319,0.41548454761505127,0.2682676613330841,0.24813328683376312,0.29463258385658264
prime,0.1445009857416153,0.15196266770362854,1.0,0.8818941116333008,0.21062156558036804,0.1608160436153412,0.2015804797410965,0.12270823866128922,0.160722553730011,0.23935265839099884,0.2602843642234802,0.26621320843696594,0.11276303976774216
minister,0.14265094697475433,0.16385287046432495,0.8818941116333008,0.9999998807907104,0.18629318475723267,0.18950235843658447,0.17637476325035095,0.13502684235572815,0.16208967566490173,0.23343199491500854,0.3207077383995056,0.3370489478111267,0.10825661569833755
wilson,0.17791715264320374,0.16128437221050262,0.21062156558036804,0.18629318475723267,1.0,0.09516941756010056,0.1950661838054657,0.09991768002510071,0.14923223853111267,0.17700797319412231,0.13197441399097443,0.17195944488048553,0.1055358424782753
committing,0.330346018075943,0.2633674740791321,0.19863484799861908,0.22510118782520294,0.13927362859249115,0.8087372183799744,0.3055778443813324,0.325267493724823,0.17983627319335938,0.27679914236068726,0.24103549122810364,0.25863227248191833,0.23165062069892883
his,0.37120407819747925,0.3546801507472992,0.18129520118236542,0.2393040806055069,0.21212761104106903,0.22823910415172577,0.3715193271636963,0.3033970892429352,0.16026289761066437,0.38364991545677185,0.2473660707473755,0.18961438536643982,0.18075084686279297
government,0.23078718781471252,0.2792121469974518,0.3585837185382843,0.43487975001335144,0.1829400509595871,0.2295209765434265,0.28343796730041504,0.2568245828151703,0.18117623031139374,0.3475167155265808,0.3892383277416229,0.5441826581954956,0.18851417303085327
to,0.5423505902290344,0.4452643394470215,0.2015804797410965,0.17637476325035095,0.1950661838054657,0.2989535629749298,1.0,0.4636894166469574,0.2772196829319,0.41548454761505127,0.2682676613330841,0.24813328683376312,0.29463258385658264
some,0.386913925409317,0.42553430795669556,0.12270823866128922,0.13502684235572815,0.09991768002510071,0.22069968283176422,0.4636894166469574,0.9999999403953552,0.33171209692955017,0.4300730526447296,0.36235880851745605,0.23206257820129395,0.2562315762042999
form,0.31953904032707214,0.18086659908294678,0.160722553730011,0.16208967566490173,0.14923223853111267,0.17251236736774445,0.2772196829319,0.33171209692955017,0.9999999403953552,0.29600051045417786,0.23683419823646545,0.14676348865032196,0.1463010311126709
of,0.3757161796092987,0.2513895630836487,0.23935265839099884,0.23343199491500854,0.17700797319412231,0.17131838202476501,0.41548454761505127,0.4300730526447296,0.29600051045417786,1.0,0.40449368953704834,0.3148817718029022,0.1826142966747284
devolved,0.23629529774188995,0.25931504368782043,0.2602843642234802,0.3207077383995056,0.13197441399097443,0.18748094141483307,0.2682676613330841,0.36235880851745605,0.23683419823646545,0.40449368953704834,0.9999999403953552,0.4794491231441498,0.1570919156074524
legislature,0.19500204920768738,0.20466014742851257,0.26621320843696594,0.3370489478111267,0.17195944488048553,0.23915977776050568,0.24813328683376312,0.23206257820129395,0.14676348865032196,0.3148817718029022,0.4794491231441498,1.0,0.17475001513957977
in,0.4431333839893341,0.2593238651752472,0.18097394704818726,0.19794908165931702,0.1866002231836319,0.17741988599300385,0.45010748505592346,0.4010399878025055,0.2815987169742584,0.5696388483047485,0.31779801845550537,0.24105465412139893,0.20430970191955566
1974,-0.04478467255830765,-0.07115182280540466,0.05410616472363472,0.09375680983066559,0.11888676136732101,-0.03656734153628349,0.018285049125552177,-0.13982026278972626,-0.12391115725040436,0.05920899659395218,0.015260530635714531,0.1442984789609909,-0.17742674052715302
.,0.475719153881073,0.35288307070732117,0.17658381164073944,0.16012521088123322,0.27294424176216125,0.283060222864151,0.4645031690597534,0.40663889050483704,0.28317511081695557,0.5352458953857422,0.31542083621025085,0.2466430515050888,0.4130953550338745
