,what,happened,to,the,building,on,george,iv,bridge,when,the,parliament,was,done,with,it,?
following,0.2506418824195862,0.2579670250415802,0.31711265444755554,0.39779382944107056,0.11553952842950821,0.2962210774421692,0.1141963005065918,0.11241196095943451,0.10265257954597473,0.3263498842716217,0.39779382944107056,0.1793711930513382,0.16493390500545502,0.14348269999027252,0.30096235871315,0.29255929589271545,0.1555173695087433
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.3159640431404114,0.5107308030128479,0.2510760426521301,0.22478210926055908,0.27692803740501404,0.5091903209686279,1.0,0.26521381735801697,0.48711544275283813,0.26575928926467896,0.4223487675189972,0.6251175999641418,0.22068053483963013
move,0.30861297249794006,0.22012072801589966,0.37858664989471436,0.29817628860473633,0.18221034109592438,0.2874688506126404,0.13087376952171326,0.1184876412153244,0.11438561230897903,0.3272045850753784,0.29817628860473633,0.1339281052350998,0.1574081927537918,0.2652568221092224,0.20194293558597565,0.26024189591407776,0.24440962076187134
to,0.455847829580307,0.2299996316432953,1.0,0.535392165184021,0.2658686637878418,0.41031414270401,0.17226167023181915,0.18148545920848846,0.21516349911689758,0.5423505902290344,0.535392165184021,0.20290622115135193,0.3636345863342285,0.2647212743759155,0.4239959120750427,0.513711154460907,0.29463258385658264
holyrood,0.20219838619232178,0.1859438717365265,0.24968025088310242,0.3764844834804535,0.3603992760181427,0.24064987897872925,0.29867130517959595,0.3028988242149353,0.31549251079559326,0.2256261706352234,0.3764844834804535,0.4392244517803192,0.30698326230049133,0.15810033679008484,0.1892417073249817,0.2610359787940979,0.1637646108865738
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.6662389636039734,0.3256937265396118,0.46853652596473694,0.18167929351329803,0.16810548305511475,0.235438272356987,0.4431333839893341,0.6662389636039734,0.2323146015405655,0.45514053106307983,0.22165289521217346,0.4080928862094879,0.5130809545516968,0.20430970191955566
2004,-0.2636275589466095,-0.2608599066734314,-0.3218703269958496,-0.2467794269323349,-0.24036480486392975,-0.18105953931808472,0.04817691072821617,-0.036230601370334625,-0.15635235607624054,-0.2735671103000641,-0.2467794269323349,-0.043307505548000336,-0.01421020831912756,-0.22133471071720123,-0.23114067316055298,-0.2718257009983063,-0.15923042595386505
this,0.5489566326141357,0.3963470757007599,0.5759071707725525,0.6274310946464539,0.29406365752220154,0.4193967580795288,0.16122764348983765,0.2113676369190216,0.20857106149196625,0.4959332048892975,0.6274310946464539,0.23205555975437164,0.3638818562030792,0.4131368100643158,0.36358317732810974,0.6107783317565918,0.3155723512172699
building,0.23529528081417084,0.2297240048646927,0.2658686637878418,0.3159640431404114,0.9999998807907104,0.24277396500110626,0.05992960184812546,0.16150735318660736,0.3688366711139679,0.2712017297744751,0.3159640431404114,0.25232768058776855,0.237406387925148,0.25923919677734375,0.1992759108543396,0.2947906255722046,0.13549931347370148
was,0.22111038863658905,0.36671528220176697,0.3636345863342285,0.48711544275283813,0.237406387925148,0.3909217119216919,0.2601471245288849,0.18679717183113098,0.23293238878250122,0.37326499819755554,0.48711544275283813,0.24742799997329712,1.0000001192092896,0.23778371512889862,0.27411898970603943,0.4577186405658722,0.18412111699581146
demolished,0.1541847437620163,0.2541610598564148,0.18228134512901306,0.29508069157600403,0.5453174114227295,0.2102835476398468,0.13065344095230103,0.14352215826511383,0.2989257276058197,0.19877533614635468,0.29508069157600403,0.32168686389923096,0.33886510133743286,0.26224324107170105,0.17927737534046173,0.28873953223228455,0.15856656432151794
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.5934505462646484,0.275610089302063,0.49257001280784607,0.26540547609329224,0.23869569599628448,0.23252202570438385,0.475719153881073,0.5934505462646484,0.23747818171977997,0.40146201848983765,0.3132319152355194,0.4446153938770294,0.5593622326850891,0.4130953550338745
