,how,many,msps,are,there,?
the,0.33890387415885925,0.4335206151008606,0.3199247419834137,0.40399202704429626,0.47025805711746216,0.22068053483963013
presiding,0.13930433988571167,0.140048548579216,0.3441396653652191,0.11356163769960403,0.16276861727237701,0.177648663520813
officer,0.1377885937690735,0.12142262607812881,0.23027870059013367,0.05922366678714752,0.09545299410820007,0.119948610663414
and,0.33647966384887695,0.5296266674995422,0.2830604016780853,0.48576638102531433,0.4242868423461914,0.20544172823429108
deputies,0.16804853081703186,0.14519454538822174,0.4636676013469696,0.17935679852962494,0.18346336483955383,0.0984673723578453
are,0.311818927526474,0.5655534863471985,0.33991923928260803,1.0,0.5433560013771057,0.24591213464736938
elected,0.15145733952522278,0.13487686216831207,0.4629737436771393,0.08523022383451462,0.15050430595874786,0.1966295689344406
by,0.34370526671409607,0.3409687578678131,0.19317159056663513,0.37842893600463867,0.20383623242378235,0.17966607213020325
a,0.29312583804130554,0.2872205972671509,0.2692755460739136,0.265255331993103,0.4214206337928772,0.23916715383529663
secret,0.23054109513759613,0.23782522976398468,0.19007138907909393,0.1790160834789276,0.19785237312316895,0.16440534591674805
ballot,0.16347037255764008,0.1591549515724182,0.35846149921417236,0.17556770145893097,0.13983213901519775,0.19360579550266266
of,0.2480744868516922,0.37253960967063904,0.32335641980171204,0.39081433415412903,0.44397735595703125,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.3199247419834137,0.40399202704429626,0.47025805711746216,0.22068053483963013
129,0.1822912096977234,0.09343571960926056,0.15077932178974152,0.11071382462978363,0.08547314256429672,0.16383802890777588
msps,0.20041033625602722,0.21910056471824646,0.9999999403953552,0.33991923928260803,0.20489370822906494,0.14526908099651337
",",0.22659391164779663,0.40610817074775696,0.24289752542972565,0.4062570035457611,0.4587128460407257,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.3488379716873169,0.42922598123550415,0.45256471633911133,0.25814583897590637
is,0.22544461488723755,0.2649032473564148,0.24139109253883362,0.5330929756164551,0.3904260993003845,0.22961433231830597
the,0.33890387415885925,0.4335206151008606,0.3199247419834137,0.40399202704429626,0.47025805711746216,0.22068053483963013
only,0.36590442061424255,0.4670507609844208,0.3479797840118408,0.4533037543296814,0.5042840242385864,0.2767370045185089
secret,0.23054109513759613,0.23782522976398468,0.19007138907909393,0.1790160834789276,0.19785237312316895,0.16440534591674805
ballot,0.16347037255764008,0.1591549515724182,0.35846149921417236,0.17556770145893097,0.13983213901519775,0.19360579550266266
conducted,0.17521916329860687,0.23330867290496826,0.21015962958335876,0.14265146851539612,0.21175594627857208,0.1105341762304306
in,0.2601168751716614,0.41474202275276184,0.20608413219451904,0.3841303884983063,0.5361666083335876,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.3199247419834137,0.40399202704429626,0.47025805711746216,0.22068053483963013
scottish,0.10600311309099197,0.12051273137331009,0.4475419521331787,0.15686963498592377,0.10701852291822433,0.06442669779062271
parliament,0.13635116815567017,0.15748974680900574,0.5331769585609436,0.09480422735214233,0.17849694192409515,0.1586504578590393
.,0.3287222981452942,0.3974229395389557,0.23013411462306976,0.3452940285205841,0.43897318840026855,0.4130953550338745
