,why,are,debates,on,proposed,motions,by,an,msp,conducted,?
members,0.15032964944839478,0.31528955698013306,0.31187495589256287,0.22849144041538239,0.15844811499118805,0.2313447892665863,0.24919851124286652,0.1668950915336609,0.3055085837841034,0.2088937610387802,0.10212311148643494
business,0.15186956524848938,0.16427041590213776,0.24163256585597992,0.19842210412025452,0.12809443473815918,0.17905601859092712,0.20599709451198578,0.2052680253982544,0.21426624059677124,0.1621144562959671,0.1545659303665161
is,0.26410171389579773,0.5330929756164551,0.21664585173130035,0.3635730445384979,0.1440325230360031,0.17834854125976562,0.3899846076965332,0.4654068350791931,0.22696147859096527,0.1637566238641739,0.22961433231830597
a,0.2667238116264343,0.265255331993103,0.25301557779312134,0.3848365545272827,0.2374454140663147,0.20871812105178833,0.32094135880470276,0.44552403688430786,0.2784733176231384,0.1929338276386261,0.23916715383529663
debate,0.26019734144210815,0.16443191468715668,0.8746455311775208,0.24143950641155243,0.3360781967639923,0.1909397393465042,0.11138360947370529,0.22244466841220856,0.2121443897485733,0.22546789050102234,0.227684885263443
on,0.2698206305503845,0.268924742937088,0.294811874628067,0.9999999403953552,0.2377385050058365,0.23295734822750092,0.33887791633605957,0.3192969560623169,0.25964438915252686,0.26555413007736206,0.2714994251728058
a,0.2667238116264343,0.265255331993103,0.25301557779312134,0.3848365545272827,0.2374454140663147,0.20871812105178833,0.32094135880470276,0.44552403688430786,0.2784733176231384,0.1929338276386261,0.23916715383529663
motion,0.26054731011390686,0.16249577701091766,0.21255077421665192,0.1802297979593277,0.21122688055038452,0.8241586089134216,0.2258811891078949,0.1709904968738556,0.14093881845474243,0.07386434078216553,0.20143945515155792
proposed,0.29171743988990784,0.10830419510602951,0.36093178391456604,0.2377385050058365,1.0,0.19428926706314087,0.23662759363651276,0.15246838331222534,0.2612104117870331,0.1776052862405777,0.24553193151950836
by,0.19170543551445007,0.37842893600463867,0.1896974891424179,0.33887791633605957,0.23662759363651276,0.24006181955337524,1.0000001192092896,0.2719563841819763,0.1735423058271408,0.2579965889453888,0.17966607213020325
an,0.22638356685638428,0.1556541919708252,0.19316443800926208,0.3192969560623169,0.15246838331222534,0.12359663099050522,0.2719563841819763,1.0,0.253377765417099,0.12335710227489471,0.19793890416622162
msp,0.1809149533510208,0.1303374469280243,0.2689868211746216,0.25964438915252686,0.2612104117870331,0.07424293458461761,0.1735423058271408,0.253377765417099,0.9999998807907104,0.13942481577396393,0.18440690636634827
who,0.36697277426719666,0.27294138073921204,0.2411929816007614,0.2340552806854248,0.19203443825244904,0.18691013753414154,0.39727845788002014,0.2848317325115204,0.20189756155014038,0.20996502041816711,0.26220351457595825
is,0.26410171389579773,0.5330929756164551,0.21664585173130035,0.3635730445384979,0.1440325230360031,0.17834854125976562,0.3899846076965332,0.4654068350791931,0.22696147859096527,0.1637566238641739,0.22961433231830597
not,0.5504072904586792,0.46186959743499756,0.3045099377632141,0.3516409695148468,0.2552351951599121,0.24980834126472473,0.291808545589447,0.3722182512283325,0.20391486585140228,0.17005906999111176,0.41942933201789856
a,0.2667238116264343,0.265255331993103,0.25301557779312134,0.3848365545272827,0.2374454140663147,0.20871812105178833,0.32094135880470276,0.44552403688430786,0.2784733176231384,0.1929338276386261,0.23916715383529663
scottish,0.13285359740257263,0.15686963498592377,0.24117453396320343,0.14497309923171997,0.17179958522319794,0.11994669586420059,0.1562303602695465,0.16270451247692108,0.45185530185699463,0.15592694282531738,0.06442669779062271
