,who,gave,her,royal,assent,to,the,scotland,act,of,1998,?
the,0.3733934462070465,0.32555076479911804,0.354963481426239,0.2997032403945923,0.2975829243659973,0.535392165184021,1.0,0.23846951127052307,0.28682878613471985,0.733189046382904,-0.047468025237321854,0.22068053483963013
scotland,0.16836953163146973,0.10264139622449875,0.13808782398700714,0.2256707400083542,0.3037046790122986,0.19875919818878174,0.23846951127052307,1.0,0.2434776872396469,0.2208399921655655,-0.09642009437084198,0.09160218387842178
act,0.2015037089586258,0.18997535109519958,0.23803390562534332,0.2023511677980423,0.3868781328201294,0.24833928048610687,0.28682878613471985,0.2434776872396469,1.0,0.2802577316761017,0.016155632212758064,0.1482519507408142
1998,0.10716468840837479,0.00010620606917655095,0.0076216054148972034,0.02175510860979557,0.10619506239891052,0.025574080646038055,-0.047468025237321854,-0.09642009437084198,0.016155632212758064,-0.06454750150442123,0.9999999403953552,0.11714459210634232
",",0.3365725874900818,0.2448001652956009,0.3269027769565582,0.24590183794498444,0.27318140864372253,0.44245919585227966,0.4933079481124878,0.21124857664108276,0.1787904053926468,0.4946078956127167,0.02818203717470169,0.31091248989105225
which,0.3688730001449585,0.19981732964515686,0.3091151714324951,0.210358664393425,0.24543415009975433,0.5345056653022766,0.6521818041801453,0.23217903077602386,0.3216746747493744,0.5011631846427917,-0.1581934243440628,0.25814583897590637
was,0.3318818509578705,0.42201077938079834,0.34084662795066833,0.2874114215373993,0.23776552081108093,0.3636345863342285,0.48711544275283813,0.17744721472263336,0.1887621134519577,0.4069072902202606,0.04920116811990738,0.18412111699581146
passed,0.18397395312786102,0.2455662488937378,0.19235165417194366,0.1527380794286728,0.3369400203227997,0.26747700572013855,0.3173406720161438,0.11821914464235306,0.4205443859100342,0.2703755795955658,0.05968225374817848,0.12064517289400101
by,0.39727845788002014,0.20645932853221893,0.2393665909767151,0.21020539104938507,0.27436769008636475,0.33534231781959534,0.4408751428127289,0.13855545222759247,0.19227443635463715,0.3646814823150635,-0.05810553580522537,0.17966607213020325
the,0.3733934462070465,0.32555076479911804,0.354963481426239,0.2997032403945923,0.2975829243659973,0.535392165184021,1.0,0.23846951127052307,0.28682878613471985,0.733189046382904,-0.047468025237321854,0.22068053483963013
parliament,0.237068772315979,0.16335906088352203,0.18323034048080444,0.27501314878463745,0.48121771216392517,0.20290622115135193,0.26521381735801697,0.33239492774009705,0.33536985516548157,0.2885259687900543,0.2069738209247589,0.1586504578590393
of,0.2827862501144409,0.3650403320789337,0.27399197220802307,0.3112924098968506,0.33070728182792664,0.41548454761505127,0.733189046382904,0.2208399921655655,0.2802577316761017,1.0,-0.06454750150442123,0.1826142966747284
the,0.3733934462070465,0.32555076479911804,0.354963481426239,0.2997032403945923,0.2975829243659973,0.535392165184021,1.0,0.23846951127052307,0.28682878613471985,0.733189046382904,-0.047468025237321854,0.22068053483963013
united,0.21193812787532806,0.20140042901039124,0.2080707997083664,0.2415778487920761,0.28098803758621216,0.2715383470058441,0.34367692470550537,0.30711430311203003,0.2497679591178894,0.3187655806541443,0.048259418457746506,0.17266890406608582
kingdom,0.15265370905399323,0.22552846372127533,0.1956682652235031,0.3543867766857147,0.3032200038433075,0.19473806023597717,0.3143408000469208,0.3814205527305603,0.2036931961774826,0.3218171298503876,0.032770346850156784,0.12927088141441345
and,0.41279885172843933,0.2681863307952881,0.40386050939559937,0.24934640526771545,0.30180516839027405,0.48971283435821533,0.5171257257461548,0.2930583655834198,0.2776535749435425,0.5116966962814331,-0.08035068213939667,0.20544172823429108
given,0.3104628920555115,0.5501787066459656,0.26826712489128113,0.2245243340730667,0.3102252185344696,0.3428947925567627,0.37508252263069153,0.18240956962108612,0.1849713772535324,0.39388060569763184,-0.009357127360999584,0.2570464313030243
royal,0.16729144752025604,0.2098720371723175,0.23649631440639496,0.9999999403953552,0.38996174931526184,0.20404569804668427,0.2997032403945923,0.2256707400083542,0.2023511677980423,0.3112924098968506,0.02175510860979557,0.11453001946210861
assent,0.31270602345466614,0.2764269709587097,0.27945685386657715,0.38996174931526184,0.9999999403953552,0.3058730363845825,0.2975829243659973,0.3037046790122986,0.3868781328201294,0.33070728182792664,0.10619506239891052,0.21738570928573608
by,0.39727845788002014,0.20645932853221893,0.2393665909767151,0.21020539104938507,0.27436769008636475,0.33534231781959534,0.4408751428127289,0.13855545222759247,0.19227443635463715,0.3646814823150635,-0.05810553580522537,0.17966607213020325
