,on,what,basis,do,the,radical,islamist,organizations,conduct,their,attacks,?
radical,0.19962751865386963,0.24992598593235016,0.27920424938201904,0.16223862767219543,0.20306628942489624,0.9999998807907104,0.3919738233089447,0.3484898507595062,0.15553922951221466,0.209921196103096,0.21122071146965027,0.1306871920824051
islamist,0.15223444998264313,0.17762082815170288,0.15520475804805756,0.17377261817455292,0.2459319531917572,0.3919738233089447,1.0000001192092896,0.37888625264167786,0.1726258099079132,0.18580612540245056,0.3652808368206024,0.14697067439556122
organizations,0.21576854586601257,0.20689024031162262,0.2731229066848755,0.2620372772216797,0.2850687503814697,0.3484898507595062,0.37888625264167786,1.0,0.20836187899112701,0.2541188895702362,0.2583213746547699,0.22215601801872253
like,0.3318610191345215,0.4320242702960968,0.25762033462524414,0.4615015685558319,0.32912567257881165,0.21725429594516754,0.14029446244239807,0.2498113214969635,0.1811368614435196,0.33882319927215576,0.21976402401924133,0.3268813192844391
al-qaeda,0.22353391349315643,0.23048987984657288,0.16621223092079163,0.16994719207286835,0.24044957756996155,0.21481962502002716,0.5376344323158264,0.33803439140319824,0.21779613196849823,0.19619442522525787,0.356497585773468,0.1877317875623703
and,0.4077630043029785,0.31309178471565247,0.2805973291397095,0.276123583316803,0.5171257257461548,0.248888298869133,0.19843706488609314,0.2811741828918457,0.2281462550163269,0.45114588737487793,0.28638073801994324,0.20544172823429108
the,0.5107308030128479,0.42745697498321533,0.2758672833442688,0.30239659547805786,1.0,0.20306628942489624,0.2459319531917572,0.2850687503814697,0.24627962708473206,0.516537070274353,0.2845265567302704,0.22068053483963013
egyptian,0.11956792324781418,0.15441232919692993,0.15440331399440765,0.13741569221019745,0.22032245993614197,0.12056530267000198,0.38436397910118103,0.19078758358955383,0.046220675110816956,0.1721189171075821,0.11741779744625092,0.14169205725193024
islamic,0.13780690729618073,0.2204568088054657,0.20406074821949005,0.18107639253139496,0.27231070399284363,0.3323265016078949,0.7717896103858948,0.3400824964046478,0.14605207741260529,0.1885700672864914,0.2766607105731964,0.1692383587360382
jihad,0.17795133590698242,0.24871385097503662,0.2289516031742096,0.1612415760755539,0.22348956763744354,0.33837658166885376,0.6852618455886841,0.337014377117157,0.19205228984355927,0.19877080619335175,0.3577392101287842,0.21031080186367035
",",0.49057599902153015,0.3087472915649414,0.23746788501739502,0.3283645510673523,0.4933079481124878,0.2340504378080368,0.18959079682826996,0.21690145134925842,0.19693340361118317,0.3045167922973633,0.25300389528274536,0.31091248989105225
