,the,present,mediterranean,sea,descends,from,what,sea,?
the,1.0,0.2829846143722534,0.33625227212905884,0.30363768339157104,0.30480852723121643,0.40150508284568787,0.42745697498321533,0.30363768339157104,0.22068053483963013
present,0.2829846143722534,1.0000001192092896,0.16674821078777313,0.16412480175495148,0.2238791286945343,0.20334279537200928,0.30940163135528564,0.16412480175495148,0.21759982407093048
mediterranean,0.33625227212905884,0.16674821078777313,1.0,0.5549836158752441,0.2080482691526413,0.2079935371875763,0.18149876594543457,0.5549836158752441,0.15430885553359985
sea,0.30363768339157104,0.16412480175495148,0.5549836158752441,1.0,0.23235337436199188,0.19167837500572205,0.19525039196014404,1.0,0.15551945567131042
descends,0.30480852723121643,0.2238791286945343,0.2080482691526413,0.23235337436199188,1.0000001192092896,0.2292870134115219,0.1785305142402649,0.23235337436199188,0.1150875836610794
from,0.40150508284568787,0.20334279537200928,0.2079935371875763,0.19167837500572205,0.2292870134115219,1.0,0.2737620174884796,0.19167837500572205,0.19969791173934937
this,0.6274310946464539,0.26026690006256104,0.22831402719020844,0.18298520147800446,0.2210320085287094,0.3469814360141754,0.5489566326141357,0.18298520147800446,0.3155723512172699
somewhat,0.24373650550842285,0.1610749363899231,0.21270672976970673,0.16760049760341644,0.17095687985420227,0.16813182830810547,0.3670333921909332,0.16760049760341644,0.23247024416923523
larger,0.378620445728302,0.18354348838329315,0.18739794194698334,0.2558112144470215,0.16861648857593536,0.19401557743549347,0.23663538694381714,0.2558112144470215,0.1602165699005127
tethys,0.25273868441581726,0.13965801894664764,0.39000868797302246,0.4388229250907898,0.24873203039169312,0.22923266887664795,0.19102835655212402,0.4388229250907898,0.13021260499954224
sea,0.30363768339157104,0.16412480175495148,0.5549836158752441,1.0,0.23235337436199188,0.19167837500572205,0.19525039196014404,1.0,0.15551945567131042
.,0.5934505462646484,0.23765113949775696,0.22951528429985046,0.2680719196796417,0.1537667214870453,0.41536515951156616,0.3567904531955719,0.2680719196796417,0.4130953550338745
