,microplates,squeezing,and,rotating,created,the,features,of,what,?
several,0.20876023173332214,0.19894787669181824,0.4663935899734497,0.20102274417877197,0.1932280957698822,0.40559855103492737,0.3334111273288727,0.3271615505218506,0.22446060180664062,0.15595775842666626
microplates,1.0,0.3303697407245636,0.27724432945251465,0.34297773241996765,0.20130570232868195,0.3150313198566437,0.3327605724334717,0.2833064794540405,0.2719307243824005,0.23344238102436066
were,0.20590640604496002,0.1791662871837616,0.42175528407096863,0.11206130683422089,0.2975761294364929,0.3906462490558624,0.2578813135623932,0.34038281440734863,0.22298263013362885,0.17890112102031708
caught,0.16192595660686493,0.29320523142814636,0.2659677565097809,0.1242007240653038,0.10197711735963821,0.2087310254573822,0.13856850564479828,0.20060649514198303,0.19015973806381226,0.20266211032867432
in,0.2482258826494217,0.16321635246276855,0.4954058527946472,0.15078090131282806,0.2843434810638428,0.6662389636039734,0.24970319867134094,0.5696388483047485,0.30808621644973755,0.20430970191955566
the,0.3150313198566437,0.268473744392395,0.5171257257461548,0.2603665590286255,0.3539263904094696,1.0,0.29863014817237854,0.733189046382904,0.42745697498321533,0.22068053483963013
squeeze,0.2654843330383301,0.7914278507232666,0.23093043267726898,0.2804584503173828,0.10723155736923218,0.23718300461769104,0.2285836786031723,0.1238788589835167,0.28991928696632385,0.18890054523944855
and,0.27724432945251465,0.28446006774902344,1.0,0.18963386118412018,0.2873832881450653,0.5171257257461548,0.3483351171016693,0.5116966962814331,0.31309178471565247,0.20544172823429108
rotated,0.2914331257343292,0.2940194606781006,0.20916207134723663,0.8087961673736572,0.20698940753936768,0.28645768761634827,0.2366560846567154,0.24031734466552734,0.21268752217292786,0.09326861798763275
or,0.3266260325908661,0.3792077898979187,0.4713204801082611,0.2784380614757538,0.23186936974525452,0.4174870550632477,0.25640976428985596,0.3792596757411957,0.33867141604423523,0.32389625906944275
were,0.20590640604496002,0.1791662871837616,0.42175528407096863,0.11206130683422089,0.2975761294364929,0.3906462490558624,0.2578813135623932,0.34038281440734863,0.22298263013362885,0.17890112102031708
pushed,0.2363339364528656,0.37650758028030396,0.28285926580429077,0.3276519477367401,0.25368258357048035,0.3394152522087097,0.17320723831653595,0.24163289368152618,0.24479293823242188,0.10158352553844452
laterally,0.2938257157802582,0.3480282723903656,0.2488233596086502,0.38227567076683044,0.1355161964893341,0.344184935092926,0.2358136624097824,0.26405471563339233,0.23155911266803741,0.15653516352176666
",",0.2744688093662262,0.23188309371471405,0.6633074283599854,0.1820010095834732,0.2755771577358246,0.4933079481124878,0.2743610739707947,0.4946078956127167,0.3087472915649414,0.31091248989105225
generating,0.31446149945259094,0.18232367932796478,0.22314487397670746,0.23918765783309937,0.17726977169513702,0.24966508150100708,0.23794396221637726,0.24747565388679504,0.22770389914512634,0.20393006503582
the,0.3150313198566437,0.268473744392395,0.5171257257461548,0.2603665590286255,0.3539263904094696,1.0,0.29863014817237854,0.733189046382904,0.42745697498321533,0.22068053483963013
individual,0.3115633428096771,0.22873510420322418,0.30311039090156555,0.22309337556362152,0.19630542397499084,0.3706541955471039,0.28172940015792847,0.3372420072555542,0.34021541476249695,0.2058374285697937
features,0.3327605724334717,0.25163906812667847,0.3483351171016693,0.2164536565542221,0.1962883025407791,0.29863014817237854,1.0,0.2464914619922638,0.20126673579216003,0.23497378826141357
of,0.2833064794540405,0.1802690625190735,0.5116966962814331,0.23687800765037537,0.32043445110321045,0.733189046382904,0.2464914619922638,1.0,0.33290785551071167,0.1826142966747284
mediterranean,0.1984798014163971,0.26554492115974426,0.24083244800567627,0.19890309870243073,0.10797582566738129,0.33625227212905884,0.1205347552895546,0.272215873003006,0.18149876594543457,0.15430885553359985
geography,0.2921779751777649,0.14252232015132904,0.24129995703697205,0.19458702206611633,0.2288437932729721,0.20259734988212585,0.1867637038230896,0.29454779624938965,0.28860387206077576,0.17832398414611816
:,-0.0793868899345398,-0.10978149622678757,-0.04625999182462692,0.01880826987326145,-0.073984295129776,-0.03403344005346298,-0.16451749205589294,-0.08807745575904846,-0.12022944539785385,-0.07156077772378922
iberia,0.23584038019180298,0.10873150825500488,0.18772047758102417,0.06699558347463608,0.12249920517206192,0.27008959650993347,0.1746450811624527,0.22424103319644928,0.15775369107723236,0.1888108253479004
pushed,0.2363339364528656,0.37650758028030396,0.28285926580429077,0.3276519477367401,0.25368258357048035,0.3394152522087097,0.17320723831653595,0.24163289368152618,0.24479293823242188,0.10158352553844452
up,0.2769382894039154,0.3413500487804413,0.4032393991947174,0.18811827898025513,0.22044560313224792,0.38423117995262146,0.20090122520923615,0.32945773005485535,0.28591108322143555,0.1819818764925003
the,0.3150313198566437,0.268473744392395,0.5171257257461548,0.2603665590286255,0.3539263904094696,1.0,0.29863014817237854,0.733189046382904,0.42745697498321533,0.22068053483963013
pyrenees,0.16282503306865692,0.2309201955795288,0.23341646790504456,0.17791640758514404,0.1675356775522232,0.33046674728393555,0.14412368834018707,0.2696080803871155,0.19550085067749023,0.15335507690906525
;,0.0202252808958292,0.021516716107726097,0.08403264731168747,-0.046652596443891525,0.006454478483647108,0.09152708947658539,0.013717382214963436,0.054534342139959335,0.10986888408660889,0.10349778085947037
italy,0.16829730570316315,0.13809317350387573,0.25207585096359253,0.18367211520671844,0.11656525731086731,0.2633645832538605,0.09988958388566971,0.2844046950340271,0.16949890553951263,0.11567100137472153
",",0.2744688093662262,0.23188309371471405,0.6633074283599854,0.1820010095834732,0.2755771577358246,0.4933079481124878,0.2743610739707947,0.4946078956127167,0.3087472915649414,0.31091248989105225
the,0.3150313198566437,0.268473744392395,0.5171257257461548,0.2603665590286255,0.3539263904094696,1.0,0.29863014817237854,0.733189046382904,0.42745697498321533,0.22068053483963013
alps,0.15284796059131622,0.22480295598506927,0.21796616911888123,0.09013698995113373,0.137592151761055,0.315137654542923,0.1229386180639267,0.2345404177904129,0.12007275223731995,0.07792776823043823
",",0.2744688093662262,0.23188309371471405,0.6633074283599854,0.1820010095834732,0.2755771577358246,0.4933079481124878,0.2743610739707947,0.4946078956127167,0.3087472915649414,0.31091248989105225
and,0.27724432945251465,0.28446006774902344,1.0,0.18963386118412018,0.2873832881450653,0.5171257257461548,0.3483351171016693,0.5116966962814331,0.31309178471565247,0.20544172823429108
anatolia,0.20255176723003387,0.14769883453845978,0.2600176930427551,0.15510407090187073,0.08081748336553574,0.2979101240634918,0.17833034694194794,0.2370176911354065,0.22850893437862396,0.13391660153865814
",",0.2744688093662262,0.23188309371471405,0.6633074283599854,0.1820010095834732,0.2755771577358246,0.4933079481124878,0.2743610739707947,0.4946078956127167,0.3087472915649414,0.31091248989105225
moving,0.3068264424800873,0.3328174650669098,0.30970147252082825,0.47931814193725586,0.20276978611946106,0.34510132670402527,0.23124264180660248,0.24795499444007874,0.3154623508453369,0.21667467057704926
west,0.16515284776687622,0.11902878433465958,0.273951917886734,0.09235554933547974,0.19089356064796448,0.32918402552604675,0.14576217532157898,0.2891985774040222,0.1946573108434677,0.12088293582201004
",",0.2744688093662262,0.23188309371471405,0.6633074283599854,0.1820010095834732,0.2755771577358246,0.4933079481124878,0.2743610739707947,0.4946078956127167,0.3087472915649414,0.31091248989105225
the,0.3150313198566437,0.268473744392395,0.5171257257461548,0.2603665590286255,0.3539263904094696,1.0,0.29863014817237854,0.733189046382904,0.42745697498321533,0.22068053483963013
mountains,0.23875166475772858,0.24706153571605682,0.2570574879646301,0.12612372636795044,0.11748076230287552,0.27269288897514343,0.16994187235832214,0.22132478654384613,0.1498076319694519,0.08633821457624435
of,0.2833064794540405,0.1802690625190735,0.5116966962814331,0.23687800765037537,0.32043445110321045,0.733189046382904,0.2464914619922638,1.0,0.33290785551071167,0.1826142966747284
greece,0.14647573232650757,0.14643977582454681,0.27307596802711487,0.13809451460838318,0.06392165273427963,0.26573094725608826,0.08646024763584137,0.28056496381759644,0.14225120842456818,0.10547919571399689
and,0.27724432945251465,0.28446006774902344,1.0,0.18963386118412018,0.2873832881450653,0.5171257257461548,0.3483351171016693,0.5116966962814331,0.31309178471565247,0.20544172823429108
the,0.3150313198566437,0.268473744392395,0.5171257257461548,0.2603665590286255,0.3539263904094696,1.0,0.29863014817237854,0.733189046382904,0.42745697498321533,0.22068053483963013
islands,0.1884133219718933,0.16969645023345947,0.2816464602947235,0.16114644706249237,0.15652765333652496,0.27959951758384705,0.21815034747123718,0.277767539024353,0.12194207310676575,0.11824353039264679
.,0.27054721117019653,0.22502733767032623,0.588965117931366,0.19740509986877441,0.3230568766593933,0.5934505462646484,0.23473742604255676,0.5352458953857422,0.3567904531955719,0.4130953550338745
