,which,direction,did,the,rhine,flow,during,the,last,cold,phase,?
during,0.3590145409107208,0.12427221238613129,0.30679523944854736,0.4838213622570038,0.18684938549995422,0.18422433733940125,1.0,0.4838213622570038,0.3807850182056427,0.31616321206092834,0.31154826283454895,0.1325719803571701
this,0.6719430088996887,0.29708150029182434,0.3609912693500519,0.6274310946464539,0.16867555677890778,0.2958115339279175,0.34351885318756104,0.6274310946464539,0.34740546345710754,0.24261978268623352,0.2713080048561096,0.3155723512172699
time,0.325231671333313,0.2382766306400299,0.3567926585674286,0.43061500787734985,0.1911163330078125,0.17181266844272614,0.49996283650398254,0.43061500787734985,0.3435760736465454,0.2494553029537201,0.2728603780269623,0.27391523122787476
",",0.3658004403114319,0.23287029564380646,0.3015086054801941,0.4933079481124878,0.167837992310524,0.23027558624744415,0.3225448727607727,0.4933079481124878,0.29026782512664795,0.2868689298629761,0.17857486009597778,0.31091248989105225
the,0.6521818041801453,0.28851455450057983,0.34736719727516174,1.0,0.30735138058662415,0.314039409160614,0.4838213622570038,1.0,0.3698786795139313,0.2897129952907562,0.29143109917640686,0.22068053483963013
lower,0.35006284713745117,0.13355852663516998,0.1054062619805336,0.3463275134563446,0.28043457865715027,0.2140064686536789,0.18886689841747284,0.3463275134563446,0.12070845067501068,0.1370362788438797,0.13714948296546936,0.08471795171499252
rhine,0.18744276463985443,0.18879841268062592,0.15695837140083313,0.30735138058662415,1.0,0.20253489911556244,0.18684938549995422,0.30735138058662415,0.13734391331672668,0.12640050053596497,0.1485477089881897,0.13754533231258392
flowed,0.3123190402984619,0.22722895443439484,0.17890195548534393,0.3597415089607239,0.26703378558158875,0.5794103145599365,0.2867923676967621,0.3597415089607239,0.1866178810596466,0.199598029255867,0.26862993836402893,0.13853344321250916
roughly,0.37560543417930603,0.20083440840244293,0.09208915382623672,0.3095499873161316,0.2342734932899475,0.25126177072525024,0.22836704552173615,0.3095499873161316,0.14539125561714172,0.10524465888738632,0.2647365629673004,0.09299357235431671
west,0.22164945304393768,0.23540861904621124,0.16852347552776337,0.32918402552604675,0.3360097110271454,0.19337786734104156,0.23221606016159058,0.32918402552604675,0.19868721067905426,0.19602812826633453,0.1727198213338852,0.12088293582201004
through,0.40321648120880127,0.33746829628944397,0.14190755784511566,0.44071322679519653,0.23343999683856964,0.3991040587425232,0.3816036581993103,0.44071322679519653,0.22064410150051117,0.21163979172706604,0.23393557965755463,0.16913433372974396
the,0.6521818041801453,0.28851455450057983,0.34736719727516174,1.0,0.30735138058662415,0.314039409160614,0.4838213622570038,1.0,0.3698786795139313,0.2897129952907562,0.29143109917640686,0.22068053483963013
netherlands,0.20309802889823914,0.15080097317695618,0.14505378901958466,0.2279868870973587,0.3712500035762787,0.09984016418457031,0.18983927369117737,0.2279868870973587,0.1506701111793518,0.15087980031967163,0.14463981986045837,0.09310898929834366
and,0.506277859210968,0.2529398798942566,0.34479495882987976,0.5171257257461548,0.22029656171798706,0.2773895561695099,0.36462149024009705,0.5171257257461548,0.25967320799827576,0.25512415170669556,0.1999596506357193,0.20544172823429108
extended,0.33794456720352173,0.22052839398384094,0.22313983738422394,0.3160722553730011,0.17787183821201324,0.18972010910511017,0.18661317229270935,0.3160722553730011,0.20672719180583954,0.10925014317035675,0.23176102340221405,0.17568568885326385
to,0.5345056653022766,0.32930055260658264,0.4452643394470215,0.535392165184021,0.1736302673816681,0.27439337968826294,0.2828781306743622,0.535392165184021,0.30156898498535156,0.22828681766986847,0.21437396109104156,0.29463258385658264
the,0.6521818041801453,0.28851455450057983,0.34736719727516174,1.0,0.30735138058662415,0.314039409160614,0.4838213622570038,1.0,0.3698786795139313,0.2897129952907562,0.29143109917640686,0.22068053483963013
southwest,0.23897136747837067,0.22718653082847595,0.11210032552480698,0.2974209487438202,0.24861998856067657,0.28422752022743225,0.19226311147212982,0.2974209487438202,0.17401741445064545,0.1970359832048416,0.12311119586229324,0.11322080343961716
",",0.3658004403114319,0.23287029564380646,0.3015086054801941,0.4933079481124878,0.167837992310524,0.23027558624744415,0.3225448727607727,0.4933079481124878,0.29026782512664795,0.2868689298629761,0.17857486009597778,0.31091248989105225
through,0.40321648120880127,0.33746829628944397,0.14190755784511566,0.44071322679519653,0.23343999683856964,0.3991040587425232,0.3816036581993103,0.44071322679519653,0.22064410150051117,0.21163979172706604,0.23393557965755463,0.16913433372974396
the,0.6521818041801453,0.28851455450057983,0.34736719727516174,1.0,0.30735138058662415,0.314039409160614,0.4838213622570038,1.0,0.3698786795139313,0.2897129952907562,0.29143109917640686,0.22068053483963013
english,0.19168700277805328,0.12369807064533234,0.18994997441768646,0.23982001841068268,0.16806156933307648,0.2040521800518036,0.09971442073583603,0.23982001841068268,0.13506241142749786,0.11124052852392197,0.07614925503730774,0.23251567780971527
