,maududi,was,trained,as,a,lawyer,",",but,chose,what,professional,for,himself,instead,?
trained,0.20444592833518982,0.2402055412530899,1.0,0.2878322899341583,0.2291668951511383,0.2560471296310425,0.20766867697238922,0.26699039340019226,0.20635481178760529,0.20267696678638458,0.38243839144706726,0.2710432708263397,0.21860261261463165,0.13734018802642822,0.14453530311584473
as,0.2841644585132599,0.3677520453929901,0.2878322899341583,1.0,0.39550232887268066,0.24098654091358185,0.48816442489624023,0.4864770472049713,0.24650342762470245,0.31749409437179565,0.2478996217250824,0.44774648547172546,0.2743586599826813,0.3822622001171112,0.27043893933296204
a,0.28595849871635437,0.4508470594882965,0.2291668951511383,0.39550232887268066,1.0,0.29755905270576477,0.427140474319458,0.44750767946243286,0.20067369937896729,0.3320399522781372,0.2665292024612427,0.44038116931915283,0.2141161412000656,0.3737732470035553,0.23916715383529663
lawyer,0.3768768310546875,0.2828832268714905,0.2560471296310425,0.24098654091358185,0.29755905270576477,1.0,0.2853246331214905,0.17021477222442627,0.20991501212120056,0.20519520342350006,0.3188755512237549,0.21253685653209686,0.25420963764190674,0.18097800016403198,0.23041324317455292
he,0.3990713953971863,0.5410010814666748,0.3191278278827667,0.33787044882774353,0.4393508732318878,0.4172278642654419,0.40251094102859497,0.3970399796962738,0.2967287600040436,0.3114890456199646,0.32420453429222107,0.4540175199508667,0.5015478134155273,0.2544998526573181,0.2089974731206894
chose,0.21251484751701355,0.37049561738967896,0.20635481178760529,0.24650342762470245,0.20067369937896729,0.20991501212120056,0.2518025040626526,0.29084810614585876,1.0,0.2544066309928894,0.1193583607673645,0.25166723132133484,0.32154884934425354,0.309184730052948,0.2465825378894806
the,0.30155912041664124,0.48711544275283813,0.19296632707118988,0.48381632566452026,0.5829201340675354,0.17304322123527527,0.4933079481124878,0.4859698414802551,0.3029356896877289,0.42745697498321533,0.1869824379682541,0.4739971458911896,0.24642214179039001,0.3940567970275879,0.22068053483963013
profession,0.2507970929145813,0.23919223248958588,0.3955966532230377,0.313067764043808,0.3185056746006012,0.46251288056373596,0.28053703904151917,0.1942007839679718,0.14651109278202057,0.23272503912448883,0.7145928144454956,0.2831021547317505,0.20602712035179138,0.2052546739578247,0.13789935410022736
of,0.32255080342292786,0.4069072902202606,0.17385481297969818,0.3886612355709076,0.5052502155303955,0.10836214572191238,0.4946078956127167,0.39942997694015503,0.2676139771938324,0.33290785551071167,0.21265500783920288,0.4185989499092102,0.17862990498542786,0.31208282709121704,0.1826142966747284
journalism,0.34377655386924744,0.24499349296092987,0.1721164584159851,0.20327453315258026,0.21602219343185425,0.3492470979690552,0.25509756803512573,0.16691677272319794,0.0904066413640976,0.1981441229581833,0.23483328521251678,0.24349085986614227,0.21890273690223694,0.1446649432182312,0.08406471461057663
",",0.3992340862751007,0.45456063747406006,0.20766867697238922,0.48816442489624023,0.427140474319458,0.2853246331214905,1.0000001192092896,0.48126736283302307,0.2518025040626526,0.3087472915649414,0.2938345670700073,0.4464869201183319,0.18494756519794464,0.32166025042533875,0.31091248989105225
and,0.38321298360824585,0.3740963041782379,0.2759492099285126,0.49487000703811646,0.3739250600337982,0.19757121801376343,0.6633074283599854,0.5762497186660767,0.21694043278694153,0.31309178471565247,0.2247244119644165,0.5064792633056641,0.23012475669384003,0.38524195551872253,0.20544172823429108
wrote,0.3219781517982483,0.40092042088508606,0.1967984437942505,0.19762034714221954,0.232523575425148,0.2666042745113373,0.27225261926651,0.22844018042087555,0.266759991645813,0.2664989233016968,0.14021866023540497,0.3117217421531677,0.3159898817539215,0.16351096332073212,0.19322504103183746
about,0.21510560810565948,0.2577359974384308,0.1803838461637497,0.2989700436592102,0.34171196818351746,0.16276206076145172,0.3877100944519043,0.4257524609565735,0.13275596499443054,0.47976887226104736,0.1523214727640152,0.3312419354915619,0.1872244030237198,0.269829660654068,0.302409827709198
contemporary,0.30357789993286133,0.23796632885932922,0.20370064675807953,0.2450105845928192,0.1928429901599884,0.14316922426223755,0.28917112946510315,0.21879401803016663,0.1941884607076645,0.20300830900669098,0.1567821055650711,0.2860651910305023,0.16132846474647522,0.10576876997947693,0.09539991617202759
issues,0.180537149310112,0.2080516368150711,0.10885927826166153,0.2450667768716812,0.24391965568065643,0.23159486055374146,0.2560703754425049,0.32567891478538513,0.13073718547821045,0.33279702067375183,0.19187745451927185,0.27617812156677246,0.20103128254413605,0.29015517234802246,0.320565789937973
