,who,was,al-banna,'s,assassination,a,retaliation,for,the,prior,assassination,of,?
some,0.3978389501571655,0.21528802812099457,0.18099960684776306,0.056411296129226685,0.15500950813293457,0.34539633989334106,0.20747040212154388,0.4257155656814575,0.4566698372364044,0.1541759967803955,0.15500950813293457,0.4300730526447296,0.2562315762042999
elements,0.15524056553840637,0.17981117963790894,0.18180108070373535,-0.04167265072464943,0.08917851001024246,0.2716076672077179,0.1744571030139923,0.21664150059223175,0.22297804057598114,0.10211487859487534,0.08917851001024246,0.23613712191581726,0.15222592651844025
of,0.2827862501144409,0.4069072902202606,0.1987224668264389,-0.03817026689648628,0.23465228080749512,0.5052502155303955,0.26199448108673096,0.4185989499092102,0.733189046382904,0.3183474540710449,0.23465228080749512,1.0,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.20889347791671753,-0.01540423184633255,0.2033206969499588,0.5829201340675354,0.32224610447883606,0.4739971458911896,1.0,0.33782097697257996,0.2033206969499588,0.733189046382904,0.22068053483963013
brotherhood,0.3251999020576477,0.2586901783943176,0.28042298555374146,-0.007918372750282288,0.3220618665218353,0.22638042271137238,0.4005013406276703,0.21096177399158478,0.2368839830160141,0.19852741062641144,0.3220618665218353,0.2067413628101349,0.1117945984005928
",",0.3365725874900818,0.45456063747406006,0.3537161350250244,-0.0016132977325469255,0.23039573431015015,0.427140474319458,0.2816847860813141,0.4464869201183319,0.4933079481124878,0.27105793356895447,0.23039573431015015,0.4946078956127167,0.31091248989105225
though,0.3492638170719147,0.34332048892974854,0.20562662184238434,0.013477406464517117,0.12858688831329346,0.33230000734329224,0.23988273739814758,0.35697805881500244,0.38776206970214844,0.2695997953414917,0.12858688831329346,0.37307101488113403,0.3188856542110443
perhaps,0.33160731196403503,0.24803057312965393,0.19472120702266693,0.06015263497829437,0.1734950989484787,0.39144209027290344,0.13827668130397797,0.37988919019699097,0.35476016998291016,0.2653347849845886,0.1734950989484787,0.3375486433506012,0.4211712181568146
against,0.2942115366458893,0.22972732782363892,0.1845269799232483,-0.0006242102244868875,0.2674228250980377,0.2227657586336136,0.3906192481517792,0.3262052536010742,0.3090755045413971,0.16253513097763062,0.2674228250980377,0.2669808566570282,0.18095137178897858
orders,0.22359956800937653,0.2057829052209854,0.17121829092502594,-0.09433139115571976,0.25143784284591675,0.1862567514181137,0.25521737337112427,0.11300233006477356,0.26927345991134644,0.19954553246498108,0.25143784284591675,0.2505633234977722,0.18005457520484924
",",0.3365725874900818,0.45456063747406006,0.3537161350250244,-0.0016132977325469255,0.23039573431015015,0.427140474319458,0.2816847860813141,0.4464869201183319,0.4933079481124878,0.27105793356895447,0.23039573431015015,0.4946078956127167,0.31091248989105225
did,0.34038686752319336,0.41399896144866943,0.19210219383239746,0.05069678649306297,0.19157227873802185,0.2552328109741211,0.20522907376289368,0.318512886762619,0.34736719727516174,0.2797660529613495,0.19157227873802185,0.2513895630836487,0.3023456633090973
engage,0.24786707758903503,0.0802401676774025,0.16825814545154572,0.002248220844194293,0.17301324009895325,0.22857552766799927,0.27463313937187195,0.2249573916196823,0.2234465479850769,0.18491770327091217,0.17301324009895325,0.16617678105831146,0.1593245565891266
in,0.2792111933231354,0.45514053106307983,0.1949760913848877,-0.037580832839012146,0.12939710915088654,0.539380669593811,0.24604450166225433,0.4322226941585541,0.6662389636039734,0.24521231651306152,0.12939710915088654,0.5696388483047485,0.20430970191955566
violence,0.2254926860332489,0.1779039204120636,0.22802728414535522,0.05901326611638069,0.37921926379203796,0.2158076912164688,0.4615774154663086,0.23735401034355164,0.25465771555900574,0.16966791450977325,0.37921926379203796,0.21331627666950226,0.20634515583515167
against,0.2942115366458893,0.22972732782363892,0.1845269799232483,-0.0006242102244868875,0.2674228250980377,0.2227657586336136,0.3906192481517792,0.3262052536010742,0.3090755045413971,0.16253513097763062,0.2674228250980377,0.2669808566570282,0.18095137178897858
the,0.3733934462070465,0.48711544275283813,0.20889347791671753,-0.01540423184633255,0.2033206969499588,0.5829201340675354,0.32224610447883606,0.4739971458911896,1.0,0.33782097697257996,0.2033206969499588,0.733189046382904,0.22068053483963013
government,0.27194860577583313,0.2995857298374176,0.2151508927345276,0.00033092309604398906,0.3298536241054535,0.25158295035362244,0.2833494544029236,0.23902073502540588,0.31798112392425537,0.22048425674438477,0.3298536241054535,0.3475167155265808,0.18851417303085327
",",0.3365725874900818,0.45456063747406006,0.3537161350250244,-0.0016132977325469255,0.23039573431015015,0.427140474319458,0.2816847860813141,0.4464869201183319,0.4933079481124878,0.27105793356895447,0.23039573431015015,0.4946078956127167,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.226582869887352,0.06895173341035843,0.15028885006904602,0.3739250600337982,0.23688764870166779,0.5064792633056641,0.5171257257461548,0.2185291349887848,0.15028885006904602,0.5116966962814331,0.20544172823429108
its,0.1326070874929428,0.3518870174884796,0.1386038213968277,0.03202139586210251,0.06841689348220825,0.4424409866333008,0.2363569140434265,0.2992613911628723,0.559237003326416,0.17438597977161407,0.06841689348220825,0.48690423369407654,0.15103481709957123
founder,0.28227898478507996,0.3223331570625305,0.20987720787525177,-0.033734891563653946,0.22523236274719238,0.15995511412620544,0.19599242508411407,0.1423083245754242,0.24715600907802582,0.15328460931777954,0.22523236274719238,0.25088685750961304,0.13665783405303955
al-banna,0.2793918550014496,0.2766362726688385,1.0,0.04110683500766754,0.2580013573169708,0.24136793613433838,0.2990027368068695,0.14127908647060394,0.20889347791671753,0.1334967464208603,0.2580013573169708,0.1987224668264389,0.29599466919898987
was,0.3318818509578705,1.0000001192092896,0.2766362726688385,0.008974763564765453,0.2552372217178345,0.4508470594882965,0.21700797975063324,0.3863949179649353,0.48711544275283813,0.29096508026123047,0.2552372217178345,0.4069072902202606,0.18412111699581146
assassinated,0.2918182909488678,0.25925588607788086,0.28293776512145996,-0.08699807524681091,0.9048444628715515,0.1554173231124878,0.36999842524528503,0.18229307234287262,0.18071621656417847,0.16752678155899048,0.9048444628715515,0.22067059576511383,0.1823584884405136
in,0.2792111933231354,0.45514053106307983,0.1949760913848877,-0.037580832839012146,0.12939710915088654,0.539380669593811,0.24604450166225433,0.4322226941585541,0.6662389636039734,0.24521231651306152,0.12939710915088654,0.5696388483047485,0.20430970191955566
1949,0.15308405458927155,0.22808216512203217,0.049586739391088486,0.06702027469873428,0.16170164942741394,0.24793741106987,0.19738958775997162,0.31908273696899414,0.2687380611896515,0.1953599601984024,0.16170164942741394,0.2565067410469055,0.16888584196567535
in,0.2792111933231354,0.45514053106307983,0.1949760913848877,-0.037580832839012146,0.12939710915088654,0.539380669593811,0.24604450166225433,0.4322226941585541,0.6662389636039734,0.24521231651306152,0.12939710915088654,0.5696388483047485,0.20430970191955566
retaliation,0.2248857617378235,0.21700797975063324,0.2990027368068695,-0.019576773047447205,0.45781493186950684,0.2705172002315521,1.0000001192092896,0.23318159580230713,0.32224610447883606,0.22132568061351776,0.45781493186950684,0.26199448108673096,0.19268658757209778
