,when,did,the,formation,of,the,holocene,rhine-meuse,delta,begin,?
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.2057150900363922,0.3886612355709076,0.48381632566452026,0.16652816534042358,0.1849113553762436,0.15640535950660706,0.20308734476566315,0.27043893933296204
sea-level,0.2314845770597458,0.1535646915435791,0.30006691813468933,0.24345137178897858,0.22190970182418823,0.30006691813468933,0.22159256041049957,0.2801201641559601,0.18097126483917236,0.13889797031879425,0.2430570423603058
continued,0.25224193930625916,0.4863187372684479,0.29953038692474365,0.20036979019641876,0.2527073323726654,0.29953038692474365,0.17496229708194733,0.19035474956035614,0.1957283318042755,0.3897620439529419,0.10404038429260254
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.21429739892482758,0.41548454761505127,0.535392165184021,0.17239795625209808,0.22549989819526672,0.16459326446056366,0.33302420377731323,0.29463258385658264
rise,0.15769775211811066,0.16756875813007355,0.3404741883277893,0.24645046889781952,0.2733727991580963,0.3404741883277893,0.24440743029117584,0.15013964474201202,0.09681081771850586,0.19840487837791443,0.10799103230237961
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.27297577261924744,0.5696388483047485,0.6662389636039734,0.21227410435676575,0.256996214389801,0.21061979234218597,0.2903634011745453,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,1.0,0.33687281608581543,0.733189046382904,1.0,0.26600971817970276,0.3420952260494232,0.22022446990013123,0.34293439984321594,0.22068053483963013
netherlands,0.19556021690368652,0.14505378901958466,0.2279868870973587,0.0986282154917717,0.24916832149028778,0.2279868870973587,0.17165058851242065,0.3679220974445343,0.06550586968660355,0.12734225392341614,0.09310898929834366
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.24612528085708618,0.4946078956127167,0.4933079481124878,0.21509388089179993,0.2238120585680008,0.2192559540271759,0.27304404973983765,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.33687281608581543,0.733189046382904,1.0,0.26600971817970276,0.3420952260494232,0.22022446990013123,0.34293439984321594,0.22068053483963013
formation,0.2390158325433731,0.1121787428855896,0.33687281608581543,1.0000001192092896,0.2957320809364319,0.33687281608581543,0.38591644167900085,0.22053563594818115,0.21081429719924927,0.2061493843793869,0.09831923991441727
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2957320809364319,1.0,0.733189046382904,0.2029341608285904,0.26928308606147766,0.20736707746982574,0.24830074608325958,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.33687281608581543,0.733189046382904,1.0,0.26600971817970276,0.3420952260494232,0.22022446990013123,0.34293439984321594,0.22068053483963013
holocene,0.18542461097240448,0.1815931648015976,0.26600971817970276,0.38591644167900085,0.2029341608285904,0.26600971817970276,0.9999999403953552,0.21640822291374207,0.18011483550071716,0.1485581248998642,0.179432213306427
rhine-meuse,0.1754605919122696,0.17756794393062592,0.3420952260494232,0.22053563594818115,0.26928308606147766,0.3420952260494232,0.21640822291374207,1.0000001192092896,0.24112568795681,0.17860929667949677,0.23498749732971191
delta,0.1836346685886383,0.15312695503234863,0.22022446990013123,0.21081429719924927,0.20736707746982574,0.22022446990013123,0.18011483550071716,0.24112568795681,1.0000001192092896,0.111600860953331,0.14208948612213135
began,0.25673019886016846,0.4415510594844818,0.3059147596359253,0.22286508977413177,0.2330763041973114,0.3059147596359253,0.19777977466583252,0.1363319307565689,0.13764221966266632,0.49711355566978455,0.1370266228914261
(,0.2459595799446106,0.18979617953300476,0.33289089798927307,0.22467678785324097,0.35032153129577637,0.33289089798927307,0.2268684357404709,0.20962479710578918,0.15024615824222565,0.12756820023059845,0.40561532974243164
"~8,000",0.06988739222288132,0.10726077109575272,0.13470330834388733,-0.016432486474514008,0.191879540681839,0.13470330834388733,0.0580381341278553,0.1870783418416977,0.06466711312532425,0.05118222534656525,0.18587525188922882
years,0.3409145474433899,0.2695724070072174,0.2912273406982422,0.2661151587963104,0.2904134690761566,0.2912273406982422,0.34953978657722473,0.19697672128677368,0.12878762185573578,0.23470360040664673,0.1914375126361847
ago,0.34233349561691284,0.19972491264343262,0.23063679039478302,0.32854607701301575,0.20083805918693542,0.23063679039478302,0.5287450551986694,0.23525157570838928,0.18909364938735962,0.12227606028318405,0.2202194780111313
),0.2538422644138336,0.18584993481636047,0.3456730246543884,0.2201547771692276,0.3680361211299896,0.3456730246543884,0.2090638428926468,0.20515219867229462,0.1587669551372528,0.13078060746192932,0.42300865054130554
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.23124639689922333,0.5352458953857422,0.5934505462646484,0.22718346118927002,0.2645522654056549,0.20923152565956116,0.24827922880649567,0.4130953550338745
