,who,stated,he,wanted,israel,to,vanish,?
during,0.30551859736442566,0.20214875042438507,0.3751114010810852,0.2535945773124695,0.14085699617862701,0.2828781306743622,0.08080299198627472,0.1325719803571701
the,0.3733934462070465,0.2814950942993164,0.4571082592010498,0.3011050522327423,0.21617624163627625,0.535392165184021,0.22264687716960907,0.22068053483963013
2006,-0.026890208944678307,0.04015747457742691,-0.14176855981349945,-0.12542381882667542,-0.07489855587482452,0.012056082487106323,0.01013247948139906,-0.1194092258810997
israel-lebanon,0.1866324245929718,0.16999034583568573,0.21575848758220673,0.21786776185035706,0.8205854892730713,0.21054965257644653,0.23815004527568817,0.2531062662601471
conflict,0.2708021104335785,0.2706505358219147,0.2297593504190445,0.24225419759750366,0.29177308082580566,0.2420341968536377,0.16814027726650238,0.26744839549064636
",",0.3365725874900818,0.2962069809436798,0.40251094102859497,0.2753742039203644,0.22234781086444855,0.44245919585227966,0.20921750366687775,0.31091248989105225
the,0.3733934462070465,0.2814950942993164,0.4571082592010498,0.3011050522327423,0.21617624163627625,0.535392165184021,0.22264687716960907,0.22068053483963013
iranian,0.24320313334465027,0.08957521617412567,0.19801081717014313,0.1136993020772934,0.2771283686161041,0.11043429374694824,0.2630102038383484,0.13520781695842743
government,0.27194860577583313,0.2832839787006378,0.30791032314300537,0.34228596091270447,0.21959365904331207,0.28343796730041504,0.0691431537270546,0.18851417303085327
enjoyed,0.26134365797042847,0.30642399191856384,0.3279898464679718,0.320343017578125,0.12648652493953705,0.12836132943630219,0.11440760642290115,0.09301155805587769
something,0.37219709157943726,0.31341734528541565,0.2903585731983185,0.2926992177963257,0.19622235000133514,0.41753658652305603,0.3197237253189087,0.4761815667152405
of,0.2827862501144409,0.22148488461971283,0.38706058263778687,0.28092440962791443,0.18146966397762299,0.41548454761505127,0.12836502492427826,0.1826142966747284
a,0.36608949303627014,0.22154705226421356,0.4393508732318878,0.25702154636383057,0.17491912841796875,0.45503583550453186,0.2736624777317047,0.23916715383529663
resurgence,0.24062825739383698,0.26247626543045044,0.28028157353401184,0.2103872448205948,0.23805539309978485,0.2341705709695816,0.260405570268631,0.16093435883522034
in,0.2792111933231354,0.24313503503799438,0.41690486669540405,0.2556442320346832,0.2300325185060501,0.45010748505592346,0.1455686092376709,0.20430970191955566
popularity,0.2160024791955948,0.2755778431892395,0.26099133491516113,0.25556835532188416,0.18777191638946533,0.22046558558940887,0.2523578107357025,0.16941240429878235
amongst,0.2664080262184143,0.19042091071605682,0.18757304549217224,0.18627847731113434,0.17936572432518005,0.2415056824684143,0.15556780993938446,0.16806721687316895
the,0.3733934462070465,0.2814950942993164,0.4571082592010498,0.3011050522327423,0.21617624163627625,0.535392165184021,0.22264687716960907,0.22068053483963013
predominantly,0.21682652831077576,0.17549094557762146,0.11266271770000458,0.0916929766535759,0.15765024721622467,0.22265128791332245,0.22584721446037292,0.06528439372777939
